scen,swc_nse15,swc_rmse15,swc_cor15,swc_nse50,swc_rmse50,swc_cor50,swc_nse80,swc_rmse80,swc_cor80,swp_nse15,swp_nse50,swp_nse80,et_cor,et_nse,max_ET
1,-219.00830341646588,0.20462086023828732,0.4589982518698796,-25.866626692234092,0.10566875578418956,0.5627440835418108,-357.11582112115485,0.1660150630376585,0.5145047381917639,-6.856692322627038,-2.1190901808997613,-0.6164800901209067,0.6936274523714637,-0.24977476016542566,5.403550249058121
2,-14.2448901328851,0.053863245687378755,0.4299282354446239,-32.12347973341895,0.11732971091476617,0.46222247567103064,-414.4122296295152,0.17880323811858478,0.4687173933118692,-7.479508514447378,-2.120651555705875,-0.562925818293339,0.6715594304877154,-0.06685706002516056,5.12192411555577
3,-122.96866600626856,0.15359827349531155,0.463550476634735,-5.73892691961154,0.05292189620355829,0.5567583684849312,-31.521887294041186,0.05002920605434619,0.4988198787085224,-6.1344956541740965,-1.967615161935894,-0.5151457735629636,0.6946777905790606,-0.8503605224283604,6.288990331579543
4,-22.51576684511518,0.0668975084256305,0.3962592779446012,-2.90057549537255,0.04026283648666291,0.4213699541985666,-117.48544122395506,0.0954922740417576,0.33263187017305845,-7.2599011658293,-2.6204538306054994,-0.9693432191309861,0.6124892569007818,0.10021225372943354,4.144724014414169
5,-216.43012309874484,0.20341839624319843,0.5595614845776073,0.12259207273970463,0.01909592939556719,0.5731196504047829,-44.82196326237434,0.05938442928417576,0.5404101531922727,-7.678745436176069,-2.2884763087322533,-0.6872090404590951,0.6783460722864265,0.051092145872857375,4.811314193769307
6,-265.0107200300081,0.22499866406890429,0.4418830947672012,-28.3787954097723,0.11049866109973627,0.647934428153451,-88.50542330762536,0.08299662186771313,0.6009244209512046,-7.378690858425399,-2.443035747539775,-0.7901132339141979,0.6873384702036099,-0.766413080774631,5.581347525736495
7,-40.486677730119,0.08885557855762945,0.4177500858422127,-93.14090508022258,0.1978013302555938,0.4728453324313331,-878.850383459147,0.26021968957959296,0.32297842686971634,-6.740366358851332,-140.1059377691122,-275.10909795715844,0.6862435258511004,-2.974797436316168,6.672989519178484
8,-173.46743494776663,0.1822164402797142,0.5302496024739257,-43.63202801646654,0.13619568045529598,0.6033057399882609,-506.04351832990614,0.19754150506453205,0.5341787164542596,-7.424941326856951,-2.2024419632641496,-0.6385770493075558,0.6804784838675816,-0.0548329030627559,5.302038225071412
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,-13.349479525298081,0.0522574777827904,0.4085296854933096,-7.459391227894688,0.05929384020234475,0.49665512822290236,-159.7027289305852,0.11121090283744549,0.4525654170446678,-6.703236855894585,-2.321161494969003,-0.7689098330922262,0.6765740459899063,0.23576889175426285,4.58903896362032
11,-3.92298329699537,0.030608676492022154,0.4212966372209121,-8.982979356404293,0.06441249323318679,0.5289539495386995,-202.66703851564873,0.12519763205469558,0.4844008839018046,-7.555759626983159,-2.440332920797149,-0.8135102544337194,0.6889381011173569,-0.042845120979867035,5.120382910126068
12,-21.749107374057562,0.06579797840026741,0.3198916877992112,-2.869128867495804,0.04010020757743718,0.6043031789676768,-127.7255512734425,0.09953323527880774,0.5144559948294407,-7.076073072659906,-2.358942709874799,-0.7431573932214186,0.6847285630149118,-1.1730925864054393,5.89275018199093
13,-107.62961488115114,0.14378198997853,0.3751935810618977,-76.56789977168496,0.17954819339940797,0.4979107114108442,-758.157936839583,0.24171400206908678,0.34344757131124243,-6.594473435519525,-88.86774318277517,-177.17726226795935,0.691563810437011,-2.9189739846293756,6.707161323418282
14,-64.22680982966995,0.11141494217788918,0.4628282010035158,-18.326835108016446,0.08962318919713219,0.5723698806594169,-298.47078507147376,0.15181440128883558,0.5240098174959228,-7.9327114035949595,-2.5642667946463233,-0.9162589539951513,0.6917617469430694,-0.36211758368462776,5.758372976379541
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,-133.0675915596427,0.15973212669078588,0.5449751677672535,-0.49432745157336444,0.02492085341669577,0.626274172740462,-38.34264423679715,0.055025945473580105,0.5213441616785315,-5.453583350415647,-1.3802250911861789,-0.07019571885819609,0.6944306020832688,-0.13310023651061287,5.485362809524613
17,-2.3868288718200126,0.025387912732269785,0.5780787776022708,-6.276556579280238,0.05499243860326578,0.545511429601466,-168.79794036599765,0.1143146654327554,0.46881856574369796,-6.43139582067227,-1.8920462656217811,-0.3985342877700242,0.6431401747303684,0.2076445164290187,3.800443205158888
18,-1.194932016263468,0.020438118215513,0.4678414675391993,-28.572850939778746,0.11086299842693445,0.5408379072189415,-379.7321606870483,0.17117704398496955,0.484405862680111,-6.430495141143463,-2.0730018065964524,-0.5299254976883949,0.6791860303576961,-0.9162195378713338,5.248946067156936
