scen,twd_pd_cor,twd_md_cor,min_pd_psi,min_md_psi,plfl_mean,plfl_max
1,-0.6417537585902132,-0.6676293463918025,-1568.670758724328,-1568.670758724328,0.3541899671777163,2.9122652374890787
2,-0.650871095738116,-0.7428510825923944,-1053.0070647294106,-1055.800520050708,0.3736719618801466,1.9958133400310363
3,-0.6737635502848563,-0.7167520123391498,-1096.9332891551783,-1096.9332891551783,0.2932340173659473,2.103064978649313
4,-0.672343076069875,-0.7118124123873992,-835.3121409421694,-835.3121409421694,0.20392908495305906,1.4857206816181712
5,-0.6472494746958773,-0.6778038535636972,-1590.2917962099843,-1590.2917962099843,0.3367615920055289,2.890538584224697
6,-0.6460090166349244,-0.6712096733808901,-1286.910020925365,-1286.9100209253652,0.3372088944551025,2.6234770762217274
7,-0.6742689049305405,-0.7440185849091713,-942.1868582667449,-944.726645445566,0.3425542852479611,1.9354586696783251
8,-0.6314185902242295,-0.684419110331625,-1686.1320586284182,-1688.865748367826,0.34645609259494065,2.684615953107786
9,-0.6424325322763971,-0.6785441971743383,-1618.061823772155,-1618.4705285672392,0.3845963639108088,2.9116213995469282
10,-0.647539294303121,-0.6677081383856257,-1555.9043627109988,-1555.9044006433892,0.30452043548890906,2.6858825845609506
11,-0.6726190249347299,-0.7200591262226484,-1044.7452438433927,-1044.7452438433927,0.21751902631130066,1.3249241195285058
12,-0.6452530169843691,-0.6603327742994042,-1450.8930447770265,-1450.8971565279778,0.3086426985327633,2.171221750233205
13,-0.658778228175025,-0.6761634039621074,-1346.899090713188,-1346.901091669349,0.277025485011204,2.0540325800752655
14,-0.6613869992387068,-0.6898076431599719,-1393.4748377932901,-1393.4748377932901,0.26859638765326627,2.2444713025980865
15,-0.6771183429888525,-0.7077837468050285,-834.9093163850553,-834.9093163850553,0.19465508234674245,1.2962059622257494
16,-0.678820145993318,-0.7211060821657327,-1041.7894335158464,-1041.7894335158464,0.2638016764136017,1.7532428513595322
17,-0.6495823865318899,-0.678289678421977,-1216.2054812657218,-1216.205481265722,0.32217831109745454,2.7344504109044245
18,-0.6208274253695237,-0.6378894989176194,-1877.9044450895826,-1877.9044473562863,0.3773611576804676,2.9228941195062847
19,-0.6269612005867734,-0.6730960250118223,-1882.119965175334,-1884.487287616494,0.354822894026539,2.7946752262086383
20,-0.6435349059286092,-0.6601925499664756,-1075.940212150436,-1075.940212150436,0.22397790755717528,1.9685319273063868
21,-0.6930543436802963,-0.7210645379779062,-954.8873587554813,-954.8934970241695,0.173812635821857,0.9285974928541451
22,-0.6651416570689885,-0.6978210544326866,-1073.421235253298,-1073.421235253298,0.29790315757756436,2.4089721205131154
23,-0.6334387761885668,-0.6463628136244927,-1839.8933213870591,-1839.8974120920313,0.3072628169020436,2.6737728274350516
24,-0.6745385453260152,-0.7034298119344893,-1096.9044475717922,-1096.9044491539626,0.29624634818518086,2.1231335496301162
25,-0.6872017272768657,-0.703666329559497,-1020.7250262958779,-1020.7755196349929,0.19248682284668975,1.0545700685620898
26,-0.6881474812139708,-0.7419590640225779,-656.4118184587285,-656.4118184587289,0.23763056398677582,1.427711624910643
27,-0.6680807529898726,-0.6911637424162403,-1198.9040279648618,-1198.9042049235895,0.2851603430569684,2.090839580954594
28,-0.6294414924351404,-0.656056296486286,-1643.9877811718984,-1643.9877811718984,0.3731609473719872,2.912535608360329
29,-0.6625361125738661,-0.6788433955922434,-1470.8987944934324,-1470.9009119466016,0.22779732677121092,1.8032713544890093
30,-0.6786956299129885,-0.7002830032492464,-896.3692488607993,-896.3692488607994,0.1779967741013379,1.0312740851141715
31,-0.6583250593643218,-0.6849782091923271,-1125.3765060240983,-1125.3765060240983,0.2275495220443224,1.8087529339064892
32,-0.6293442080105504,-0.6876131360593477,-1721.1139575684033,-1724.5782128911,0.4009865096240742,2.8383589582526616
33,-0.65051468389687,-0.7296421355825565,-1149.4530420068452,-1153.0409972165683,0.3728853352916601,2.2825963854465865
34,-0.6488861193886966,-0.7382944131648538,-1063.5917121726382,-1067.7232555754001,0.3234489082408015,1.7349660653211862
35,-0.6377148045081972,-0.688013142443416,-1603.0312521416163,-1605.6092943672877,0.3926859458570649,2.911094867574665
36,-0.6454590296488776,-0.6604317196439402,-1808.9041092357513,-1808.9042522145057,0.25977743412873266,2.4418823978546245
37,-0.6377907869920877,-0.6574334483098796,-1759.9044465337495,-1759.9044481315352,0.32657270755009865,2.9115380052505007
38,-0.6450474960936536,-0.6763635642332863,-1436.3021420518633,-1436.3021420518633,0.29527865402169345,2.6264932686207345
39,-0.6674305829179673,-0.698033898006235,-880.3541205572209,-880.3541205572209,0.22812563085003199,1.7465174591959345
40,-0.6515772331839695,-0.672944188047886,-1418.6808684965206,-1418.6808684965208,0.24795361344662073,2.0747980975149245
41,-0.6556162185531499,-0.6999269343004403,-1333.2366818450378,-1333.385941054118,0.3165299968934562,2.513676974117907
42,-0.6827078365827659,-0.6952607353617686,-1001.1762107768157,-1001.3456880667809,0.18861100633377867,0.9532509314459304
43,-0.6405626232741589,-0.6586465331727609,-1246.124493202963,-1246.124493202963,0.27989052172859724,2.3573639243380686
44,-0.6297175166877697,-0.6618723390158989,-1913.6128899048747,-1913.6128899048747,0.35980057266115567,2.9121948486862457
45,-0.6572023739476286,-0.6687098836166123,-1180.2325581395328,-1180.2325581395328,0.22478480559549446,1.4424107124479868
46,-0.6889178093702286,-0.7389463603899201,-642.917967641215,-642.9179676412151,0.22422752788537106,1.398740303765143
47,-0.6604999352651092,-0.6780715550358997,-1212.1566335476339,-1212.1566335476339,0.27767750391206136,1.9544462454483602
48,-0.6654778426050172,-0.6827173797339502,-1343.8966120093314,-1343.8994765779505,0.24284968664093648,1.8120150268534339
49,-0.6323461544126804,-0.7082214744857055,-1496.4545043697742,-1501.1288877422617,0.46593685836061227,2.7099278238597853
50,-0.6429786708478726,-0.6624684710165432,-1552.9041999798244,-1552.9043056061535,0.3182194692244477,2.680268453420503
51,-0.6702601097274469,-0.6989596375983642,-1173.904449834924,-1173.9044499449635,0.2941920375973469,2.2468752147503235
52,-0.6439609128631407,-0.6528241123791907,-1711.7686714436493,-1711.8107791124337,0.2554144467051084,1.924276127216012
53,-0.635511154582624,-0.7026670501446645,-1316.6749134092106,-1316.6749134092106,0.4244956416144986,2.714487663976758
54,-0.6298585606667857,-0.6781375402466695,-1815.7457650265444,-1818.6295903911478,0.41913368897982217,2.911152657297607
55,-0.6544526855446751,-0.6740664133081333,-1390.9038222809031,-1390.9040791597638,0.2985179293615743,2.2580481963800225
56,-0.6478081321700884,-0.673083964085428,-1600.0781860828765,-1600.078186082877,0.3073904655200011,2.6982363855245555
57,-0.6427276711199802,-0.6550543106017191,-1716.8790012608972,-1716.8878570798947,0.27266195418060324,2.2454376600765134
58,-0.6641624615492339,-0.7322166739490137,-980.0008295723421,-980.3349259078477,0.21531823826240457,1.2185038889092692
59,-0.6620503423798406,-0.6893944579887746,-1058.5375734251631,-1058.5375734251631,0.2034834859840931,1.542356181513027
60,-0.6237097065190582,-0.7137190160853436,-1482.1890915079211,-1485.5717150644243,0.4090436305746242,2.3027288530457817
61,-0.6262106346144202,-0.6470124500894785,-1630.2540964141506,-1630.2540964141506,0.36766057272623803,2.867845793211827
62,-0.6745372354868843,-0.7053922793950866,-1141.9044499969243,-1141.9044499990102,0.2771137589172522,2.152786698520427
63,-0.6174520080415824,-0.6790370256593811,-1949.004920547293,-1953.421057878627,0.39866291792277353,2.7791089825521342
64,-0.6342328567527088,-0.6552858929894226,-1808.9695922663973,-1808.9695922663973,0.3531069739995655,2.9128937966476447
65,-0.6405212534120024,-0.6587565629260612,-1561.9037860163198,-1561.9040580540493,0.32354377589288,2.629708864605869
66,-0.6392672867347293,-0.643229717683873,-1612.9054899933778,-1613.1566893526003,0.25415879628704285,1.7046363306595838
67,-0.6731408749025501,-0.7084796398192855,-799.6047430830037,-799.6047430830038,0.1723853510117213,1.2359984162206046
68,-0.6088091817492389,-0.70444176564809,-1629.1611185086567,-1629.1611185086567,0.49404746106400105,2.7265803270592874
69,-0.6371387443028329,-0.6665921427617164,-1784.3486336525423,-1784.681677607973,0.34049275331716533,2.9118842312655375
70,-0.6334824095906345,-0.6504973221124093,-1734.521431863578,-1734.521431863578,0.30709444550519016,2.710942609440228
71,-0.6820742610055979,-0.7234087452910575,-782.3893023842561,-782.3893023842561,0.2611989462801649,1.7939194714029114
72,-0.6822543478648724,-0.7195954035483523,-911.9521912350626,-911.9521912350629,0.20514510445333065,1.244533669740368
73,-0.6417932771263171,-0.6876173146323741,-1563.4144378701117,-1565.6148658904253,0.3996333773216498,2.9111279760578435
74,-0.6952161842437229,-0.7481812447395182,-569.6631936031034,-569.6631936031035,0.22715147069404767,1.3601414792847872
75,-0.681665076634674,-0.7263701530213967,-983.4183472452835,-983.4328004304706,0.22705819648545708,1.3587496299367952
76,-0.6286886450396608,-0.6413507859389053,-1819.8871478503615,-1819.8933735241983,0.32085657183981586,2.659366506356554
77,-0.6840096357844334,-0.72391775670483,-996.1493088820865,-996.1493088820865,0.24219285998511317,1.5267518710547527
78,-0.6480505032091182,-0.6793735835910548,-1595.615746045484,-1595.615746045484,0.24115729777642417,2.161452486134278
79,-0.681264242881879,-0.7145678634053183,-1060.9044476916895,-1060.9044491982131,0.2449057668332544,1.6644232022736212
80,-0.6334364738576013,-0.6409565971662897,-1861.6696108176936,-1861.7394782917572,0.2709737102888584,2.042839065310273
81,-0.6283930055779849,-0.64478969054484,-1813.9040740633804,-1813.9042317269225,0.34221048214750643,2.870324316000982
82,-0.6564259893735648,-0.7215273287037786,-1168.196533824461,-1170.8896478577067,0.35543875091467075,2.3087345103276595
83,-0.6495484201821247,-0.6937010368970338,-1437.0048175951035,-1438.3059245417417,0.3564973590289707,2.880027653913326
84,-0.6831791924969095,-0.7244503042833116,-648.1435335160719,-648.1435335160719,0.197202735075708,1.3090555988139336
85,-0.6395878164476583,-0.6985013565943569,-1321.5515262795511,-1321.5515262795511,0.4088334748290938,2.7847812749344096
86,-0.6524843962169522,-0.7193005420145477,-1215.6294905870634,-1218.586654273922,0.3758905500750396,2.3606543675874856
87,-0.6176773648748507,-0.6824586681194876,-1911.7308870893096,-1916.3059265416894,0.410604622049969,2.7770446011679053
88,-0.6435230295420161,-0.6771500458854779,-1629.280610387131,-1629.6942152470335,0.3467627419088944,2.9111717431638833
89,-0.6323633942736812,-0.648349012395221,-1845.9034881466087,-1845.9038796661273,0.3225617967636794,2.8204166682076863
90,-0.6368281757351487,-0.6588605760265286,-1786.9044499997035,-1786.9044499998495,0.33143082263791307,2.9125787600822655
91,-0.6622259163703962,-0.7218014872583591,-1098.8766649426755,-1099.4058089791097,0.2774239188862678,1.7798763113847724
92,-0.6661372986274565,-0.6937034686313026,-952.7764594209767,-952.7764594209773,0.2583899519384962,1.996560363393604
93,-0.6784386038974584,-0.7169002000730422,-640.5772288125247,-640.5772288125247,0.1810464314940324,1.2179514877837572
94,-0.6613038264244799,-0.6696184733025585,-1215.9386214577437,-1215.9386214577441,0.22056404190352033,1.3608101287716738
95,-0.6935904129161401,-0.7186742633753206,-928.88081961651,-928.8890629377582,0.21725346359351444,1.1819575105488678
96,-0.6577939510263479,-0.6862090485613124,-1387.1758045098818,-1387.175804509882,0.3091644988550896,2.647575452998095
97,-0.6620231312139709,-0.6736998833893856,-1292.762609530566,-1292.8045546308658,0.2465406347001065,1.7098465833025234
98,-0.6759230776140185,-0.7012824479646602,-976.7265368074886,-976.7265368074886,0.24202515904465985,1.5597909699045436
99,-0.6478424709501843,-0.7128856891253382,-1282.4424326407363,-1285.257707137672,0.3451203550309403,2.3236277979330016
100,-0.6343382920286504,-0.6603057031655548,-1846.5965359659822,-1846.6850801721978,0.37225999350700306,2.9126638674310423
101,-0.6496236853052997,-0.688225472521202,-1488.7046050420897,-1489.2651106702367,0.29770904581814794,2.584661951990257
102,-0.6448030468800998,-0.6677096530895965,-1616.9044498162525,-1616.904449904181,0.31410487045398605,2.854899180595399
103,-0.6465617735303092,-0.675209864800272,-1596.0904940338896,-1596.0904940338896,0.3367586907354221,2.9113484306847583
104,-0.656588183676525,-0.6741620203334482,-1388.9006096321582,-1388.9020679388082,0.2795985133939755,2.1039932802674164
105,-0.6450883860378135,-0.6522192754673879,-1713.6427905748537,-1713.7194316729604,0.24358982180786515,1.7791394898328579
106,-0.6443290571380212,-0.6639185087585967,-1521.904233998302,-1521.9043256177358,0.3206371375420478,2.6502967555541255
107,-0.6313696953225885,-0.6882523090351108,-1573.6118186449307,-1573.6118186449307,0.4160250500573832,2.8933821062120577
108,-0.6707248524324162,-0.7132866552798546,-1139.8905699293994,-1139.8905699293994,0.3166831479696227,2.4230132155992496
109,-0.6688183946789893,-0.683263088400224,-1203.824749268654,-1203.8493644906584,0.24298813892791093,1.6226437311336261
110,-0.6315001941125119,-0.6983965351747385,-1560.435907262506,-1564.2859308283844,0.38076314205674605,2.567509691208886
111,-0.6495935481661536,-0.6896844594298691,-1474.60353514644,-1475.5827744580697,0.2982038757204396,2.549925909367304
112,-0.6664923389432035,-0.7349853519964399,-952.8237856652954,-953.1579997238093,0.21501764764724587,1.2277830067625648
113,-0.6831500996978337,-0.718988592262826,-1026.9044317210364,-1026.9044402431527,0.22092102605889063,1.3895636430554474
114,-0.6457885189954004,-0.6685859564767082,-1698.0293123173979,-1698.0293123173979,0.2754083061004356,2.565286374152245
115,-0.6827043337297796,-0.7129756105966802,-953.5887044058065,-953.5887044058065,0.2575390130169299,1.6537894260949626
116,-0.67452881164279,-0.6841727534698482,-1182.3765713148755,-1182.509290218928,0.1965241561305188,1.139507253444848
117,-0.6937822698439424,-0.7246271574395773,-933.8948090611505,-933.898500375827,0.18523528660066574,0.9985122620289169
118,-0.6409295500006741,-0.6725538726473731,-1745.0042590390924,-1745.0042590390924,0.27851887728083335,2.6252377587756386
119,-0.6577244393534863,-0.6832563597663415,-1203.6705461056426,-1203.6705461056429,0.21595499399811535,1.6810350799337994
120,-0.6755490383831035,-0.694879215017884,-1197.8918668772806,-1197.8963193534862,0.2182679353330308,1.4680763527411154
121,-0.6265674336165754,-0.6439058543043819,-1768.9043048070803,-1768.9043673333886,0.35614094838708676,2.8954987413471005
122,-0.6730249461975171,-0.7284675521989334,-978.804852736662,-978.8897664276703,0.21447747048562704,1.2167420974327392
123,-0.6760661452199804,-0.7081934864916724,-1123.9044499999561,-1123.9044499999864,0.2707577556893234,2.0338446341921896
