scen,twd_pd_cor,twd_md_cor,min_pd_psi,min_md_psi,plfl_mean,plfl_max
1,-0.7953625929251916,-0.7986635436189458,-2018.31545349513,-2018.329476553571,0.2733458292971501,1.966750272580032
2,-0.7996121002518689,-0.8024603168248223,-2576.4043025439646,-2576.404302543966,0.33553877766683726,3.1572911098761316
3,-0.7971269814451428,-0.802301769474706,-1880.4334881505342,-1880.4334881505342,0.3429715179720749,2.683941281062765
4,-0.7967835612917447,-0.8029352885517675,-2301.6781904806076,-2301.6781904806076,0.4287373993150886,3.2667308040820293
5,-0.8040851516282101,-0.8056801437264055,-2796.359026941141,-2796.359079952606,0.35118087485357846,3.2041052208727554
6,-0.7935310620699294,-0.7996447250864447,-2526.9762351843906,-2526.9762351843906,0.45902227994396977,3.2922821268349076
7,-0.8002284975986935,-0.7993090677605817,-1937.2843515323789,-1937.2843515323789,0.24640338573016057,2.5360122170169865
8,-0.8007975659639108,-0.8036993963792367,-2744.359149518249,-2744.359149750196,0.36850006710587735,3.2667650508767667
9,-0.7998375598348518,-0.7992141706752338,-2140.2956211420424,-2140.542735085002,0.23953566868694048,1.7338236122414563
10,-0.8045100279566428,-0.8021115558020344,-2209.242947454314,-2209.705272270989,0.25992116112481567,1.880836354205072
11,-0.7905642558213811,-0.7970728693370178,-2460.796277614339,-2460.796277614339,0.43188662605077804,3.266744153772031
12,-0.802149368957627,-0.8053450591408627,-2355.507088331515,-2355.507088331522,0.37581157914894364,3.2230850337002117
13,-0.7938854548554257,-0.7998169331164454,-2036.3591313859467,-2036.3591397067617,0.3440059053930438,2.830517234128011
14,-0.7941939350506977,-0.80076035259598,-1616.193815747533,-1616.193815747533,0.30045165628186205,2.6661202853121613
15,-0.8004010095759321,-0.8040278201614313,-1952.3528667962921,-1952.355163375593,0.353985104786928,2.429819516670046
16,-0.7978086446330624,-0.8018866514701992,-2659.1576779616025,-2659.3962505598147,0.419841015751462,3.2667845136353004
17,-0.8045539477252843,-0.805932117568315,-2300.350680217983,-2300.353766485653,0.340156806365087,2.667895221303078
18,-0.7897832867374329,-0.7967311066214353,-2387.4461560044524,-2387.4461560044524,0.4555809547365633,3.266742156900373
19,-0.8005272951383671,-0.8028539728064304,-2034.3175157401952,-2034.3310183385922,0.31469711797066974,2.205350272629195
20,-0.8010582293692272,-0.7990879933627948,-2287.80823911458,-2288.153122107838,0.23148360744851545,1.7643903548701592
21,-0.7943433542032381,-0.8020803189676394,-1774.5278673422395,-1774.5278673422397,0.386676060366907,2.953162627739997
22,-0.8065618464693536,-0.807761387539363,-2657.9977628635347,-2657.9977628635347,0.40556653762612926,3.266781314094863
23,-0.8078062038114058,-0.8072476063009637,-2418.971342760624,-2418.971342760624,0.33989613606471897,2.5885298334360987
24,-0.80265651856118,-0.804006131149385,-2095.9964113491114,-2095.9964113491114,0.31826878738994924,2.6940206885805282
25,-0.8023559858586171,-0.8035052290158414,-2182.741116751263,-2182.7411167512714,0.31139061189706047,2.595061628696157
26,-0.7908630596755476,-0.7981859436543209,-2026.1876988546082,-2026.1876988546082,0.38714607768734866,3.2052844144523776
27,-0.7966391271885974,-0.7991698411787534,-2182.3209368388148,-2182.3335097463664,0.2784561296606587,2.2462659843599933
28,-0.804841802232841,-0.8067169924472217,-2312.3575186048806,-2312.3581614335517,0.3614052010884278,2.8584122808758305
29,-0.7970736031274758,-0.7997923010828144,-1778.8512023522123,-1778.8512023522123,0.2748209269756349,2.217335079901301
30,-0.7938910881533986,-0.8019568349121711,-1679.357463231457,-1679.357463231457,0.37717239779499423,3.022072225121701
31,-0.8064670160035758,-0.8045967955493918,-2425.0571313348464,-2425.0571313348546,0.28934814394036495,2.192117177166759
32,-0.8043669320614405,-0.8070972001618119,-2137.3582876279524,-2137.3586370199255,0.3833465657325255,2.8075888253751016
33,-0.804846944049472,-0.8025881256135244,-2219.257282632871,-2219.257282632871,0.2881366112889836,2.2463413307780105
34,-0.8020705163380883,-0.8042673843858498,-2284.3542099833835,-2284.3560502327464,0.3279274096266733,2.684232178685623
35,-0.7923302871391575,-0.800515548479756,-1554.033638835733,-1554.033638835733,0.3314366639667564,2.742692794697173
36,-0.7953878118799261,-0.8006639189940087,-1724.4367417677634,-1724.4367417677634,0.31422562336196486,2.3462958536018994
37,-0.8009300516797535,-0.8016554148732837,-1860.7750666393313,-1860.7750666393313,0.29475101378728036,1.9385254796084512
38,-0.8002456767766626,-0.8053709994899344,-2209.5031956891858,-2209.5031956891858,0.41696009464235834,3.2462766429700105
39,-0.7873875539601128,-0.7955303454685076,-2106.565085342456,-2106.565085342456,0.44219839538938427,3.2665403329419735
40,-0.8002608326008209,-0.8051820689225061,-1957.27014985825,-1957.27014985825,0.4056483556504697,3.449806300179246
41,-0.7961951024186186,-0.8022506656524324,-1766.076914927433,-1766.076914927433,0.3532778803873962,2.8208901156854296
42,-0.7897453965743199,-0.7978273127691534,-1938.0152680437407,-1938.0152680437407,0.4046734232097279,3.178241522008602
43,-0.8046228745085177,-0.8057708213427188,-2150.3457506134255,-2150.3457506134255,0.3457170864633302,2.496292385806589
44,-0.8034240176353019,-0.8040884511975739,-2186.5544007367384,-2186.5544007367403,0.3111455493004807,2.2792266893235866
45,-0.8019091084341462,-0.805556748362408,-2543.2173668546134,-2543.2173668546134,0.4433469463472913,3.266783024171206
46,-0.7958479098666246,-0.8002744104815472,-2083.3577977860955,-2083.358323542038,0.3183392770734388,2.591597160780262
47,-0.8058108632312154,-0.8055578282949121,-2227.23550746108,-2227.272592990206,0.3193762269447175,2.365585866662949
48,-0.8018971620432541,-0.8051241423423086,-2122.9243542435484,-2122.9243542435484,0.3695067271528757,3.0429921621088702
49,-0.7933086959813981,-0.800027865772769,-2171.1179343048725,-2171.1179343048725,0.38906984079367124,3.23926866952301
50,-0.7915001097435126,-0.7986614918592848,-2032.8643130998385,-2032.8643130998385,0.37993175480838504,3.173460201905636
51,-0.804240730117238,-0.8043390418144596,-2260.2688133924225,-2260.2968469464195,0.30760923083294867,2.2843505084328823
52,-0.7989289077306374,-0.799416594882896,-1911.4589702825056,-1911.4589702825056,0.2581200626100742,1.7756729853688162
53,-0.8023462102944127,-0.8062510526360939,-2122.7157206825773,-2122.7157206825773,0.3983832223661267,2.9645289508825643
54,-0.8000112995952754,-0.8040141842181789,-2288.782141847983,-2288.7821418479834,0.37220119124837686,3.2093680918878897
55,-0.8001848624478788,-0.8040432090668211,-1916.599839615073,-1916.5998396150733,0.3639537340594446,2.863405782001729
56,-0.7970382294176609,-0.8031634673210659,-2316.231623162317,-2316.231623162317,0.41545952874252123,3.3288698823998666
57,-0.8089882950143691,-0.8044066186222156,-2739.954313115475,-2740.442704128332,0.25386072348245076,2.0315727554258114
58,-0.806495967916078,-0.8073487269498637,-2317.739254333886,-2317.739254333886,0.36607763134977045,2.8762322389242514
59,-0.7987073244468965,-0.8015717287665555,-1905.713613919585,-1905.713613919585,0.28140873766100216,2.615482157983117
60,-0.805630072276553,-0.8079699578896224,-2339.780053090632,-2339.780053090632,0.4007397422420586,3.133433323182068
61,-0.7954724696405413,-0.7996373083051831,-2884.471245541811,-2884.471245541811,0.44879795207491796,3.3184286701679255
62,-0.7893821730850537,-0.7965935668251611,-2267.547816972181,-2267.5524629827173,0.41365847645339815,3.2666649771013936
63,-0.8058615895475058,-0.8040452153665522,-2424.1389476883705,-2424.19965016248,0.28362895844430563,2.1549833171380164
64,-0.8003405460119829,-0.8046627939217261,-1934.357988344803,-1934.358452770634,0.3787781151813801,2.6054419647662113
65,-0.7982165910011146,-0.802806601828933,-2266.359147915421,-2266.35914888568,0.3608431401155622,3.090889157179281
66,-0.8085990285929896,-0.807945723503092,-2826.179951518604,-2826.179951518604,0.3868257823794888,3.2595618908062627
67,-0.8042855460847652,-0.8032560078951653,-2206.572769953044,-2206.572769953047,0.2952812647216818,2.4624989083360656
68,-0.8016369469870592,-0.7987495054099737,-2007.1918927754193,-2007.1918927754198,0.2382932109587536,1.8434887097938406
69,-0.7990796251455542,-0.8007237541389495,-1877.145224286893,-1877.1452242868938,0.28493150026059555,1.8488525454609037
70,-0.7939991397317893,-0.8022341188522415,-1702.823503761041,-1702.823503761041,0.3816816814060186,2.9723759982048463
71,-0.7968699120882715,-0.8018261493363888,-2699.102761833383,-2699.102761833383,0.4612894707563427,3.324908568989883
72,-0.80069510973228,-0.8038707326321797,-2893.847194050042,-2893.847194050042,0.4291904090355099,3.3141407530589477
73,-0.7952243435719778,-0.8024329022020319,-1986.0029050574374,-1986.0029050574417,0.40417294626512845,3.2621407292597002
74,-0.8061013293048569,-0.8050154927776042,-2434.2588121211757,-2434.2892887544062,0.30152290894933237,2.381686803458696
75,-0.8016777962590462,-0.8042714237212913,-2614.918336420276,-2614.918336420276,0.34693522632604673,3.1229421871330643
76,-0.8044256680167664,-0.8026438355520598,-2248.3766233766273,-2248.3766233766273,0.2657826653242489,2.0522452591059603
77,-0.795431811068053,-0.7974675673838474,-2066.134869641188,-2066.1982053990464,0.24590365105792802,1.7966372995442306
78,-0.8025354270180226,-0.8026380699786779,-2180.948878264067,-2180.948878264067,0.28615052423881987,2.4836277143148195
79,-0.8003759869011254,-0.8027601470723692,-1883.1236352292801,-1883.1236352292801,0.322209046941917,2.116118769013574
80,-0.7933018388934743,-0.8020676155768536,-1680.5834478385038,-1680.5834478385038,0.4014997036622963,3.0356181409529923
81,-0.7971312534751792,-0.8030494979461431,-1824.022650549936,-1824.022650549936,0.36098077562543485,3.0217274391328948
82,-0.8024161746137765,-0.8065150616102118,-2026.3589869131388,-2026.3590570783977,0.39612180780889505,2.8173453363122767
83,-0.8036213923891758,-0.8011173640230345,-2123.330299330819,-2123.9416249639175,0.2561540174890103,1.854351429931406
84,-0.7955649273872334,-0.7999206637266775,-2716.813101287023,-2716.813101287023,0.46088467960496127,3.3383288730343543
85,-0.7996766537348438,-0.803601096613161,-1935.6556940449636,-1935.6556940449636,0.3595894770526132,2.6821319009492703
86,-0.7942312408771796,-0.8019741200138981,-1774.0087096034877,-1774.0087096034877,0.39267813814304636,2.956293588083329
87,-0.7965370691807426,-0.7991660147964674,-1764.7058823529437,-1764.7058823529437,0.26083987396718,2.092927188102918
88,-0.80384751294594,-0.8070784984277755,-2113.7751639900516,-2113.7751639900516,0.4013805201710919,2.9016662885834252
89,-0.8009264236050502,-0.7996236901238064,-1967.944816392785,-1967.944816392785,0.25453530393380736,2.3895018550326936
90,-0.7992570001191786,-0.8027020967690355,-2313.3585925998254,-2313.358818173389,0.3264181315784054,2.8301835588980317
91,-0.7967058986000518,-0.8029823959319969,-1931.2706061374615,-1931.2706061374615,0.36505686297573675,3.2391912408490695
92,-0.8063285215574338,-0.8068271524976413,-2740.610328638509,-2740.6103286385096,0.3727599532884386,3.215447100776769
93,-0.8053290986535726,-0.8066827261787024,-2286.352178944468,-2286.3547470961303,0.3510335652601785,2.7033997673521255
94,-0.8065709334473764,-0.8080947594775243,-2492.359149420971,-2492.3591497897646,0.38573708570620857,3.157131008748298
95,-0.7992692395660461,-0.8007107248598456,-2121.195654643686,-2121.24353649657,0.27470374295822075,1.929103833632933
96,-0.796258070848037,-0.7992152531236748,-1721.2653382866176,-1721.2653382866176,0.23534053209648956,2.417666840292901
97,-0.8018232703348194,-0.8053963462821467,-2210.3590821634307,-2210.359111933902,0.3739464117404549,2.976173969857814
98,-0.7907744778467307,-0.7979187444569749,-2455.991935911266,-2455.991935911266,0.4557723219060324,3.2667648529091893
99,-0.7975960203463186,-0.8036822168366599,-1969.1491925765274,-1969.1491925765274,0.3863290378313951,3.451114591066609
100,-0.806928944379258,-0.8074101561087966,-2359.6736880555313,-2359.6736880555313,0.3573927548894592,2.8398128745314346
101,-0.7937995437956594,-0.8017982388853891,-1706.586826347304,-1706.5868263473042,0.3719313711552799,2.98200423955654
102,-0.7947614248490119,-0.7979093191911295,-2197.3446665008655,-2197.3497146993072,0.27780005496286836,2.3292158834421155
103,-0.8059032928765477,-0.8074715041941071,-2263.1148498656494,-2263.1148498656494,0.37867276907482394,2.937959436995122
104,-0.8062669040291116,-0.808110664911718,-2519.6444673451106,-2519.6444673451106,0.42567649888988385,3.266771810571019
105,-0.7904828242146701,-0.7993655103490941,-1544.6991690859963,-1544.6991690859963,0.3559804428388846,2.672481800446688
106,-0.8005887510358658,-0.8051149067083497,-1951.468189233277,-1951.468189233277,0.38737858757752086,3.4254647203628634
107,-0.7929970666586779,-0.7976414526535096,-1560.5255240196593,-1560.5255240196593,0.23972880307394745,2.4001251853493044
108,-0.8071883276072562,-0.8038926603365617,-2799.7251803503923,-2799.7251803503923,0.2611350449175576,2.24671691919084
109,-0.797104576204846,-0.8011339884700432,-2012.3545086104075,-2012.356214359524,0.3193188912745394,2.397643065975808
