scen,twd_pd_cor,lwp_pd_cor,twd_md_cor,lwp_md_cor,min_pd_psi,min_md_psi,plfl_mean,plfl_max
1,-0.7620870740918594,0.6969225262641399,-0.7963483731003095,0.82207926009279,-2933.946802189876,-2933.9485939925544,0.016284629224071274,0.17819915428119054
2,-0.7492483357513803,0.6519955542150341,-0.7985254515870479,0.8195132696967959,-1657.419835065049,-1664.8161560470512,0.488731096483668,2.586328848778024
3,-0.7457595521103668,0.6382355017374068,-0.7896312573302013,0.8136580884164428,-2705.5314296137994,-2793.9039432195277,0.38252377248686054,2.3435205098268495
4,-0.6707641010338796,0.5895276247741749,-0.7175522031054115,0.7354195562232069,-751.190229766094,-751.190229766094,0.14586398111756174,1.5514042498347018
5,-0.714794773958035,0.6069813234323606,-0.6248355685561859,0.6400594579352197,-587.346938775511,-587.346938775511,0.6099831445535847,1.4390000000000007
6,-0.7211325149126192,0.6057931468327852,-0.7687938131519475,0.791077200609582,-3062.0651811402686,-3225.9337578795385,0.6831519234295972,4.15804545281398
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,-0.5359279965050449,0.47424814211589494,-0.5900783636293436,0.6017463540571731,-236.36161211311548,-236.36161211311548,0.14404135325777687,0.549588387053611
9,-0.7334356732177952,0.6360619111564456,-0.7789623212081828,0.8068801598686908,-4822.478329510446,-5032.3916326796425,1.0769352243460346,4.359516588115848
10,-0.7361649255863768,0.6646769094237767,-0.7509544777504783,0.7793317935331622,-2546.075085324241,-2546.075085324241,0.19864950083632515,1.2516978110826824
11,-0.7622635068321135,0.6658349859407892,-0.7899229451320225,0.816317373456597,-3065.3798404012637,-3067.1489634466448,0.35906993158084705,2.719257021713566
12,-0.744074440100695,0.6509309291451993,-0.7682600808025615,0.7966716302774596,-2569.949999999972,-2569.9499999999816,0.41702846361943996,3.203349864780411
13,-0.7204192767359173,0.6270286219891088,-0.778528570618846,0.7968556757863443,-1058.6807538549408,-1058.6807538549408,0.3933480359914761,2.1075156328528375
14,-0.7369537818070847,0.6354245725286777,-0.7839866357772715,0.8045347433233813,-1540.3726708074555,-1540.3726708074555,0.4577505111423335,3.0743101090228624
15,-0.7209213097307998,0.6260018037575502,-0.7779225065132699,0.7958950069709283,-1077.1422060164111,-1077.1422060164111,0.47734085264707343,2.5339891283793685
16,-0.754363711707241,0.6602494959840703,-0.7997190715633231,0.8218528012275981,-1846.1634767520122,-1848.5936611890688,0.37055911819323,2.214308374100665
17,-0.7370525543117846,0.625272394061241,-0.779518999454337,0.8039189453238778,-3677.658669329143,-3796.225741513711,0.8015544050386381,4.358947238545434
18,-0.7292679280664296,0.6197163975612555,-0.7740410477235884,0.799336124420463,-3764.6227676479853,-3874.343503951649,0.4581746966009024,3.355088920060596
19,-0.6563527957903049,0.580645636502034,-0.7178726851568448,0.7351083018713394,-564.7289353363839,-564.7289353363839,0.1094072096519541,0.9229021659683279
20,-0.7556055917995005,0.6515665150864456,-0.7906679170768046,0.8160080255902679,-2802.6270291304504,-2820.322021694934,0.5452922010995638,3.85691224901046
