dates,delta18O_permil,delta2H_permil
YYYY-MM-DD,permil,permil
2007-01-01,-13.5572705382857,-93.5163879977955
2007-01-02,-18.2168091145893,-144.794269224759
2007-01-03,-18.2364407075553,-143.147707989751
2007-01-04,-15.606869301262,-116.474260357748
2007-01-05,-17.0195630830036,-138.806897850579
2007-01-06,-14.6041985496496,-109.720089082226
2007-01-07,-14.6104809031318,-111.853397055121
2007-01-08,-14.720319712481,-111.489256986873
2007-01-09,-15.0204652753531,-113.795282527099
2007-01-10,-12.8804174614002,-96.7296107738565
2007-01-11,-14.7516437091067,-113.948552839519
2007-01-12,-15.3050071018721,-119.655135813045
2007-01-13,-13.1564878738229,-96.3496566336664
2007-01-14,-14.2224531310211,-106.972989457052
2007-01-15,-13.1067394840137,-94.0432355281578
2007-01-16,-13.6157366810542,-101.436889255473
2007-01-17,-14.2292491907352,-107.105240067574
2007-01-18,-13.3339386009134,-94.8555775759307
2007-01-19,-14.6336746692188,-120.882138825874
2007-01-20,-13.420869356948,-101.721739944033
2007-01-21,-15.8737958528497,-123.251965797363
2007-01-22,-16.7532973041639,-130.65427817524
2007-01-23,-15.4326976288076,-117.869879939008
2007-01-24,-19.781947245416,-139.300447986497
2007-01-25,-23.3320800822981,-175.894990660445
2007-01-26,-23.5493262517228,-175.278973395976
2007-01-27,-20.8898311672439,-147.512431461783
2007-01-28,-16.9790004170301,-129.543669346198
2007-01-29,-16.7731017677922,-120.291740833135
2007-01-30,-13.9894792614365,-102.267618261685
2007-01-31,-13.6616751558032,-102.087131858975
2007-02-01,-16.4588374882759,-133.884809428708
2007-02-02,-14.2963486857672,-109.872803384061
2007-02-03,-16.9173592917637,-138.594077253067
2007-02-04,-14.260140345241,-103.799316363414
2007-02-05,-13.9581990303475,-106.676173463375
2007-02-06,-16.9632925134647,-134.523501754301
2007-02-07,-16.390609667093,-127.977802706204
2007-02-08,-15.6239188978308,-120.649851002851
2007-02-09,-14.2640310137365,-108.408726468611
2007-02-10,-16.1461920453206,-131.007173789299
