dates,globrad_MJDayM2,tmax_degC,tmin_degC,vappres_kPa,windspeed_ms,prec_mmDay,irrig_mmDay,densef_percent,height_percent,lai_percent,sai_percent
YYYY-MM-DD,MJ/Day/m2,degree C,degree C,kPa,m per s,mm per day,mm per day,percent,percent,percent,percent
2000-01-01,3.1104,0,-6.7,0.42181,1.5,0,0,100,100,47.6464,100
2000-01-02,3.888,1,-6.7,0.45537,2.1,0,0,100,100,47.6464,100
2000-01-03,4.752,3.3,-6.8,0.51239,2.1,0,0,100,100,47.6464,100
2000-01-04,4.752,2,-7.2,0.45599,1.5,0,0,100,100,47.6464,100
2000-01-05,3.9744,3.5,-3.3,0.54127,2.1,0,0,100,100,47.6464,100
2000-01-06,4.1472,2.3,-5.9,0.50137,1.4,0,0,100,100,47.6464,100
2000-01-07,4.9248,3.5,-6,0.5083,1.8,0,0,100,100,47.6464,100
2000-01-08,4.2336,1.3,-7.8,0.43123,1.4,0,0,100,100,47.6464,100
2000-01-09,3.9744,3.7,-3.6,0.51749,0.8,0,0,100,100,47.6464,100
2000-01-10,4.752,4.7,-0.4,0.59079,1.4,0,0,100,100,47.6464,100
2000-01-11,5.3568,3.8,-4.4,0.47135,2.2,0,0,100,100,47.6464,100
2000-01-12,5.4432,2.5,-6.7,0.43548,1.9,0,0,100,100,47.6464,100
2000-01-13,5.616,2.1,-7.9,0.41761,1.8,0,0,100,100,47.6464,100
2000-01-14,5.7024,1.7,-8.8,0.37642,1.5,0,0,100,100,47.6464,100
2000-01-15,5.616,2.7,-8,0.45750999999999997,1.1,0,0,100,100,47.6464,100
2000-01-16,1.728,-1.2,-3.2,0.43694,1.6,0,0,100,100,47.6464,100
2000-01-17,5.4432,0.2,-6.2,0.39061,0.8,0,0,100,100,47.6464,100
2000-01-18,3.6288,5.2,-8,0.52192,1.1,0,0,100,100,47.6464,100
2000-01-19,6.1344,4.6,-4.8,0.48913,0.8,0,0,100,100,47.6464,100
2000-01-20,6.3072,1.8,-6.2,0.41734,1.4,0,0,100,100,47.6464,100
2000-01-21,5.8752,2.1,-7.9,0.4003,1,0,0,100,100,47.6464,100
2000-01-22,2.5056,0.1,-7.9,0.41401,1.2,1,0,100,100,47.6464,100
2000-01-23,4.8384,2.9,-1,0.57115,2.5,2.5,0,100,100,47.6464,100
2000-01-24,6.6528,2.7,-4.2,0.47071,1.3,0,0,100,100,47.6464,100
2000-01-25,7.2576,0,-8.7,0.33358,0.6,0,0,100,100,47.6464,100
2000-01-26,7.5168,-0.3,-10.3,0.32117,1.4,0,0,100,100,47.6464,100
2000-01-27,7.6032,0.8,-10.3,0.35044,1.4,0,0,100,100,47.6464,100
2000-01-28,5.9616,1.6,-9.7,0.36806,1.1,0,0,100,100,47.6464,100
2000-01-29,2.8512,1.4,-6.2,0.42248,1.1,9,0,100,100,47.6464,100
2000-01-30,1.296,5.9,1,0.78908,0.9,17,0,100,100,47.6464,100
2000-01-31,6.912,8.7,0.6,0.85429,1.2,0,0,100,100,47.6464,100
2000-02-01,8.208,10.7,-0.8,0.81297,1.4,0,0,100,100,47.6464,100
2000-02-02,2.4192,5.4,-0.3,0.69156,1.2,1.5,0,100,100,47.6464,100
2000-02-03,8.64,9.5,-1,0.76472,1.6,0,0,100,100,47.6464,100
2000-02-04,8.8992,8.8,-1.5,0.62243,1.4,0,0,100,100,47.6464,100
2000-02-05,8.64,10.8,-1.8,0.63206,1.7,0,0,100,100,47.6464,100
2000-02-06,8.0352,12.1,-1.3,0.75457,1.7,0,0,100,100,47.6464,100
2000-02-07,5.9616,10.4,0.8,0.78869,1.4,0.5,0,100,100,47.6464,100
2000-02-08,2.16,7.2,3.3,0.874,0.9,24.5,0,100,100,47.6464,100
2000-02-09,4.1472,8.3,1.8,0.57442,3.6,0,0,100,100,47.6464,100
2000-02-10,10.0224,10.6,-1.9,0.59571,1,0,0,100,100,47.6464,100
2000-02-11,2.9376,5.5,2.2,0.69239,1.2,1,0,100,100,47.6464,100
2000-02-12,3.6288,6.2,-0.2,0.66927,1.4,0,0,100,100,47.6464,100
2000-02-13,4.4064,5.9,-0.7,0.62963,0.8,0,0,100,100,47.6464,100
2000-02-14,10.8,10.1,-0.2,0.74853,1,1,0,100,100,47.6464,100
2000-02-15,7.4304,9,1.1,0.80986,1.5,1.5,0,100,100,47.6464,100
2000-02-16,4.752,7.1,0.2,0.65841,3.2,6,0,100,100,47.6464,100
2000-02-17,2.7648,2.3,-2.7,0.53659,1.2,6,0,100,100,47.6464,100
2000-02-18,4.6656,1.3,-3.3,0.52582,1,12,0,100,100,47.6464,100
2000-02-19,4.2336,7.4,0.4,0.61913,2.5,3,0,100,100,47.6464,100
2000-02-20,8.64,5,-2.7,0.50218,3.2,0,0,100,100,47.6464,100
2000-02-21,12.528,5.3,-4.1,0.42031,0.4,0,0,100,100,47.6464,100
2000-02-22,12.4416,7.6,-2.4,0.4969,0.7,0,0,100,100,47.6464,100
2000-02-23,12.6144,7.8,-4.1,0.49872,1.5,0,0,100,100,47.6464,100
2000-02-24,7.4304,8.2,-3.8,0.51104,1.2,0,0,100,100,47.6464,100
2000-02-25,6.912,10.6,-1.5,0.68507,1.4,0,0,100,100,47.6464,100
2000-02-26,11.4912,13.6,2.1,0.81361000000000006,1.4,0,0,100,100,47.6464,100
2000-02-27,13.4784,16.3,0.3,0.78093,1.1,0,0,100,100,47.6464,100
2000-02-28,12.96,17.1,1,0.63851,2.8,0,0,100,100,47.6464,100
2000-02-29,6.5664,13.5,4.8,0.80187,1.1,16,0,100,100,47.6464,100
2000-03-01,2.5056,5.4,1.6,0.73225,1.7,9,0,100,100,47.6464,100
2000-03-02,14.8608,8.2,0.3,0.58345,3.4,0,0,100,100,47.6464,100
2000-03-03,11.4048,9.7,-1.6,0.58005,1.2,13,0,100,100,47.6464,100
2000-03-04,11.8368,10.1,1.8,0.66948,3.6,0,0,100,100,47.6464,100
2000-03-05,15.6384,8.6,-2.2,0.45329,2.2,0,0,100,100,47.6464,100
2000-03-06,15.2928,11.7,-2.4,0.59795,1.8,0,0,100,100,47.6464,100
2000-03-07,11.232,11.7,-1.2,0.64878,1.1,0,0,100,100,47.6464,100
2000-03-08,13.392,14.9,-0.8,0.73211,1.4,2.5,0,100,100,47.6464,100
2000-03-09,10.1952,17.8,5.9,1.08501,1.3,0,0,100,100,47.6464,100
2000-03-10,10.7136,18.2,5.5,0.97156,3,0,0,100,100,47.6464,100
2000-03-11,14.5152,19.5,2.2,0.92295,1.9,0,0,100,100,47.6464,100
2000-03-12,16.2432,17.1,2.3,0.86771,1.9,0,0,100,100,47.6464,100
2000-03-13,16.0704,16.7,1.9,0.83716,2.1,0,0,100,100,47.6464,100
2000-03-14,7.9488,15.4,5.8,0.88021,2.1,4,0,100,100,47.6464,100
2000-03-15,8.3808,11.3,1.2,0.65315,4.1,0,0,100,100,47.6464,100
2000-03-16,12.8736,12.3,-1,0.66034,2.6,0,0,100,100,47.6464,100
2000-03-17,12.1824,14.4,-0.2,0.73179,3.1,0,0,100,100,47.6464,100
2000-03-18,14.9472,14.9,1.1,0.78074,3.1,0,0,100,100,47.6464,100
2000-03-19,15.7248,14.7,3.8,0.76887,2.3,0,0,100,100,47.6464,100
2000-03-20,17.712,15.7,0.6,0.71303,2.5,0,0,100,100,47.6464,100
2000-03-21,17.4528,14.6,-0.5,0.67925,1.9,0,0,100,100,47.6464,100
2000-03-22,18.144,18.6,0.6,0.7746,2,0,0,100,100,47.6464,100
2000-03-23,8.3808,14.3,3.2,0.70056,2.3,0,0,100,100,47.6464,100
2000-03-24,12.3552,13.9,6.3,0.88926,3.2,1,0,100,100,47.6464,100
2000-03-25,17.712,17.9,4.1,0.92129,1.8,1,0,100,100,47.6464,100
2000-03-26,8.4672,11.5,3.3,0.82221,2.9,2,0,100,100,47.6464,100
2000-03-27,14.7744,11.2,1.8,0.72372,3.2,0,0,100,100,47.6464,100
2000-03-28,17.7984,13.2,-0.7,0.68515,2.1,5,0,100,100,47.6464,100
2000-03-29,7.4304,9.5,3.3,0.75422,2.3,5.5,0,100,100,47.6464,100
2000-03-30,18.8352,12.4,0.7,0.61502,2.5,0,0,100,100,47.6464,100
2000-03-31,14.688,12.9,-1.1,0.53411,1.6,0,0,100,100,47.6464,100
2000-04-01,17.8848,13.6,1.8,0.71326,3.5,0,0,100,100,47.6464,100
2000-04-02,18.2304,17,0.4,0.61704,3.4,0,0,100,100,47.6464,100
2000-04-03,10.368,16.4,4.3,0.66654,2.7,0,0,100,100,47.6464,100
2000-04-04,13.9104,18.2,2.9,0.71678,2.6,0,0,100,100,47.6464,100
2000-04-05,10.2816,12.9,5.7,0.85581,3.3,0.5,0,100,100,47.6464,100
2000-04-06,16.2432,12.5,4.9,0.83005,4.3,0,0,100,100,47.6464,100
2000-04-07,20.9952,14.6,4,0.76528,3.2,0,0,100,100,47.6464,100
2000-04-08,22.2912,17.8,1.5,0.74297,2.5,0,0,100,100,47.6464,100
2000-04-09,12.7872,16.8,4.5,0.62888,3.7,0,0,100,100,47.6464,100
2000-04-10,15.2928,17.4,3.7,0.63141,2,0,0,100,100,47.6464,100
2000-04-11,17.3664,15.9,7.6,0.87353,2.4,3.5,0,100,100,47.6464,100
2000-04-12,14.1696,12.8,5.2,0.82101,3.7,3.5,0,100,100,47.6464,100
2000-04-13,5.7024,11.5,5,0.90928,1.5,3.5,0,100,100,47.6464,100
2000-04-14,20.8224,20.6,3.8,0.92007,2.8,0,0,100,100,47.6464,100
2000-04-15,13.5648,16.2,5.4,0.80358,3,1.5,0,100,100,47.6464,100
2000-04-16,16.3296,18.5,3.2,0.68872,3.3,0,0,100,100,47.6464,100
2000-04-17,3.7152,10.5,5.9,0.849,1.9,2,0,100,100,47.6464,100
2000-04-18,11.3184,12.2,4.4,0.89057,2.7,0,0,100,100,47.6464,100
2000-04-19,24.4512,17.6,1.7,0.90583,2.7,0,0,100,100,47.6464,100
2000-04-20,23.9328,21.2,3.8,0.95669,2.5,0,0,100,100,47.6464,100
2000-04-21,22.2912,25,7.1,1.06445,2.2,0,0,100,100,47.6464,100
2000-04-22,22.9824,26.1,8.1,1.05701,3.6,0,0,100,100,47.6464,100
2000-04-23,10.5408,19.9,7.1,1.16552,3.6,21,0,100,100,47.6464,100
2000-04-24,17.6256,13.6,4.9,0.97021,2.5,0,0,100,100,47.6464,100
2000-04-25,25.3152,22.3,3.5,1.13178,1.7,0,0,100,100,47.6464,100
2000-04-26,21.7728,24.6,7.4,1.07109,2.6,0,0,100,100,47.6464,100
2000-04-27,14.7744,23.4,9.4,1.04026,3.6,0,0,100,100,47.6464,100
2000-04-28,14.9472,19.6,9.3,0.96538,5.8,0.5,0,100,100,47.6464,100
2000-04-29,13.6512,16.5,8.9,1.26486,2.3,2.5,0,100,100,47.6464,100
2000-04-30,21.168,23,6.9,1.34049,1.8,0,0,100,100,47.6464,100
2000-05-01,23.76,24.1,7.9,1.27834,2.4,0,0,100,100,47.6464,100
2000-05-02,24.5376,25.2,9,1.31486,2.4,0,0,100,100,57.13983,100
2000-05-03,19.7856,24.4,11.1,1.41164,2,0,0,100,100,59.33363,100
2000-05-04,23.328,26.1,9.2,1.4525,1.7,0,0,100,100,60.84428,100
2000-05-05,15.3792,22.9,12.2,1.31191,2.4,0,0,100,100,62.03231,100
2000-05-06,13.824,23.4,10.6,1.31776,2,0,0,100,100,63.02611,100
2000-05-07,22.3776,24.8,8.6,1.13164,2.7,0,0,100,100,63.88791,100
2000-05-08,18.7488,25.1,12.4,1.38527,1.7,0,0,100,100,64.65311,100
2000-05-09,24.0192,27.6,9.9,1.34319,2.7,0,0,100,100,65.34399,100
2000-05-10,21.5136,28,12.2,1.34327,2.7,0,0,100,100,65.97554,100
2000-05-11,22.464,27.7,12.4,1.33592,2.9,6.5,0,100,100,66.5584,100
