Upper_m,Lower_m,Rootden_,uAux_PSIM_init_kPa,u_delta18O_init_permil,u_delta2H_init_permil
m,m,-,kPa,permil,permil
0.000,-0.080,4.736,-6.300,-10.000,-70.000
-0.080,-0.190,4.166,-6.300,-10.000,-70.000
-0.190,-0.200,3.169,-6.300,-10.000,-70.000
-0.200,-0.350,3.169,-6.300,-10.000,-70.000
-0.350,-0.500,1.590,-6.300,-10.000,-70.000
-0.500,-0.790,1.580,-6.300,-10.000,-70.000
-0.790,-0.800,1.569,-6.300,-10.000,-70.000
-0.800,-1.090,1.293,-6.300,-10.000,-70.000
-1.090,-1.100,0.680,-6.300,-10.000,-70.000
-1.100,-1.550,0.855,-6.300,-10.000,-70.000
-1.550,-1.590,1.205,-6.300,-10.000,-70.000
-1.590,-1.600,1.205,-6.300,-10.000,-70.000
-1.600,-1.650,1.205,-6.300,-10.000,-70.000
