ψ_kPa_100mm,ψ_kPa_200mm,ψ_kPa_400mm,ψ_kPa_600mm,ψ_kPa_800mm,ψ_kPa_1000mm,ψ_kPa_1200mm,date,ψ_kPa_eff,RWU,cap
-6.299999999999995,-6.299999999999995,-6.299999999999998,-6.299999999999998,-6.299999999999998,-6.299999999999993,-6.299999999999993,2024-01-01,NaN,0.0,0
-7.355387880299213,-8.718183813513436,-9.945848485188145,-8.962825869818841,-8.193457105417398,-7.841507711222449,-7.312312970733727,2024-01-02,-7.492129601471418,0.007653572865247645,0
-0.9211489487893267,-2.3345317250012334,-7.621046321983265,-8.263866935403868,-8.474425116247483,-8.474349202288652,-8.207372228506994,2024-01-03,-1.2778712239366854,0.011254838058170326,0
-1.03252879201864,-2.108310577906227,-5.695571352071508,-5.98894582543729,-6.313423993375786,-6.486557400387848,-6.764625078533657,2024-01-04,-1.2247840952219236,0.0015270415717123834,0
-2.5910208721515153,-4.140867679184082,-7.178265889561971,-6.828276011287992,-6.580848669120397,-6.477026631730831,-6.348073216409034,2024-01-05,-2.8945828291666014,0.004619587915184813,0
-0.7856430508636074,-1.7262480268671359,-5.402130131732833,-5.833248624817078,-6.166010950707596,-6.303452951941599,-6.403174072375535,2024-01-06,-0.9598950533811532,0.0017346991778901875,0
-3.1905790214857865,-4.710823318650137,-7.3097938210143285,-6.8055808282509815,-6.444276576773405,-6.288592522497751,-6.078243276725378,2024-01-07,-3.4195146760246904,0.0024742235654122554,0
-5.2461996982297965,-7.024320423538812,-9.321871990453877,-8.564590408457757,-7.939406568428003,-7.642182007372413,-7.153831529242498,2024-01-08,-5.467638312127596,0.023391298975332354,0
-6.98172584583912,-8.899197817816948,-11.004088332125125,-10.109919609929685,-9.341012215050844,-8.966708987401775,-8.32988570172948,2024-01-09,-7.093807008233842,0.016203626888445073,0
-8.66474076249423,-10.583741958903827,-12.462430019710919,-11.473342822692294,-10.606903779923325,-10.181392849171791,-9.449032810648584,2024-01-10,-8.777928508275188,0.018972341057686047,0
-10.328168474067471,-12.165256612696096,-13.789994332975409,-12.72039183570374,-11.775802615733303,-11.310064594282709,-10.505469795585618,2024-01-11,-10.447074564488414,0.02028817938719457,0
-11.5949490803196,-13.493003850727339,-15.000034432091917,-13.873842218006947,-12.869397977973847,-12.37203513138885,-11.510038054435586,2024-01-12,-11.581426766877946,0.0076062238203732264,0
-12.729870134844738,-14.651780689639198,-16.09076173253994,-14.928891434623244,-13.884290501145369,-13.365066912975923,-12.461607938246836,2024-01-13,-12.634597213654214,0.0049785552505951115,0
-13.904178409619881,-15.768981095605037,-17.104071543641453,-15.911005079904394,-14.834392042378411,-14.298227312707192,-13.3633902637792,2024-01-14,-13.862977890951237,0.007406116248290681,0
-15.10234438094764,-16.875992564395016,-18.073139234136733,-16.846381107583312,-15.73958253327268,-15.187984212072083,-14.226065728401915,2024-01-15,-15.23846017825602,0.02257652657766864,0
-12.456447498432434,-15.364653646080054,-18.48507606581377,-17.479077338456005,-16.480068953882718,-15.96240036483733,-15.020805917112215,2024-01-16,-12.484552941442914,0.007806686698278278,0
-14.36034920514796,-16.82519516389331,-19.08533030220605,-18.033711451566944,-17.055685624905777,-16.559311554621956,-15.662921261684835,2024-01-17,-14.394001039741873,0.018952318502956977,0
-0.21281142059744199,-0.4257544676787077,-2.7649837083819753,-4.362737633052332,-7.408208265497745,-9.385991338660155,-12.50213007993886,2024-01-18,-0.381224950631228,0.00899740313365542,0
-0.2822939788462055,-0.5306957854793742,-2.242108293286276,-2.28132254418579,-2.3759394404862317,-2.447663043857846,-2.7583794455340174,2024-01-19,NaN,0.0,0
-3.1550832493167382,-4.359904343309384,-6.1961137318587225,-5.482758829839658,-4.9203458635440125,-4.660749570451454,-4.262937082037931,2024-01-20,-3.388835008862949,0.007151003972804395,0
-5.042412211252942,-6.625470317752528,-8.54825705947007,-7.7021853227651516,-6.994674336747267,-6.6556462596027135,-6.096393171851912,2024-01-21,-5.165149854610537,0.011591820928070932,0
-6.943554251230582,-8.618124204507133,-10.393956843673822,-9.445227364381553,-8.63227284695335,-8.237694999147081,-7.57103548299189,2024-01-22,-7.13858289391565,0.02669577323383617,0
-1.0644271373740652,-2.6267802078370237,-8.055798741281793,-8.623528168363611,-8.765620309037347,-8.732510043964567,-8.408302711702298,2024-01-23,-1.6634266745096917,0.016757165454450593,0
-3.0901444966792613,-4.889761862669404,-8.339455421396284,-8.087770026581431,-7.933874411382001,-7.873016066610306,-7.772109613069127,2024-01-24,-3.3576663618696094,0.020700909843296925,0
-5.349561110496998,-7.32699418492973,-10.046826131806073,-9.403220268525578,-8.887921844436647,-8.647080623352885,-8.255322111484773,2024-01-25,-6.008897612172094,0.05831581059188752,0
-7.353542034267902,-9.370885927218122,-11.658545778759494,-10.813998993064196,-10.096014562837189,-9.748926078403155,-9.161533573156767,2024-01-26,-7.668887385423489,0.04120774711377918,0
-5.45524598279046,-8.120693250503823,-12.190755618175368,-11.61446159150546,-10.999878407822637,-10.672116503477865,-10.0490978954864,2024-01-27,-5.779219253730851,0.014961796852891925,0
-7.361043041161641,-9.883017501671537,-12.992130793613319,-12.27096455716023,-11.61512853685839,-11.284296861498852,-10.6778658278786,2024-01-28,-7.40054065086565,0.01202668232818847,0
-9.499798983871118,-11.73489730028429,-14.144487910093554,-13.2534612659587,-12.465819466937026,-12.076119938579998,-11.390247759884021,2024-01-29,-9.633009279086565,0.04701636492005867,0
-12.007916726702337,-13.761828754485384,-15.414247988483993,-14.359588908642143,-13.436838820720153,-12.983782325873623,-12.201354076926762,2024-01-30,-12.517309585605608,0.07750027296871183,0
-14.310103918746181,-15.655782053289874,-16.687448381074454,-15.500770101870659,-14.460868398788461,-13.950565678434334,-13.0756441123447,2024-01-31,-14.768496175636972,0.061726393510429606,0
-16.564469173472457,-17.44249649478681,-17.921831659855677,-16.629580404037878,-15.492171662136226,-14.9336223420009,-13.979156313480901,2024-02-01,-16.970729879973675,0.058120826136886856,0
-18.38113987212837,-18.993589413328632,-19.085337038384644,-17.71492030860373,-16.50357683586203,-15.907651553366517,-14.889260266031618,2024-02-02,-18.687592399716454,0.03781731833686714,0
-20.0423667755768,-20.398969561780383,-20.189450344099964,-18.75939507151105,-17.48888114504915,-16.862768758748246,-15.792855796951674,2024-02-03,-20.240110206901345,0.039030425232940716,0
-21.98647529901606,-21.840379268626464,-21.260501506479606,-19.774248158794368,-18.45173568602915,-17.799763528092083,-16.686360480338784,2024-02-04,-21.969700174510177,0.04567823438406776,0
-24.32785905569654,-23.452485736978566,-22.35675032626649,-20.798280538546237,-19.416549288741713,-18.736293121917708,-17.578555067171557,2024-02-05,-23.728410497610582,0.05586636803270422,0
-27.340091029673932,-25.360987520247367,-23.523689879668957,-21.87057769918961,-20.412556983677483,-19.69693772470436,-18.486481896649646,2024-02-06,-25.729842783831586,0.07950682368952233,0
-30.30805020374029,-27.325512481068017,-24.755324331897697,-23.0010736930745,-21.453470536093917,-20.69577110186235,-19.422927690392658,2024-02-07,-27.026871664578955,0.08290716069413628,0
-31.740083021018812,-28.714239203727285,-25.86595196727839,-24.063438469049206,-22.467638076365283,-21.68431651600933,-20.365495859038795,2024-02-08,-27.334735443080522,0.04168952184202212,0
