Date,TreeNr,Time,LWP1_bar,LWP2_bar,LWP3_bar,Method,LWP_mean,TWD,gs,sapflow,PRI,SMP_1cm,SMP_20cm,SMP_80cm,SMP_110cm,SMP_160cm,SMP_mean,VPD_kPa,pd_md
2021-06-01,1,08:02:00,5,5,6,bagged,5.3,,,,,,,,,,,,md
2021-06-01,1,10:28:00,8,8,8,bagged,8,,,,,,,,,,,,md
2021-06-01,1,12:38:00,9,9,10,bagged,9.3,130,270.3,,,,,,,,,,md
2021-06-01,1,15:17:00,9,9,9,bagged,9,,,,,,,,,,,,md
2021-06-01,1,17:52:00,7,7,10,bagged,8,,,,,,,,,,,,md
2021-06-01,1,03:32:00,3,4,4,unbagged,3.7,120,,,,,,,,,,,pd
2021-06-01,1,08:00:00,7,7,8,unbagged,7.3,,,,,,,,,,,,md
2021-06-01,1,10:25:00,14,12,14,unbagged,13.3,,,,,,,,,,,,md
2021-06-01,1,12:32:00,15,16,18,unbagged,16.3,130,270.3,,,,,,,,,,md
2021-06-01,1,15:12:00,15,16,17,unbagged,16,,,,,,,,,,,,md
2021-06-01,1,17:55:00,7,7,7,unbagged,7,,,,,,,,,,,,md
2021-07-21,1,09:25:00,6,7,7,bagged,6.7,,,,,,,,,,,,md
2021-07-21,1,12:50:00,10,10,11,bagged,10.3,174,372.3,,,,,,,,,,md
2021-07-21,1,15:26:00,10,12,13,bagged,11.7,,,,,,,,,,,,md
2021-07-21,1,17:25:00,11,11,14,bagged,12,,,,,,,,,,,,md
2021-07-21,1,04:14:00,3,3,3,unbagged,3,155,,,,,,,,,,,pd
2021-07-21,1,09:35:00,9,14,14,unbagged,12.3,,,,,,,,,,,,md
2021-07-21,1,12:58:00,19,20,22,unbagged,20.3,174,372.3,,,,,,,,,,md
2021-07-21,1,15:32:00,18,19,20,unbagged,19,,,,,,,,,,,,md
2021-07-21,1,17:32:00,13,19,20,unbagged,17.3,,,,,,,,,,,,md
2021-08-26,1,12:42:00,18,18,19,bagged,18.3,220,325.8,,,,,,,,,,md
2021-08-26,1,15:31:00,18,20,20,bagged,19.3,,,,,,,,,,,,md
2021-08-26,1,04:14:00,6,6,8,unbagged,6.7,155,,,,,,,,,,,pd
2021-08-26,1,12:50:00,23,24,25,unbagged,24,220,325.8,,,,,,,,,,md
2021-08-26,1,15:37:00,23,25,26,unbagged,24.7,,,,,,,,,,,,md
2021-09-07,1,13:21:00,26,26,29,bagged,27,321,125.5,,,,,,,,,,md
2021-09-07,1,15:54:00,26,26,27,bagged,26.3,,,,,,,,,,,,md
2021-09-07,1,05:11:00,18,19,19,unbagged,18.7,270,,,,,,,,,,,pd
2021-09-07,1,13:18:00,28,29,30,unbagged,29,321,125.5,,,,,,,,,,md
2021-09-07,1,15:50:00,27,29,30,unbagged,28.7,,,,,,,,,,,,md
2022-06-14,1,09:04:00,19,20,20,bagged,19.7,,,,,,,,,,,,md
2022-06-14,1,12:45:00,23,24,24,bagged,23.7,310,70.1,,,,,,,,,,md
2022-06-14,1,15:37:00,23,24,24,bagged,23.7,,,,,,,,,,,,md
2022-06-14,1,03:29:00,15,15,16,unbagged,15.3,250,,,,,,,,,,,pd
2022-06-14,1,09:08:00,21,21,22,unbagged,21.3,,,,,,,,,,,,md
2022-06-14,1,12:48:00,25,25,25,unbagged,25,310,70.1,,,,,,,,,,md
2022-06-14,1,15:44:00,24,25,25,unbagged,24.7,,,,,,,,,,,,md
2022-07-11,1,14:10:00,31,32,32,bagged,31.7,360,36.4,,,,,,,,,,md
2022-07-11,1,04:28:00,27,27,28,unbagged,27.3,328,,,,,,,,,,,pd
2022-07-11,1,14:06:00,31,32,32,unbagged,31.7,360,36.4,,,,,,,,,,md
2022-08-13,1,14:08:00,43,44,45,bagged,44,489,24.2,,,,,,,,,,md
2022-08-13,1,04:52:00,43,44,45,unbagged,44,480,,,,,,,,,,,pd
2022-08-13,1,14:03:00,43,44,46,unbagged,44.3,489,24.2,,,,,,,,,,md
2022-11-02,1,11:45:00,20,21,22,unbagged,21,,,,,,,,,,,,md
2021-06-01,2,07:52:00,5,5,5,bagged,5,,,,,,,,,,,,md
2021-06-01,2,09:50:00,7,8,8,bagged,7.7,,,,,,,,,,,,md
2021-06-01,2,12:25:00,9,9,9,bagged,9,142,254.5,,,,,,,,,,md
2021-06-01,2,15:07:00,9,9,10,bagged,9.3,,,,,,,,,,,,md
2021-06-01,2,17:46:00,6,7,7,bagged,6.7,,,,,,,,,,,,md
2021-06-01,2,03:45:00,4,4,5,unbagged,4.3,137,,,,,,,,,,,pd
2021-06-01,2,07:50:00,6,6,8,unbagged,6.7,,,,,,,,,,,,md
2021-06-01,2,09:45:00,9,9,10,unbagged,9.3,,,,,,,,,,,,md
2021-06-01,2,12:20:00,12,13,15,unbagged,13.3,142,254.5,,,,,,,,,,md
2021-06-01,2,15:00:00,12,13,14,unbagged,13,,,,,,,,,,,,md
2021-06-01,2,17:44:00,7,8,8,unbagged,7.7,,,,,,,,,,,,md
2021-07-21,2,09:13:00,4,5,6,bagged,5,,,,,,,,,,,,md
2021-07-21,2,12:39:00,8,9,9,bagged,8.7,155,465.7,,,,,,,,,,md
2021-07-21,2,15:11:00,10,10,10,bagged,10,,,,,,,,,,,,md
2021-07-21,2,17:13:00,7,7,8,bagged,7.3,,,,,,,,,,,,md
2021-07-21,2,04:02:00,3,4,4,unbagged,3.7,150,,,,,,,,,,,pd
2021-07-21,2,09:20:00,10,10,16,unbagged,12,,,,,,,,,,,,md
2021-07-21,2,12:45:00,16,20,22,unbagged,19.3,155,465.7,,,,,,,,,,md
2021-07-21,2,15:17:00,18,19,23,unbagged,20,,,,,,,,,,,,md
2021-07-21,2,17:20:00,12,15,19,unbagged,15.3,,,,,,,,,,,,md
2021-08-26,2,12:30:00,19,20,20,bagged,19.7,200,374.2,,,,,,,,,,md
2021-08-26,2,15:19:00,17,19,21,bagged,19,,,,,,,,,,,,md
2021-08-26,2,04:00:00,7,7,7,unbagged,7,173,,,,,,,,,,,pd
2021-08-26,2,12:37:00,24,24,25,unbagged,24.3,200,374.2,,,,,,,,,,md
2021-08-26,2,15:24:00,22,23,27,unbagged,24,,,,,,,,,,,,md
2021-09-07,2,12:57:00,25,26,27,bagged,26,333,193.9,,,,,,,,,,md
2021-09-07,2,15:36:00,26,26,26,bagged,26,,,,,,,,,,,,md
2021-09-07,2,05:06:00,18,18,19,unbagged,18.3,304,,,,,,,,,,,pd
2021-09-07,2,12:52:00,28,29,29,unbagged,28.7,333,193.9,,,,,,,,,,md
2021-09-07,2,15:31:00,28,29,31,unbagged,29.3,,,,,,,,,,,,md
2022-06-14,2,08:48:00,19,19,19,bagged,19,,,,,,,,,,,,md
2022-06-14,2,12:29:00,23,23,23,bagged,23,280,119.4,,,,,,,,,,md
2022-06-14,2,15:23:00,24,24,24,bagged,24,,,,,,,,,,,,md
2022-06-14,2,03:40:00,16,16,17,unbagged,16.3,230,,,,,,,,,,,pd
2022-06-14,2,08:56:00,21,22,23,unbagged,22,,,,,,,,,,,,md
2022-06-14,2,12:36:00,25,25,27,unbagged,25.7,280,119.4,,,,,,,,,,md
2022-06-14,2,15:31:00,25,26,26,unbagged,25.7,,,,,,,,,,,,md
2022-07-11,2,13:51:00,31,32,32,bagged,31.7,315,46.3,,,,,,,,,,md
2022-07-11,2,04:15:00,26,27,27,unbagged,26.7,302,,,,,,,,,,,pd
2022-07-11,2,13:46:00,31,31,32,unbagged,31.3,315,46.3,,,,,,,,,,md
2022-08-13,2,13:48:00,41,42,42,bagged,41.7,408,24.1,,,,,,,,,,md
2022-08-13,2,04:37:00,39,40,41,unbagged,40,410,,,,,,,,,,,pd
2022-08-13,2,13:43:00,41,43,43,unbagged,42.3,408,24.1,,,,,,,,,,md
2022-11-02,2,11:40:00,16,17,18,unbagged,17,,,,,,,,,,,,md
2021-06-01,3,07:47:00,6,6,7,bagged,6.3,,,,,-49.1,-16.5,-14.9,-16.4,-16.8,-17.1,0.724901424,md
2021-06-01,3,10:00:00,9,7,8,bagged,8,,,,,-49.7,-16.6,-14.9,-16.5,-17.1,-17.3,1.220921877,md
2021-06-01,3,12:14:00,9,9,10,bagged,9.3,237,328.7,11.1,,-51,-16.7,-15,-16.6,-18.2,-17.6,2.137439636,md
2021-06-01,3,14:55:00,10,12,10,bagged,10.7,,,,,-53.2,-16.9,-15.1,-16.9,-20.4,-18.2,2.137439636,md
2021-06-01,3,17:32:00,7,8,8,bagged,7.7,,,,,-54.7,-17,-15.2,-17,-21.3,-18.5,1.665211213,md
2021-06-01,3,03:25:00,4,5,5,unbagged,4.7,217,,,,-48.6,-16.5,-14.8,-16.3,-16.9,-17.1,0.808753875,pd
2021-06-01,3,07:45:00,10,11,11,unbagged,10.7,,,,,-49.1,-16.5,-14.9,-16.4,-16.8,-17.1,0.724901424,md
2021-06-01,3,09:57:00,17,17,13,unbagged,15.7,,,,,-49.7,-16.6,-14.9,-16.5,-17.1,-17.3,1.220921877,md
2021-06-01,3,12:08:00,13,17,15,unbagged,15,237,328.7,11.1,,-51,-16.7,-15,-16.6,-18.2,-17.6,2.137439636,md
2021-06-01,3,14:50:00,15,20,19,unbagged,18,,,,,-53.2,-16.9,-15.1,-16.9,-20.4,-18.2,2.137439636,md
2021-06-01,3,17:29:00,8,8,12,unbagged,9.3,,,,,-54.7,-17,-15.2,-17,-21.3,-18.5,1.665211213,md
2021-07-21,3,08:58:00,7,7,8,bagged,7.3,,,,,-49.8,-18.8,-86.2,-181.6,-221.6,-115.3,0.840735982,md
2021-07-21,3,12:22:00,11,14,14,bagged,13,282,465.4,10.8,,-53.7,-19.6,-87.7,-184.1,-232.8,-118.8,1.771851724,md
2021-07-21,3,14:58:00,9,10,12,bagged,10.3,,,,,-56.8,-20.1,-89,-186.3,-243.1,-121.8,1.771851724,md
2021-07-21,3,16:58:00,9,10,11,bagged,10,,,,,-60,-20.5,-89.6,-189.1,-252.4,-124.6,2.287959809,md
2021-07-21,3,04:25:00,3,4,4,unbagged,3.7,263,,,,-48.8,-18.6,-87.1,-182.4,-227.5,-116.8,0.822768445,pd
2021-07-21,3,09:06:00,16,17,20,unbagged,17.7,,,,,-49.8,-18.8,-86.2,-181.6,-221.6,-115.3,0.840735982,md
2021-07-21,3,12:27:00,17,19,20,unbagged,18.7,282,465.4,10.8,,-53.7,-19.6,-87.7,-184.1,-232.8,-118.8,1.771851724,md
2021-07-21,3,15:06:00,21,22,,unbagged,21.5,,,,,-56.8,-20.1,-89,-186.3,-243.1,-121.8,1.771851724,md
2021-07-21,3,17:09:00,21,21,24,unbagged,22,,,,,-60,-20.5,-89.6,-189.1,-252.4,-124.6,2.287959809,md
2021-08-26,3,12:10:00,15,16,22,bagged,17.7,312,378.3,10.1,,-3675.1,-650.2,-620.5,-646.2,-681.7,-742.2,1.418570955,md
2021-08-26,3,15:03:00,19,21,,bagged,20,,,,,-3863,-668.8,-635.1,-665.6,-690.3,-763.4,2.030826501,md
2021-08-26,3,03:47:00,9,9,10,unbagged,9.3,285,,,,-3322.4,-644.4,-610.8,-644.8,-681.5,-726.7,0.293133447,pd
2021-08-26,3,12:22:00,27,27,29,unbagged,27.7,312,378.3,10.1,,-3675.1,-650.2,-620.5,-646.2,-681.7,-742.2,1.418570955,md
2021-08-26,3,15:13:00,25,27,29,unbagged,27,,,,,-3863,-668.8,-635.1,-665.6,-690.3,-763.4,2.030826501,md
2021-09-07,3,12:37:00,26,27,27,bagged,26.7,480,244.1,9.2,,-7206.8,-1090.9,-1062.8,-1115.6,-1078.8,-1278.9,2.053038015,md
2021-09-07,3,15:18:00,27,27,29,bagged,27.7,,,,,-7772.4,-1108,-1071.8,-1125.5,-1092.7,-1308.7,2.23488006,md
2021-09-07,3,04:58:00,18,19,20,unbagged,19,437,,,,-6899.6,-1076.6,-1050.7,-1110.7,-1076.5,-1260.6,0.72385646,pd
2021-09-07,3,12:33:00,29,30,31,unbagged,30,480,244.1,9.2,,-7206.8,-1090.9,-1062.8,-1115.6,-1078.8,-1278.9,2.053038015,md
2021-09-07,3,15:15:00,30,31,32,unbagged,31,,,,,-7772.4,-1108,-1071.8,-1125.5,-1092.7,-1308.7,2.23488006,md
2022-06-14,3,08:40:00,18,18,18,bagged,18,,,,,-3424.6,-906.9,-892.1,-928.2,-962.6,-997.6,1.235988151,md
2022-06-14,3,12:13:00,23,24,24,bagged,23.7,310,115.9,6.5,,-3603.6,-918.4,-904.2,-935.7,-963.4,-1011.5,2.253928613,md
2022-06-14,3,15:08:00,21,22,23,bagged,22,,,,,-3643.4,-935.2,-911.2,-949.8,-972,-1024.4,2.762723452,md
2022-06-14,3,03:12:00,14,13,15,unbagged,14,260,,,,-3035.1,-919.1,-887.7,-924.8,-964.6,-987.3,0.858637247,pd
2022-06-14,3,08:43:00,21,21,22,unbagged,21.3,,,,,-3424.6,-906.9,-892.1,-928.2,-962.6,-997.6,1.235988151,md
2022-06-14,3,12:22:00,23,24,23,unbagged,23.3,310,115.9,6.5,,-3603.6,-918.4,-904.2,-935.7,-963.4,-1011.5,2.253928613,md
2022-06-14,3,15:17:00,26,26,26,unbagged,26,,,,,-3643.4,-935.2,-911.2,-949.8,-972,-1024.4,2.762723452,md
2022-07-11,3,13:31:00,31,32,32,bagged,31.7,365,79.5,4.2,,-3299,-1212.9,-1304.8,-1421.5,-1293.6,-1368.3,2.22042274,md
2022-07-11,3,04:34:00,26,27,27,unbagged,26.7,350,,,,-2806.9,-1222.2,-1301,-1413.8,-1294.8,-1352.9,0.747298931,pd
2022-07-11,3,13:27:00,32,33,33,unbagged,32.7,365,79.5,4.2,,-3299,-1212.9,-1304.8,-1421.5,-1293.6,-1368.3,2.22042274,md
2022-08-13,3,13:30:00,41,46,46,bagged,44.3,380,25.1,4,,-6143.1,-1437.1,-1532.4,-1760,-1554.2,-1710.6,3.22216803,md
2022-08-13,3,04:20:00,39,40,41,unbagged,40,388,,,,-5075.2,-1456.6,-1534.7,-1768.2,-1550.9,-1684.8,1.104742965,pd
2022-08-13,3,13:24:00,43,44,46,unbagged,44.3,380,25.1,4,,-6143.1,-1437.1,-1532.4,-1760,-1554.2,-1710.6,3.22216803,md
2022-11-02,3,11:30:00,20,21,26,unbagged,22.3,,,,,-20.5,-21.1,-1221.8,-920.4,-628.1,-659.9,,md
2021-06-01,8,07:32:00,6,6,8,bagged,6.7,,,,,,,,,,,0.630923861,md
2021-06-01,8,09:36:00,8,8,7,bagged,7.7,,,,,,,,,,,0.864822378,md
2021-06-01,8,11:58:00,8,8,8,bagged,8,133,252,7.6,-37,-49.7,-16.6,-14.9,-16.5,-17.1,-17.3,2.137439636,md
