date,depth,SWP
2014-01-01,20,-19.858896666666666
2014-01-01,80,-105.928455
2014-01-02,20,-19.80148625
2014-01-02,80,-104.55956916666666
2014-01-03,20,-19.486121666666666
2014-01-03,80,-102.971275
2014-01-04,20,-17.543770416666668
2014-01-04,80,-101.32416583333334
2014-01-05,20,-12.51865125
2014-01-05,80,-99.56599041666666
2014-01-06,20,-12.715265833333333
2014-01-06,80,-97.80562333333333
2014-01-07,20,-13.432204166666667
2014-01-07,80,-94.98398416666667
2014-01-08,20,-14.225288333333333
2014-01-08,80,-90.99169791666667
2014-01-09,20,-15.095204583333333
2014-01-09,80,-85.07762875
2014-01-10,20,-15.8722275
2014-01-10,80,-77.98300333333333
2014-01-11,20,-16.473132916666668
2014-01-11,80,-70.90134791666667
2014-01-12,20,-16.918685416666666
2014-01-12,80,-64.90368083333334
2014-01-13,20,-17.226975416666665
2014-01-13,80,-62.677079166666665
2014-01-14,20,-17.222659583333332
2014-01-14,80,-57.963245416666666
2014-01-15,20,-15.7242375
2014-01-15,80,-54.6528225
2014-01-16,20,-15.5013625
2014-01-16,80,-52.229807083333334
2014-01-17,20,-13.65006625
2014-01-17,80,-50.07461875
2014-01-18,20,-12.625952083333333
2014-01-18,80,-47.98763625
2014-01-19,20,-13.15757
2014-01-19,80,-45.746849166666664
2014-01-20,20,-13.83922875
2014-01-20,80,-43.178454583333334
2014-01-21,20,-14.5413925
2014-01-21,80,-40.42331958333333
2014-01-22,20,-15.124954583333333
2014-01-22,80,-37.997395833333336
2014-01-23,20,-15.65501875
2014-01-23,80,-36.160835416666664
2014-01-24,20,-15.055189166666667
2014-01-24,80,-34.8168325
2014-01-25,20,-13.429067916666666
2014-01-25,80,-33.84888083333333
2014-01-26,20,-13.769173333333333
2014-01-26,80,-32.91641958333334
2014-01-27,20,-13.390991249999999
2014-01-27,80,-31.962254583333333
2014-01-28,20,-12.209004583333334
2014-01-28,80,-30.344682083333332
2014-01-29,20,-12.749887083333334
2014-01-29,80,-27.976105
2014-01-30,20,-13.39829875
2014-01-30,80,-26.338079583333332
2014-01-31,20,-14.019872083333333
2014-01-31,80,-25.395359166666665
2014-02-01,20,-14.611728750000001
2014-02-01,80,-24.864435416666666
2014-02-02,20,-14.87256625
2014-02-02,80,-24.5619675
2014-02-03,20,-12.47077875
2014-02-03,80,-24.35140875
2014-02-04,20,-12.6863025
2014-02-04,80,-23.99542125
2014-02-05,20,-13.233151666666666
2014-02-05,80,-23.559762499999998
2014-02-06,20,-13.628455416666666
2014-02-06,80,-23.226410416666667
2014-02-07,20,-13.229426666666667
2014-02-07,80,-23.027694166666667
2014-02-08,20,-11.564544583333333
2014-02-08,80,-22.782659166666665
2014-02-09,20,-11.439297083333333
2014-02-09,80,-22.091192500000002
2014-02-10,20,-11.713427083333332
2014-02-10,80,-21.014703333333333
2014-02-11,20,-12.266865833333334
2014-02-11,80,-20.237155833333333
2014-02-12,20,-12.81544125
2014-02-12,80,-19.939455
2014-02-13,20,-12.509140833333333
2014-02-13,80,-19.853810416666665
2014-02-14,20,-11.250371666666666
2014-02-14,80,-18.386525833333334
2014-02-15,20,-11.196082083333334
2014-02-15,80,-16.472327916666668
2014-02-16,20,-11.15076875
2014-02-16,80,-15.642424166666666
2014-02-17,20,-11.09584625
2014-02-17,80,-14.933562916666666
2014-02-18,20,-11.393874166666667
2014-02-18,80,-14.728471666666668
2014-02-19,20,-11.89882125
2014-02-19,80,-14.83922125
2014-02-20,20,-12.358822916666666
2014-02-20,80,-14.985884583333334
2014-02-21,20,-12.765743333333333
2014-02-21,80,-15.124740833333334
2014-02-22,20,-13.048242083333333
2014-02-22,80,-15.261107083333334
2014-02-23,20,-11.90809625
2014-02-23,80,-15.30590625
