"series_id","data_format","extracted_from","extracted_until","timezone","measure_point","series_start","series_stop","series_cutout","series_past_sensor_ids","series_past_sensor_names","series_active","series_display","variable_id","variable_name","variable_resolution","variable_units","sensor_id","current_sensor","sensor_class","tree_id","tree_name","tree_xcor","tree_ycor","tree_altitude","tree_genus","tree_species","tree_genus_species","tree_dbh","tree_height","tree_status","tree_age","tree_phloem_thickness_mm","tree_totalbark_thickness_mm","tree_sapwood_thickness_cm","tree_sapwood_area","position_id","series_height","series_exposition","series_distance_to_tree","series_dsri_max","series_dsri_min","series_twd_max_gp","series_twd_med_gp","series_twd_min_gp","series_twd_max_nogp","series_twd_med_nogp","series_twd_min_nogp","series_twd_max_frost","series_twd_med_frost","series_twd_min_frost","series_gro_start_doy_med","series_gro_end_doy_med","series_gro_max_yr","series_gro_med_yr","series_gro_min_yr","series_gro_max_month","series_gro_med_month","series_gro_min_month","series_gro_max_week","series_gro_med_week","series_gro_min_week","series_gro_max_day","series_gro_med_day","series_gro_min_day","series_gro_max_hr","series_gro_med_hr","series_gro_min_hr","series_timing_gro_year_max","series_timing_gro_year_min","series_timing_gro_month_max","series_timing_gro_week_max","series_timing_gro_doy_max","series_timing_gro_hour_max","series_timing_gro_hour_min","series_grohours_med","series_grohours_gp_med","series_grohours_percent_med","series_mds_gp_med","series_mds_gp_max","series_twd_gp_morning","series_proc_tol","series_proc_tol_out","series_proc_tol_jump","series_proc_frost_thr","site_id","site_name","site_subplot","site_exposition","site_xcor","site_ycor","site_altitude","site_forest_type","site_soil_type","site_affiliation","site_area","region","country","site_annual_temp","site_growth_temp","site_annual_precip","site_growth_precip","site_annual_rad","site_growth_rad","site_annual_relh","site_growth_relh","site_annual_vpd","site_growth_vpd","site_n_depo","site_ozon","site_nfk","site_temp_ref"
1351,"LM",2014-01-01,2025-12-31,"Etc/GMT-1","vetroz-forest_1351_tree-stem-radius-change_1.5_15413.dendrometer-position_qpubescens",2014-03-14,NA,NA,"1709","Vetroz-1.dendrometer.ch0","yes","yes",3,"tree stem radius change",10,"µm",258,"15413.dendrometer-position","Dendrometer",622,"Eiche N1",-999,-999,-999,"Quercus","pubescens","Quercus pubescens",14,7,"1",NA,NA,NA,NA,NA,961,1.5,"East",0,64,-86,414.14,71.85,0,529.19,106.81,0,770.65,66.71,0,100,194,548.71,455.12,314.94,347.35,54.43,0.61,140.83,21.97,0.26,104.38,8.35,0.13,31.09,1.23,0,2016,2022,4,17,188,7,16,121.8,2424,5.67,54.4,133.2,55,100,5,60,2,118,"Vetroz-Forest","Forest","South",7.25417,46.22139,830,"Mixed","Pararendzina","WSL_Soil","Vetroz","Alps","Switzerland",8.518244158,16.05695613,2.227942841,2.35700215,160.8106117,252.4441147,70.01863753,67.80275506,0.391280491,0.633228184,NA,NA,NA,1093
1352,"LM",2014-01-01,2025-12-31,"Etc/GMT-1","vetroz-forest_1352_tree-stem-radius-change_1.5_8998.dendrometer-position_qpubescens",2021-03-21,NA,NA,NA,NA,"yes","yes",3,"tree stem radius change",10,"µm",908,"8998.dendrometer-position","Dendrometer",623,"Eiche N13",-999,-999,-999,"Quercus","pubescens","Quercus pubescens",18,7,"domint",NA,NA,NA,NA,NA,962,1.5,"East",0,NA,NA,441.54,122.91,0,484.56,148.35,0,425.28,130.59,0,88,194,476.67,438.34,299.1,319.65,52.93,1.95,178.64,29.25,1.08,130.73,12.52,0.45,27.5,1.6,0,2023,2022,4,16,119,8,22,129.6,3732,3.87,33.5,68.4,150.9,100,10,100,2,118,"Vetroz-Forest","Forest","South",7.25417,46.22139,830,"Mixed","Pararendzina","WSL_Soil","Vetroz","Alps","Switzerland",8.518244158,16.05695613,2.227942841,2.35700215,160.8106117,252.4441147,70.01863753,67.80275506,0.391280491,0.633228184,NA,NA,NA,1093
1353,"LM",2014-01-01,2025-12-31,"Etc/GMT-1","vetroz-forest_1353_tree-stem-radius-change_1.4_8999.dendrometer-position_qpubescens",2021-03-21,NA,NA,NA,NA,"yes","yes",3,"tree stem radius change",10,"µm",909,"8999.dendrometer-position","Dendrometer",624,"Eiche N14",-999,-999,-999,"Quercus","pubescens","Quercus pubescens",15,7,"domint",NA,NA,NA,NA,NA,963,1.4,"East",0,NA,NA,587.98,213.38,0,658.76,208.33,0,590.22,148.2,0.02,100,194,375.58,347.28,304.11,210.86,27.76,3.06,196.18,25.38,0.54,117.44,10.36,0.3,20.11,2.02,0,2022,2023,4,17,116,6,15,84.4,3444,3.28,56.5,116.5,235,100,10,100,2,118,"Vetroz-Forest","Forest","South",7.25417,46.22139,830,"Mixed","Pararendzina","WSL_Soil","Vetroz","Alps","Switzerland",8.518244158,16.05695613,2.227942841,2.35700215,160.8106117,252.4441147,70.01863753,67.80275506,0.391280491,0.633228184,NA,NA,NA,1093
1354,"LM",2014-01-01,2025-12-31,"Etc/GMT-1","vetroz-forest_1354_tree-stem-radius-change_1.5_15414.dendrometer-position_qpubescens",2014-03-14,NA,NA,"1713","Vetroz-2.dendrometer.ch0","yes","yes",3,"tree stem radius change",10,"µm",259,"15414.dendrometer-position","Dendrometer",625,"Eiche N2",-999,-999,-999,"Quercus","pubescens","Quercus pubescens",20,8,"1",NA,NA,NA,NA,NA,964,1.5,"East",0,83,-96,491.12,99.33,0,587.77,130.94,0,457.15,109.86,0,110,195,718.99,327.26,123.91,207.08,41.5,1.19,131.84,18.33,0.61,114.34,10.23,0.03,44.97,1.22,0,2016,2022,4,17,116,6,14,98,2592,4.47,35.9,104.9,136.5,100,10,40,2,118,"Vetroz-Forest","Forest","South",7.25417,46.22139,830,"Mixed","Pararendzina","WSL_Soil","Vetroz","Alps","Switzerland",8.518244158,16.05695613,2.227942841,2.35700215,160.8106117,252.4441147,70.01863753,67.80275506,0.391280491,0.633228184,NA,NA,NA,1093
1355,"LM",2014-01-01,2025-12-31,"Etc/GMT-1","vetroz-forest_1355_tree-stem-radius-change_1.5_15415.dendrometer-position_qpubescens",2020-06-16,2023-12-18,NA,"1714","Vetroz-3.dendrometer.ch0","no","no",3,"tree stem radius change",10,"µm",260,"15415.dendrometer-position","Dendrometer",626,"Eiche N3",-999,-999,-999,"Quercus","pubescens","Quercus pubescens",21,9,"1",NA,NA,22,NA,NA,965,1.5,"East",0,NA,NA,467.57,152.13,0,547.81,206.06,0.01,396.25,154.12,0,100,247,797.18,576.52,283.71,230.43,75.95,2.01,156.87,47.92,1.01,102.68,16.85,0.32,23.86,1.85,0,2023,2022,4,17,119,6,16,161.5,3552,4.29,54.2,108.7,150.7,100,10,80,2,118,"Vetroz-Forest","Forest","South",7.25417,46.22139,830,"Mixed","Pararendzina","WSL_Soil","Vetroz","Alps","Switzerland",8.518244158,16.05695613,2.227942841,2.35700215,160.8106117,252.4441147,70.01863753,67.80275506,0.391280491,0.633228184,NA,NA,NA,1093
1356,"LM",2014-01-01,2025-12-31,"Etc/GMT-1","vetroz-forest_1356_tree-stem-radius-change_1.5_15420.dendrometer-position_qpubescens",2020-06-17,2023-12-18,NA,"1719","Vetroz-8.dendrometer.ch0","no","no",3,"tree stem radius change",10,"µm",265,"15420.dendrometer-position","Dendrometer",631,"Eiche N8",-999,-999,-999,"Quercus","pubescens","Quercus pubescens",16,8,"1",NA,NA,21,NA,NA,970,1.5,"East",0,NA,NA,793.33,108.5,0,466.87,142.56,0,496.19,120.24,0,90.5,245.5,1028.09,951.76,630.18,447.02,91.42,0.52,198.17,30.1,0.52,110.76,12.33,0.19,54.39,1.75,0,2023,2022,6,22,174,2,14,227.7,3744,7.31,50.5,109.8,136.3,100,10,40,2,118,"Vetroz-Forest","Forest","South",7.25417,46.22139,830,"Mixed","Pararendzina","WSL_Soil","Vetroz","Alps","Switzerland",8.518244158,16.05695613,2.227942841,2.35700215,160.8106117,252.4441147,70.01863753,67.80275506,0.391280491,0.633228184,NA,NA,NA,1093
1357,"LM",2014-01-01,2025-12-31,"Etc/GMT-1","vetroz-forest_1357_tree-stem-radius-change_-0.3_15417.dendrometer-position_qpubescens",2021-03-19,2023-12-18,NA,"1716","Vetroz-5.dendrometer.ch0","no","no",3,"tree stem radius change",10,"µm",262,"15417.dendrometer-position","Dendrometer",628,"Eiche N3_Root N5",-999,-999,-999,"Quercus","pubescens","Quercus pubescens",7,9,"1",NA,NA,NA,NA,NA,967,-0.3,"East",0.9,NA,NA,53.61,9.63,0,619.57,53.45,0,426.47,64.4,0,174,216,89.89,86.75,83.61,54.04,22.22,7.31,50.45,7.26,1.06,19.42,1.83,0.1,4.88,0.16,0,2021,2023,7,30,206,1,12,139.7,1032,12.9,36.4,106.13,162.8,100,10,100,2,118,"Vetroz-Forest","Forest","South",7.25417,46.22139,830,"Mixed","Pararendzina","WSL_Soil","Vetroz","Alps","Switzerland",8.518244158,16.05695613,2.227942841,2.35700215,160.8106117,252.4441147,70.01863753,67.80275506,0.391280491,0.633228184,NA,NA,NA,1093
1358,"LM",2014-01-01,2025-12-31,"Etc/GMT-1","vetroz-forest_1358_tree-stem-radius-change_-0.15_15422.dendrometer-position_qpubescens",2020-06-19,2023-12-18,NA,"1710","Vetroz-10.dendrometer.ch0","no","no",3,"tree stem radius change",10,"µm",267,"15422.dendrometer-position","Dendrometer",632,"Eiche N8_Root N10",-999,-999,-999,"Quercus","pubescens","Quercus pubescens",2.1,8,"1",NA,NA,NA,NA,NA,971,-0.15,"East",0.9,NA,NA,502.86,85.04,0,232.55,84.22,0,284.14,83.02,0,135.5,248,395.92,323.82,79.74,195.35,24.6,1.42,112.43,20.64,0.23,59.21,5.6,0.06,14.11,0.6,0,2021,2022,6,27,181,7,18,209.3,2724,7.57,27.1,80.7,52.8,100,10,100,2,118,"Vetroz-Forest","Forest","South",7.25417,46.22139,830,"Mixed","Pararendzina","WSL_Soil","Vetroz","Alps","Switzerland",8.518244158,16.05695613,2.227942841,2.35700215,160.8106117,252.4441147,70.01863753,67.80275506,0.391280491,0.633228184,NA,NA,NA,1093
1359,"LM",2014-01-01,2025-12-31,"Etc/GMT-1","vetroz-forest_1359_tree-stem-radius-change_-0.15_15423.dendrometer-position_qpubescens",2020-06-18,2023-12-18,NA,"1711","Vetroz-11.dendrometer.ch0","no","no",3,"tree stem radius change",10,"µm",268,"15423.dendrometer-position","Dendrometer",633,"Eiche N8_Root N11",-999,-999,-999,"Quercus","pubescens","Quercus pubescens",2.5,8,"1",NA,NA,NA,NA,NA,972,-0.15,"East",1.1,NA,NA,249.56,20.04,0,665.33,64.59,0,243.98,55.9,0,147,191,632.27,419.37,114.81,365.56,24.75,2.83,103.2,20.35,2.83,44.85,8.75,0.52,11.68,0.95,0,2023,2022,6,25,173,6,12,240,1080,15.98,32.1,83.2,43.8,100,10,100,2,118,"Vetroz-Forest","Forest","South",7.25417,46.22139,830,"Mixed","Pararendzina","WSL_Soil","Vetroz","Alps","Switzerland",8.518244158,16.05695613,2.227942841,2.35700215,160.8106117,252.4441147,70.01863753,67.80275506,0.391280491,0.633228184,NA,NA,NA,1093
1360,"LM",2014-01-01,2025-12-31,"Etc/GMT-1","vetroz-forest_1360_tree-stem-radius-change_-0.15_15416.dendrometer-position_qpubescens",2020-06-17,2023-12-18,NA,"1715","Vetroz-4.dendrometer.ch0","no","no",3,"tree stem radius change",10,"µm",261,"15416.dendrometer-position","Dendrometer",627,"Eiche N3_Root N4",-999,-999,-999,"Quercus","pubescens","Quercus pubescens",3.3,9,"1",NA,NA,NA,NA,NA,966,-0.15,"North",1.2,NA,NA,78.49,35.71,0,473.72,87.83,6.29,372.59,121.72,29.42,189,217,18.78,18.78,18.78,10.6,9.39,8.18,8.18,7.33,3.27,4.21,3.67,1.17,1.42,0.29,0,2021,2021,7,30,205,3,14,43.3,696,6.23,41,95.5,157.8,100,10,100,2,118,"Vetroz-Forest","Forest","South",7.25417,46.22139,830,"Mixed","Pararendzina","WSL_Soil","Vetroz","Alps","Switzerland",8.518244158,16.05695613,2.227942841,2.35700215,160.8106117,252.4441147,70.01863753,67.80275506,0.391280491,0.633228184,NA,NA,NA,1093
