dates,globrad,tmax,tmin,tmean,windspeed,prec_Sion,vappres
2010-01-01,3.1968,5.2,-0.7,2.5,2.1,0.1,0.6544062500229769
2010-01-02,4.32,2.2,-6.4,-1,5,0,0.37468532848948444
2010-01-03,2.4192,-1.4,-7.4,-4.1,1,0,0.2895385651563045
2010-01-04,2.4192,-0.9,-3.7,-2.2,0.7,1.9,0.44304467122039554
2010-01-05,5.0976,1.2,-6.6,-2.5,0.6,0,0.4785344737266232
2010-01-06,5.356800000000001,-0.2,-8.5,-4.2,0.8,0,0.40622879244179194
2010-01-07,4.4064000000000005,0.7,-7.2,-2.5,1.1,0,0.3644785298862978
2010-01-08,4.4928,0.8,-2.7,-0.9,2.2,0,0.4606222435808397
2010-01-09,1.3824,-1.1,-3.8,-1.9,2.3,0.3,0.4339158717223083
2010-01-10,4.9248,-0.3,-4.2,-2.5,1,0,0.423669312790319
2010-01-11,5.7888,-0.6,-7.5,-4.4,1.4,0,0.3628387835190279
2010-01-12,6.1344,1.8,-8.8,-4.1,1,0,0.40103939962367313
2010-01-13,2.7648,2.7,-1.4,0.9,1.2,0.3,0.545878488740218
2010-01-14,3.4560000000000004,3.3,-4.2,-0.3,1.5,0,0.492044025372933
2010-01-15,6.3936,5.2,-4.4,-0.5,1.1,0,0.5160449708791424
2010-01-16,4.0608,3.2,-5,-0.3,1.6,0.9,0.42870846516225214
2010-01-17,4.6656,7,-2.2,1.9,1,3.1,0.6830601896021415
2010-01-18,6.912000000000001,5.4,-4,-0.6,0.8,0,0.5328750346331352
2010-01-19,6.9984,4.1,-6,-1.8,1,0,0.4442965132220517
2010-01-20,5.0976,2.1,-6.3,-1.7,1,1.2,0.44390940277337504
2010-01-21,6.912000000000001,2.7,-5.7,-1.8,0.5,0,0.5243087174427679
2010-01-22,7.344,3.3,-7,-2.4,1.3,0,0.44224369969718885
2010-01-23,7.2576,4.8,-7.3,-2.2,1,0,0.43496655021715896
2010-01-24,6.6528,4.1,-7.2,-1.4,0.8,0,0.42526789683199023
2010-01-25,4.0608,3.7,-1.4,1,0.8,0,0.5601291996075974
2010-01-26,1.7280000000000002,2,-1.8,0.9,0.8,0,0.5046388555053495
2010-01-27,7.0848,1,-5.2,-2,1.7,0,0.4306693927125642
2010-01-28,1.8144,0.7,-3.2,-1.2,0.8,0.1,0.4683208151370389
2010-01-29,2.2464,0.9,-2,-0.5,0.8,2.2,0.5079781187757965
2010-01-30,5.961600000000001,2,-4,-0.2,1.9,1,0.4207804065283724
2010-01-31,7.171200000000001,-0.3,-9.8,-5.2,1.1,0,0.3337235594397984
2010-02-01,7.171200000000001,-2.1,-11.8,-6.3,1.2,0,0.2757682304922072
2010-02-02,5.4432,1,-6,-2,1.1,0,0.38207804183646005
2010-02-03,6.566400000000001,4.5,-3.2,0.3,0.9,0,0.5150014202097507
2010-02-04,8.553600000000001,7.7,-3.1,1.8,1.7,0,0.5155570740924371
2010-02-05,1.5552000000000001,6.2,1.4,3.2,1.3,4.7,0.7060000716007234
2010-02-06,5.8752,4.1,-2.2,1.4,1.2,0,0.598022665234583
