date,depth,SWP
2020-05-05,-0.15,-134.28310781746032
2020-05-05,-0.5,-81.80617605555555
2020-05-05,-0.8,-42.495164134920635
2020-05-05,-1.5,-19.85872225
2020-05-06,-0.15,-111.52476629629629
2020-05-06,-0.5,-77.27229930555555
2020-05-06,-0.8,-40.37111388888889
2020-05-06,-1.5,-18.121400324074074
2020-05-07,-0.15,-95.48943750000001
2020-05-07,-0.5,-68.05336412037038
2020-05-07,-0.8,-37.79518606481482
2020-05-07,-1.5,-17.32418537037037
2020-05-08,-0.15,-95.96321106481481
2020-05-08,-0.5,-66.48969601851852
2020-05-08,-0.8,-35.17032787037037
2020-05-08,-1.5,-16.11094175925926
2020-05-09,-0.15,-97.14937606481482
2020-05-09,-0.5,-66.30317097222222
2020-05-09,-0.8,-34.201162314814816
2020-05-09,-1.5,-15.092231944444444
2020-05-10,-0.15,-98.33380833333332
2020-05-10,-0.5,-66.4419499537037
2020-05-10,-0.8,-33.956009120370375
2020-05-10,-1.5,-14.309499537037036
2020-05-11,-0.15,-99.65579458333333
2020-05-11,-0.5,-66.64397532407408
2020-05-11,-0.8,-33.88165884259259
2020-05-11,-1.5,-13.843713055555556
2020-05-12,-0.15,-101.66199342592593
2020-05-12,-0.5,-67.18504949074074
2020-05-12,-0.8,-34.09160222222222
2020-05-12,-1.5,-13.71599837962963
2020-05-13,-0.15,-103.37603018518519
2020-05-13,-0.5,-67.71068111111111
2020-05-13,-0.8,-34.28117147222222
2020-05-13,-1.5,-13.644012962962963
2020-05-14,-0.15,-104.46545722222223
2020-05-14,-0.5,-68.19177703703704
2020-05-14,-0.8,-34.580031939814816
2020-05-14,-1.5,-13.596776296296296
2020-05-15,-0.15,-105.26428324074075
2020-05-15,-0.5,-68.57990208333334
2020-05-15,-0.8,-34.848886847222225
2020-05-15,-1.5,-13.570357083333333
2020-05-16,-0.15,-100.57900120370371
2020-05-16,-0.5,-68.76371037037038
2020-05-16,-0.8,-35.11138931018518
2020-05-16,-1.5,-13.526660185185184
2020-05-17,-0.15,-88.06879124999999
2020-05-17,-0.5,-68.1955948611111
2020-05-17,-0.8,-35.015211398148146
2020-05-17,-1.5,-13.48437712962963
2020-05-18,-0.15,-88.65475597222222
2020-05-18,-0.5,-67.37967935185186
2020-05-18,-0.8,-34.97117175925926
2020-05-18,-1.5,-13.423084907407407
2020-05-19,-0.15,-89.55001078703704
2020-05-19,-0.5,-67.20444254629629
2020-05-19,-0.8,-34.861222222222224
2020-05-19,-1.5,-13.304956249999998
2020-05-20,-0.15,-90.6363137037037
2020-05-20,-0.5,-67.3498912962963
2020-05-20,-0.8,-34.80169319444445
2020-05-20,-1.5,-13.165400694444445
2020-05-21,-0.15,-92.01494032407408
2020-05-21,-0.5,-67.68656708333333
2020-05-21,-0.8,-34.888628564814816
2020-05-21,-1.5,-13.139839629629629
2020-05-22,-0.15,-93.3241623611111
2020-05-22,-0.5,-68.12764847222222
2020-05-22,-0.8,-35.05706322685185
2020-05-22,-1.5,-13.14343125
2020-05-23,-0.15,-94.50528115740741
2020-05-23,-0.5,-68.63267944444445
2020-05-23,-0.8,-35.27052207407407
2020-05-23,-1.5,-13.149819398148148
2020-05-24,-0.15,-96.12281472222223
2020-05-24,-0.5,-69.24789259259259
2020-05-24,-0.8,-35.62547291203704
2020-05-24,-1.5,-13.177790740740742
2020-05-25,-0.15,-97.7571086574074
2020-05-25,-0.5,-69.88164222222223
2020-05-25,-0.8,-35.93600181018519
2020-05-25,-1.5,-13.192602175925927
2020-05-26,-0.15,-99.33766115740741
2020-05-26,-0.5,-70.47092574074074
2020-05-26,-0.8,-36.47787921296296
2020-05-26,-1.5,-13.214257453703704
2020-05-27,-0.15,-100.82143555555555
2020-05-27,-0.5,-71.06536898148148
2020-05-27,-0.8,-37.778119893518515
2020-05-27,-1.5,-13.251233148148147
2020-05-28,-0.15,-102.20946722222223
2020-05-28,-0.5,-71.58982157407408
2020-05-28,-0.8,-38.905124685185186
2020-05-28,-1.5,-13.32340411111111
2020-05-29,-0.15,-103.59744462962963
2020-05-29,-0.5,-72.06156717592593
2020-05-29,-0.8,-39.79654597222222
2020-05-29,-1.5,-13.862317574074074
2020-05-30,-0.15,-105.06204342592592
2020-05-30,-0.5,-72.62959819444444
2020-05-30,-0.8,-40.299325092592596
2020-05-30,-1.5,-15.322873254629629
2020-05-31,-0.15,-106.68592694444445
2020-05-31,-0.5,-73.28419888888888
2020-05-31,-0.8,-42.01650680555556
2020-05-31,-1.5,-16.67849124074074
2020-06-01,-0.15,-108.47822300925927
2020-06-01,-0.5,-73.8754087037037
2020-06-01,-0.8,-42.831078425925924
2020-06-01,-1.5,-17.39525300925926
2020-06-02,-0.15,-109.99078648148148
2020-06-02,-0.5,-74.52393300925925
2020-06-02,-0.8,-43.4246725
2020-06-02,-1.5,-17.68352300925926
2020-06-03,-0.15,-111.58119333333333
2020-06-03,-0.5,-75.00680023148149
2020-06-03,-0.8,-43.99551625
2020-06-03,-1.5,-18.077173657407407
2020-06-04,-0.15,-107.41451064814815
2020-06-04,-0.5,-75.53857782407408
2020-06-04,-0.8,-44.65354865740741
2020-06-04,-1.5,-18.426476712962963
2020-06-05,-0.15,-70.44139114814814
2020-06-05,-0.5,-73.38989449074074
2020-06-05,-0.8,-44.69569625
2020-06-05,-1.5,-18.414721064814813
2020-06-06,-0.15,-77.99822763888889
2020-06-06,-0.5,-72.57839203703703
2020-06-06,-0.8,-44.259985925925925
2020-06-06,-1.5,-18.20834962962963
2020-06-07,-0.15,-60.827288162037036
2020-06-07,-0.5,-61.84374939814815
2020-06-07,-0.8,-37.971470787037035
2020-06-07,-1.5,-14.038986777777778
2020-06-08,-0.15,-40.05698126851852
2020-06-08,-0.5,-24.475089342592593
2020-06-08,-0.8,-14.863182712962962
2020-06-08,-1.5,-1
2020-06-09,-0.15,-37.43086533796296
2020-06-09,-0.5,-12.82848085185185
2020-06-09,-0.8,-1.0081214305555555
2020-06-09,-1.5,-1
2020-06-10,-0.15,-34.07331581481482
2020-06-10,-0.5,-2.014080490740741
2020-06-10,-0.8,-1
2020-06-10,-1.5,-1
2020-06-11,-0.15,-35.3404137037037
2020-06-11,-0.5,-1.329763050925926
2020-06-11,-0.8,-1
2020-06-11,-1.5,-1
2020-06-12,-0.15,-40.919783611111114
2020-06-12,-0.5,-5.753710902777778
2020-06-12,-0.8,-1
2020-06-12,-1.5,-1
2020-06-13,-0.15,-46.36384092592593
2020-06-13,-0.5,-10.158064675925926
2020-06-13,-0.8,-1
2020-06-13,-1.5,-1
2020-06-14,-0.15,-50.02770046296296
2020-06-14,-0.5,-14.437187041666666
2020-06-14,-0.8,-1.0752595046296296
2020-06-14,-1.5,-1
2020-06-15,-0.15,-51.910350092592594
2020-06-15,-0.5,-17.622720555555556
2020-06-15,-0.8,-1.3401311805555556
2020-06-15,-1.5,-1
2020-06-16,-0.15,-52.55950101851852
2020-06-16,-0.5,-18.776259490740742
2020-06-16,-0.8,-1.5868220462962963
2020-06-16,-1.5,-1
2020-06-17,-0.15,-51.98303740740741
2020-06-17,-0.5,-19.50456527777778
2020-06-17,-0.8,-1.733579861111111
2020-06-17,-1.5,-1
2020-06-18,-0.15,-48.38868879629629
2020-06-18,-0.5,-18.12799962037037
2020-06-18,-0.8,-1.5198682175925926
2020-06-18,-1.5,-1
2020-06-19,-0.15,-48.53514078703704
2020-06-19,-0.5,-17.799727949074075
2020-06-19,-0.8,-1.3546720277777777
2020-06-19,-1.5,-1
2020-06-20,-0.15,-49.265263240740744
2020-06-20,-0.5,-17.556487356481483
2020-06-20,-0.8,-1.2895800509259259
2020-06-20,-1.5,-1
2020-06-21,-0.15,-51.69774898148148
2020-06-21,-0.5,-18.93436433796296
2020-06-21,-0.8,-1.3866136018518518
2020-06-21,-1.5,-1
2020-06-22,-0.15,-53.97018958333333
2020-06-22,-0.5,-20.671237685185183
2020-06-22,-0.8,-1.5821686203703704
2020-06-22,-1.5,-1
2020-06-23,-0.15,-56.11885074074074
2020-06-23,-0.5,-22.131293333333332
2020-06-23,-0.8,-1.813696310185185
2020-06-23,-1.5,-1
2020-06-24,-0.15,-57.97580939814815
2020-06-24,-0.5,-23.902579814814814
2020-06-24,-0.8,-2.0810562824074075
2020-06-24,-1.5,-1
2020-06-25,-0.15,-59.46770023148148
2020-06-25,-0.5,-26.25214939814815
2020-06-25,-0.8,-2.3504336712962965
2020-06-25,-1.5,-1
2020-06-26,-0.15,-60.98648351851852
2020-06-26,-0.5,-28.307236898148147
2020-06-26,-0.8,-2.9010513564814815
2020-06-26,-1.5,-1
2020-06-27,-0.15,-62.31754458333334
2020-06-27,-0.5,-29.978835972222225
2020-06-27,-0.8,-3.7819352546296297
2020-06-27,-1.5,-1
2020-06-28,-0.15,-63.60431722222222
2020-06-28,-0.5,-31.569229768518518
2020-06-28,-0.8,-5.008283416666667
2020-06-28,-1.5,-1
2020-06-29,-0.15,-64.66527171296296
2020-06-29,-0.5,-32.94068564814815
2020-06-29,-0.8,-7.081823615740741
2020-06-29,-1.5,-1
2020-06-30,-0.15,-65.42581416666667
2020-06-30,-0.5,-34.035874722222225
2020-06-30,-0.8,-9.00523763888889
2020-06-30,-1.5,-1
2020-07-01,-0.15,-61.995245555555556
2020-07-01,-0.5,-34.81554310185185
2020-07-01,-0.8,-10.752472430555557
2020-07-01,-1.5,-1
2020-07-02,-0.15,-55.78911314814815
2020-07-02,-0.5,-33.68973138888889
2020-07-02,-0.8,-9.981347449074075
2020-07-02,-1.5,-1
2020-07-03,-0.15,-51.74395342592593
2020-07-03,-0.5,-32.19296
2020-07-03,-0.8,-6.9383460324074075
2020-07-03,-1.5,-1
2020-07-04,-0.15,-54.44106162037037
2020-07-04,-0.5,-31.03102013888889
2020-07-04,-0.8,-4.764538361111111
2020-07-04,-1.5,-1
2020-07-05,-0.15,-57.52641495370371
2020-07-05,-0.5,-31.644035787037037
2020-07-05,-0.8,-4.587349648148148
2020-07-05,-1.5,-1
2020-07-06,-0.15,-59.77949703703704
2020-07-06,-0.5,-32.31044884259259
2020-07-06,-0.8,-4.96320575
2020-07-06,-1.5,-1
2020-07-07,-0.15,-61.86838800925926
2020-07-07,-0.5,-33.004247407407405
2020-07-07,-0.8,-5.887078722222222
2020-07-07,-1.5,-1
2020-07-08,-0.15,-63.8038075462963
2020-07-08,-0.5,-33.70342347222223
2020-07-08,-0.8,-7.552735296296296
2020-07-08,-1.5,-1
2020-07-09,-0.15,-65.48359351851852
2020-07-09,-0.5,-34.39271462962963
2020-07-09,-0.8,-9.47673575925926
2020-07-09,-1.5,-1
2020-07-10,-0.15,-66.84263143518518
2020-07-10,-0.5,-35.223511342592595
2020-07-10,-0.8,-11.772921097222223
2020-07-10,-1.5,-1
2020-07-11,-0.15,-66.31734226851852
2020-07-11,-0.5,-35.83465564814814
2020-07-11,-0.8,-13.126069212962964
2020-07-11,-1.5,-1
2020-07-12,-0.15,-66.27816060185185
2020-07-12,-0.5,-35.868729351851854
2020-07-12,-0.8,-13.565637222222222
2020-07-12,-1.5,-1
2020-07-13,-0.15,-67.09683277777778
2020-07-13,-0.5,-36.23169717592593
2020-07-13,-0.8,-14.289617175925926
2020-07-13,-1.5,-1
2020-07-14,-0.15,-67.996671481481485
2020-07-14,-0.5,-36.91887199074074
2020-07-14,-0.8,-15.183973333333332
2020-07-14,-1.5,-1
2020-07-15,-0.15,-69.10279453703703
2020-07-15,-0.5,-37.96512671296296
2020-07-15,-0.8,-16.30462412037037
2020-07-15,-1.5,-1.0456173287037036
2020-07-16,-0.15,-70.06111467592592
2020-07-16,-0.5,-39.025481990740744
2020-07-16,-0.8,-18.062308194444444
2020-07-16,-1.5,-1.409027300925926
2020-07-17,-0.15,-58.462759444444444
2020-07-17,-0.5,-38.37700300925926
2020-07-17,-0.8,-18.310788935185187
2020-07-17,-1.5,-1.2223439537037037
2020-07-18,-0.15,-57.86651939814815
2020-07-18,-0.5,-37.09116648148148
2020-07-18,-0.8,-16.92811726851852
2020-07-18,-1.5,-1
2020-07-19,-0.15,-61.644336064814816
2020-07-19,-0.5,-36.888008425925925
2020-07-19,-0.8,-15.178443449074074
2020-07-19,-1.5,-1
2020-07-20,-0.15,-63.975078333333336
2020-07-20,-0.5,-37.161090370370374
2020-07-20,-0.8,-13.926556902777778
2020-07-20,-1.5,-1
2020-07-21,-0.15,-65.91024143518518
2020-07-21,-0.5,-37.59752078703704
2020-07-21,-0.8,-14.557411592592594
2020-07-21,-1.5,-1
2020-07-22,-0.15,-67.55742722222222
2020-07-22,-0.5,-38.052943240740746
2020-07-22,-0.8,-15.729487671296296
2020-07-22,-1.5,-1
2020-07-23,-0.15,-69.01024824074074
2020-07-23,-0.5,-38.71663898148148
2020-07-23,-0.8,-16.625917731481483
2020-07-23,-1.5,-1.0039770555555556
2020-07-24,-0.15,-70.26027314814814
2020-07-24,-0.5,-39.379402731481484
2020-07-24,-0.8,-17.48993074074074
2020-07-24,-1.5,-1.0570736620370371
2020-07-25,-0.15,-70.77577865740741
2020-07-25,-0.5,-40.0858850925926
2020-07-25,-0.8,-18.514167407407406
2020-07-25,-1.5,-1.1311589027777778
2020-07-26,-0.15,-71.5782449537037
2020-07-26,-0.5,-41.101127175925924
2020-07-26,-0.8,-19.280765416666668
2020-07-26,-1.5,-1.1955317777777779
2020-07-27,-0.15,-72.97039041666666
2020-07-27,-0.5,-42.13993402777778
2020-07-27,-0.8,-20.311221296296296
2020-07-27,-1.5,-1.2823180972222221
2020-07-28,-0.15,-74.37986875
2020-07-28,-0.5,-43.30213166666667
2020-07-28,-0.8,-21.353046203703705
2020-07-28,-1.5,-1.4163874212962964
2020-07-29,-0.15,-76.03491333333334
2020-07-29,-0.5,-44.32869347222223
2020-07-29,-0.8,-22.412765833333335
2020-07-29,-1.5,-1.976204699074074
2020-07-30,-0.15,-77.56286953703705
2020-07-30,-0.5,-45.70690898148148
2020-07-30,-0.8,-23.630850092592592
2020-07-30,-1.5,-2.524364236111111
2020-07-31,-0.15,-79.3310937037037
2020-07-31,-0.5,-46.911940925925926
2020-07-31,-0.8,-24.818954722222223
2020-07-31,-1.5,-3.4361084074074073
2020-08-01,-0.15,-81.36861675925925
2020-08-01,-0.5,-48.2457525
2020-08-01,-0.8,-26.111088055555555
2020-08-01,-1.5,-5.767862837962963
2020-08-02,-0.15,-83.77004055555555
2020-08-02,-0.5,-49.661969490740745
2020-08-02,-0.8,-27.428360787037036
2020-08-02,-1.5,-6.661157032407408
2020-08-03,-0.15,-80.79915115740741
2020-08-03,-0.5,-49.98756189814815
2020-08-03,-0.8,-27.929037175925927
2020-08-03,-1.5,-7.15945074074074
2020-08-04,-0.15,-47.41180083333333
2020-08-04,-0.5,-44.74730805555556
2020-08-04,-0.8,-24.821297564814817
2020-08-04,-1.5,-4.650582125000001
2020-08-05,-0.15,-54.39778342592592
2020-08-05,-0.5,-40.380238703703704
2020-08-05,-0.8,-18.85034986111111
2020-08-05,-1.5,-2.0117396712962963
2020-08-06,-0.15,-60.15645189814815
2020-08-06,-0.5,-41.128317546296294
2020-08-06,-0.8,-18.217362962962962
2020-08-06,-1.5,-1.4046211944444444
2020-08-07,-0.15,-63.58778347222222
2020-08-07,-0.5,-42.07371532407407
2020-08-07,-0.8,-18.263554675925928
2020-08-07,-1.5,-1.3727108657407407
2020-08-08,-0.15,-66.23336314814814
2020-08-08,-0.5,-43.00689699074074
2020-08-08,-0.8,-18.57659889351852
2020-08-08,-1.5,-1.420866787037037
2020-08-09,-0.15,-69.01069606481482
2020-08-09,-0.5,-43.91279407407408
2020-08-09,-0.8,-19.37246624537037
2020-08-09,-1.5,-1.4847728935185185
2020-08-10,-0.15,-71.55318212962963
2020-08-10,-0.5,-44.836792777777774
2020-08-10,-0.8,-21.013211125
2020-08-10,-1.5,-1.6048667916666666
2020-08-11,-0.15,-71.87610212962963
2020-08-11,-0.5,-45.22543472222222
2020-08-11,-0.8,-22.67727487037037
2020-08-11,-1.5,-1.772609962962963
2020-08-12,-0.15,-72.64583212962962
2020-08-12,-0.5,-45.79566810185185
2020-08-12,-0.8,-23.715748148148148
2020-08-12,-1.5,-2.0179307083333335
2020-08-13,-0.15,-74.14728166666667
2020-08-13,-0.5,-46.62828648148148
2020-08-13,-0.8,-24.65244212962963
2020-08-13,-1.5,-2.3142922314814816
2020-08-14,-0.15,-76.45491833333332
2020-08-14,-0.5,-47.48080050925926
2020-08-14,-0.8,-25.501562222222223
2020-08-14,-1.5,-2.7529568657407406
2020-08-15,-0.15,-78.51016106481481
2020-08-15,-0.5,-48.29462703703704
2020-08-15,-0.8,-26.427013425925928
2020-08-15,-1.5,-3.71531874537037
2020-08-16,-0.15,-80.65842435185185
2020-08-16,-0.5,-49.17104310185185
2020-08-16,-0.8,-27.394896944444444
2020-08-16,-1.5,-4.822290921296296
2020-08-17,-0.15,-66.78590092592593
2020-08-17,-0.5,-49.577783564814816
2020-08-17,-0.8,-28.09472912037037
2020-08-17,-1.5,-5.679615175925926
2020-08-18,-0.15,-63.432653611111114
2020-08-18,-0.5,-47.80656722222222
2020-08-18,-0.8,-26.857094444444446
2020-08-18,-1.5,-4.552883722222223
2020-08-19,-0.15,-67.66729324074073
2020-08-19,-0.5,-47.82872893518518
2020-08-19,-0.8,-26.321449814814816
2020-08-19,-1.5,-3.8173265648148145
2020-08-20,-0.15,-70.77432976851853
2020-08-20,-0.5,-48.18086074074074
2020-08-20,-0.8,-26.43886722222222
2020-08-20,-1.5,-3.6977616666666666
2020-08-21,-0.15,-73.50233814814814
2020-08-21,-0.5,-48.583628194444444
2020-08-21,-0.8,-26.84508328703704
2020-08-21,-1.5,-4.065266111111111
2020-08-22,-0.15,-75.75324231481481
2020-08-22,-0.5,-49.09198347222222
2020-08-22,-0.8,-27.351903749999998
2020-08-22,-1.5,-4.6503381388888885
2020-08-23,-0.15,-78.09919393518518
2020-08-23,-0.5,-49.60725185185185
2020-08-23,-0.8,-27.928440555555554
2020-08-23,-1.5,-5.329967018518519
2020-08-24,-0.15,-80.62456231481481
2020-08-24,-0.5,-50.30734532407408
2020-08-24,-0.8,-28.687508101851854
2020-08-24,-1.5,-6.143655365740741
2020-08-25,-0.15,-83.64215842592593
2020-08-25,-0.5,-51.363932222222225
2020-08-25,-0.8,-29.82337412037037
2020-08-25,-1.5,-7.815125634259259
2020-08-26,-0.15,-87.17277564814815
2020-08-26,-0.5,-53.15819662037037
2020-08-26,-0.8,-31.481881574074073
2020-08-26,-1.5,-9.673548921296296
2020-08-27,-0.15,-90.88865717592593
2020-08-27,-0.5,-55.08606560185185
2020-08-27,-0.8,-32.6325637037037
2020-08-27,-1.5,-10.435422648148148
2020-08-28,-0.15,-84.42988767592593
