#Data produced with Piso.AI v1.2020 and downloaded on 2025-11-14.
#Please cite Nelson Basler Kahmen; PNAS 2021 Vol. 118 No. 26 e2024107118 when using these data. 
#Prediction errors: d18O +/- 1.7  d2H +/- 13
"","Site","Date","Latitude","Longitude","Elevation","d18O.Piso.AI","d2H.Piso.AI"
"1","Davos",2007-01-15,46.8027,9.836,1560,-13.8,-104
"2","Davos",2007-02-15,46.8027,9.836,1560,-14.5,-116
"3","Davos",2007-03-15,46.8027,9.836,1560,-15.1,-116
"4","Davos",2007-04-15,46.8027,9.836,1560,-11.4,-80
"5","Davos",2007-05-15,46.8027,9.836,1560,-11.6,-73
"6","Davos",2007-06-15,46.8027,9.836,1560,-8.1,-57
"7","Davos",2007-07-15,46.8027,9.836,1560,-7.4,-52
"8","Davos",2007-08-15,46.8027,9.836,1560,-8.3,-51
"9","Davos",2007-09-15,46.8027,9.836,1560,-10.1,-67
"10","Davos",2007-10-15,46.8027,9.836,1560,-11.8,-78
"11","Davos",2007-11-15,46.8027,9.836,1560,-14.4,-109
"12","Davos",2007-12-15,46.8027,9.836,1560,-17,-124
"13","Davos",2008-01-15,46.8027,9.836,1560,-14.7,-114
"14","Davos",2008-02-15,46.8027,9.836,1560,-15.3,-125
"15","Davos",2008-03-15,46.8027,9.836,1560,-16.2,-119
"16","Davos",2008-04-15,46.8027,9.836,1560,-13.7,-103
"17","Davos",2008-05-15,46.8027,9.836,1560,-10.5,-74
"18","Davos",2008-06-15,46.8027,9.836,1560,-9.1,-69
"19","Davos",2008-07-15,46.8027,9.836,1560,-7.7,-54
"20","Davos",2008-08-15,46.8027,9.836,1560,-7.1,-44
"21","Davos",2008-09-15,46.8027,9.836,1560,-10.6,-65
"22","Davos",2008-10-15,46.8027,9.836,1560,-12.6,-88
"23","Davos",2008-11-15,46.8027,9.836,1560,-15.4,-116
"24","Davos",2008-12-15,46.8027,9.836,1560,-19,-148
"25","Davos",2009-01-15,46.8027,9.836,1560,-16.8,-125
"26","Davos",2009-02-15,46.8027,9.836,1560,-18.3,-141
"27","Davos",2009-03-15,46.8027,9.836,1560,-16,-127
"28","Davos",2009-04-15,46.8027,9.836,1560,-12.7,-100
"29","Davos",2009-05-15,46.8027,9.836,1560,-7.6,-49
"30","Davos",2009-06-15,46.8027,9.836,1560,-7.6,-58
"31","Davos",2009-07-15,46.8027,9.836,1560,-7.1,-46
"32","Davos",2009-08-15,46.8027,9.836,1560,-6.6,-42
"33","Davos",2009-09-15,46.8027,9.836,1560,-6.7,-45
"34","Davos",2009-10-15,46.8027,9.836,1560,-12,-84
"35","Davos",2009-11-15,46.8027,9.836,1560,-16.8,-125
"36","Davos",2009-12-15,46.8027,9.836,1560,-17.7,-139
"37","Davos",2010-01-15,46.8027,9.836,1560,-18.2,-139
"38","Davos",2010-02-15,46.8027,9.836,1560,-17,-139
"39","Davos",2010-03-15,46.8027,9.836,1560,-13.6,-102
"40","Davos",2010-04-15,46.8027,9.836,1560,-13.5,-105
"41","Davos",2010-05-15,46.8027,9.836,1560,-11.7,-83
"42","Davos",2010-06-15,46.8027,9.836,1560,-9.9,-80
"43","Davos",2010-07-15,46.8027,9.836,1560,-7.5,-50
"44","Davos",2010-08-15,46.8027,9.836,1560,-9.4,-67
"45","Davos",2010-09-15,46.8027,9.836,1560,-11.4,-79
"46","Davos",2010-10-15,46.8027,9.836,1560,-14.7,-105
"47","Davos",2010-11-15,46.8027,9.836,1560,-17.4,-133
"48","Davos",2010-12-15,46.8027,9.836,1560,-17.1,-130
"49","Davos",2011-01-15,46.8027,9.836,1560,-16.4,-124
"50","Davos",2011-02-15,46.8027,9.836,1560,-16.6,-131
"51","Davos",2011-03-15,46.8027,9.836,1560,-14.2,-107
"52","Davos",2011-04-15,46.8027,9.836,1560,-10.4,-80
"53","Davos",2011-05-15,46.8027,9.836,1560,-8.5,-55
"54","Davos",2011-06-15,46.8027,9.836,1560,-7.7,-53
"55","Davos",2011-07-15,46.8027,9.836,1560,-7.9,-53
"56","Davos",2011-08-15,46.8027,9.836,1560,-6.3,-41
"57","Davos",2011-09-15,46.8027,9.836,1560,-9,-64
"58","Davos",2011-10-15,46.8027,9.836,1560,-11.2,-87
"59","Davos",2011-11-15,46.8027,9.836,1560,-14,-100
"60","Davos",2011-12-15,46.8027,9.836,1560,-15.6,-112
"61","Davos",2012-01-15,46.8027,9.836,1560,-15.9,-131
"62","Davos",2012-02-15,46.8027,9.836,1560,-20.6,-162
"63","Davos",2012-03-15,46.8027,9.836,1560,-13.1,-101
"64","Davos",2012-04-15,46.8027,9.836,1560,-14.4,-110
"65","Davos",2012-05-15,46.8027,9.836,1560,-10.6,-74
"66","Davos",2012-06-15,46.8027,9.836,1560,-7.8,-55
"67","Davos",2012-07-15,46.8027,9.836,1560,-6.6,-37
"68","Davos",2012-08-15,46.8027,9.836,1560,-6.8,-43
"69","Davos",2012-09-15,46.8027,9.836,1560,-8.9,-66
"70","Davos",2012-10-15,46.8027,9.836,1560,-13.8,-103
"71","Davos",2012-11-15,46.8027,9.836,1560,-16.4,-123
"72","Davos",2012-12-15,46.8027,9.836,1560,-17.5,-128
"73","Davos",2013-01-15,46.8027,9.836,1560,-17.3,-139
"74","Davos",2013-02-15,46.8027,9.836,1560,-20.3,-155
"75","Davos",2013-03-15,46.8027,9.836,1560,-18.1,-138
"76","Davos",2013-04-15,46.8027,9.836,1560,-13.1,-97
"77","Davos",2013-05-15,46.8027,9.836,1560,-12.6,-92
"78","Davos",2013-06-15,46.8027,9.836,1560,-9.7,-69
"79","Davos",2013-07-15,46.8027,9.836,1560,-6.8,-48
"80","Davos",2013-08-15,46.8027,9.836,1560,-6.9,-42
"81","Davos",2013-09-15,46.8027,9.836,1560,-9.3,-64
"82","Davos",2013-10-15,46.8027,9.836,1560,-11.6,-86
"83","Davos",2013-11-15,46.8027,9.836,1560,-16.8,-126
"84","Davos",2013-12-15,46.8027,9.836,1560,-16.1,-120
"85","Davos",2014-01-15,46.8027,9.836,1560,-17.7,-135
"86","Davos",2014-02-15,46.8027,9.836,1560,-15.6,-121
"87","Davos",2014-03-15,46.8027,9.836,1560,-15.9,-123
"88","Davos",2014-04-15,46.8027,9.836,1560,-13.3,-106
"89","Davos",2014-05-15,46.8027,9.836,1560,-11.1,-68
"90","Davos",2014-06-15,46.8027,9.836,1560,-7.7,-50
"91","Davos",2014-07-15,46.8027,9.836,1560,-9,-65
"92","Davos",2014-08-15,46.8027,9.836,1560,-7.6,-58
"93","Davos",2014-09-15,46.8027,9.836,1560,-8.6,-63
"94","Davos",2014-10-15,46.8027,9.836,1560,-9.9,-66
"95","Davos",2014-11-15,46.8027,9.836,1560,-18.7,-136
"96","Davos",2014-12-15,46.8027,9.836,1560,-15.4,-116
"97","Davos",2015-01-15,46.8027,9.836,1560,-16.1,-119
"98","Davos",2015-02-15,46.8027,9.836,1560,-17.9,-140
"99","Davos",2015-03-15,46.8027,9.836,1560,-13.1,-92
"100","Davos",2015-04-15,46.8027,9.836,1560,-13.1,-98
"101","Davos",2015-05-15,46.8027,9.836,1560,-10.8,-72
"102","Davos",2015-06-15,46.8027,9.836,1560,-7.2,-47
"103","Davos",2015-07-15,46.8027,9.836,1560,-5.6,-32
"104","Davos",2015-08-15,46.8027,9.836,1560,-7.3,-47
"105","Davos",2015-09-15,46.8027,9.836,1560,-9.8,-64
"106","Davos",2015-10-15,46.8027,9.836,1560,-14.3,-99
"107","Davos",2015-11-15,46.8027,9.836,1560,-14.2,-103
"108","Davos",2015-12-15,46.8027,9.836,1560,-12,-94
"109","Davos",2016-01-15,46.8027,9.836,1560,-16.7,-128
"110","Davos",2016-02-15,46.8027,9.836,1560,-16,-117
"111","Davos",2016-03-15,46.8027,9.836,1560,-15.6,-126
"112","Davos",2016-04-15,46.8027,9.836,1560,-11.1,-87
"113","Davos",2016-05-15,46.8027,9.836,1560,-12.5,-85
"114","Davos",2016-06-15,46.8027,9.836,1560,-10.2,-75
"115","Davos",2016-07-15,46.8027,9.836,1560,-6.8,-42
"116","Davos",2016-08-15,46.8027,9.836,1560,-8.7,-56
"117","Davos",2016-09-15,46.8027,9.836,1560,-9.1,-67
"118","Davos",2016-10-15,46.8027,9.836,1560,-12.1,-81
"119","Davos",2016-11-15,46.8027,9.836,1560,-15.5,-116
"120","Davos",2016-12-15,46.8027,9.836,1560,-13.4,-102
"121","Davos",2017-01-15,46.8027,9.836,1560,-16.4,-119
"122","Davos",2017-02-15,46.8027,9.836,1560,-15.5,-115
"123","Davos",2017-03-15,46.8027,9.836,1560,-12.4,-95
"124","Davos",2017-04-15,46.8027,9.836,1560,-12.4,-94
"125","Davos",2017-05-15,46.8027,9.836,1560,-10.9,-70
"126","Davos",2017-06-15,46.8027,9.836,1560,-7.2,-48
"127","Davos",2017-07-15,46.8027,9.836,1560,-6.9,-46
"128","Davos",2017-08-15,46.8027,9.836,1560,-7.5,-40
"129","Davos",2017-09-15,46.8027,9.836,1560,-11.6,-74
"130","Davos",2017-10-15,46.8027,9.836,1560,-11,-79
"131","Davos",2017-11-15,46.8027,9.836,1560,-15.4,-119
"132","Davos",2017-12-15,46.8027,9.836,1560,-17.7,-137
"133","Davos",2018-01-15,46.8027,9.836,1560,-15.7,-114
"134","Davos",2018-02-15,46.8027,9.836,1560,-19.4,-151
"135","Davos",2018-03-15,46.8027,9.836,1560,-16.7,-129
"136","Davos",2018-04-15,46.8027,9.836,1560,-10.7,-77
"137","Davos",2018-05-15,46.8027,9.836,1560,-9.8,-74
"138","Davos",2018-06-15,46.8027,9.836,1560,-7.2,-50
"139","Davos",2018-07-15,46.8027,9.836,1560,-6.7,-46
"140","Davos",2018-08-15,46.8027,9.836,1560,-7.9,-54
"141","Davos",2018-09-15,46.8027,9.836,1560,-7.1,-50
"142","Davos",2018-10-15,46.8027,9.836,1560,-11.1,-75
"143","Davos",2018-11-15,46.8027,9.836,1560,-14.4,-108
"144","Davos",2018-12-15,46.8027,9.836,1560,-15.2,-115
"145","Davos",2019-01-15,46.8027,9.836,1560,-18.7,-138
"146","Davos",2019-02-15,46.8027,9.836,1560,-15,-118
"147","Davos",2019-03-15,46.8027,9.836,1560,-13.7,-89
"148","Davos",2019-04-15,46.8027,9.836,1560,-14,-99
"149","Davos",2019-05-15,46.8027,9.836,1560,-13.8,-103
"150","Davos",2019-06-15,46.8027,9.836,1560,-6.4,-43
