station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
SRE;01.01.1901 00:00;0;;
SRE;02.01.1901 00:00;0;;
SRE;03.01.1901 00:00;0;;
SRE;04.01.1901 00:00;0;;
SRE;05.01.1901 00:00;0;;
SRE;06.01.1901 00:00;0;;
SRE;07.01.1901 00:00;0;;
SRE;08.01.1901 00:00;0;;
SRE;09.01.1901 00:00;0;;
SRE;10.01.1901 00:00;0;;
SRE;11.01.1901 00:00;0;;
SRE;12.01.1901 00:00;0;;
SRE;13.01.1901 00:00;0;;
SRE;14.01.1901 00:00;0;;
SRE;15.01.1901 00:00;0;;
SRE;16.01.1901 00:00;0;;
SRE;17.01.1901 00:00;0;;
SRE;18.01.1901 00:00;0;;
SRE;19.01.1901 00:00;0;;
SRE;20.01.1901 00:00;7.2;;
SRE;21.01.1901 00:00;2.3;;
SRE;22.01.1901 00:00;0;;
SRE;23.01.1901 00:00;0;;
SRE;24.01.1901 00:00;0;;
SRE;25.01.1901 00:00;0;;
SRE;26.01.1901 00:00;6;;
SRE;27.01.1901 00:00;15.8;;
SRE;28.01.1901 00:00;4.9;;
SRE;29.01.1901 00:00;5.3;;
SRE;30.01.1901 00:00;0;;
SRE;31.01.1901 00:00;0;;
SRE;01.02.1901 00:00;2.4;;
SRE;02.02.1901 00:00;0;;
SRE;03.02.1901 00:00;0;;
SRE;04.02.1901 00:00;0;;
SRE;05.02.1901 00:00;0.8;;
SRE;06.02.1901 00:00;0;;
SRE;07.02.1901 00:00;3;;
SRE;08.02.1901 00:00;0;;
SRE;09.02.1901 00:00;0;;
SRE;10.02.1901 00:00;0;;
SRE;11.02.1901 00:00;0;;
SRE;12.02.1901 00:00;0;;
SRE;13.02.1901 00:00;2.7;;
SRE;14.02.1901 00:00;0;;
SRE;15.02.1901 00:00;0;;
SRE;16.02.1901 00:00;0.5;;
SRE;17.02.1901 00:00;0.3;;
SRE;18.02.1901 00:00;0;;
SRE;19.02.1901 00:00;0;;
SRE;20.02.1901 00:00;0;;
SRE;21.02.1901 00:00;0;;
SRE;22.02.1901 00:00;0;;
SRE;23.02.1901 00:00;0;;
SRE;24.02.1901 00:00;0;;
SRE;25.02.1901 00:00;0;;
SRE;26.02.1901 00:00;0;;
SRE;27.02.1901 00:00;0;;
SRE;28.02.1901 00:00;2.2;;
SRE;01.03.1901 00:00;0;;
SRE;02.03.1901 00:00;7.5;;
SRE;03.03.1901 00:00;8.2;;
SRE;04.03.1901 00:00;7.6;;
