 

stn;time;rka150d0
VSSIE;20131113;0.0
VSSIE;20131114;0.3
VSSIE;20131115;6.4
VSSIE;20131116;0.0
VSSIE;20131117;0.0
VSSIE;20131118;0.0
VSSIE;20131119;6.3
VSSIE;20131120;1.0
VSSIE;20131121;3.5
VSSIE;20131122;0.1
VSSIE;20131123;0.0
VSSIE;20131124;0.0
VSSIE;20131125;0.0
VSSIE;20131126;0.0
VSSIE;20131127;0.0
VSSIE;20131128;0.0
VSSIE;20131129;0.0
VSSIE;20131130;2.4
VSSIE;20131201;0.1
VSSIE;20131202;0.0
VSSIE;20131203;0.0
VSSIE;20131204;0.0
VSSIE;20131205;0.0
VSSIE;20131206;0.0
VSSIE;20131207;0.0
VSSIE;20131208;0.0
VSSIE;20131209;0.0
VSSIE;20131210;0.0
VSSIE;20131211;0.0
VSSIE;20131212;0.0
VSSIE;20131213;0.1
VSSIE;20131214;0.0
VSSIE;20131215;0.0
VSSIE;20131216;0.0
VSSIE;20131217;0.0
VSSIE;20131218;0.0
VSSIE;20131219;0.0
VSSIE;20131220;0.2
VSSIE;20131221;0.0
VSSIE;20131222;0.0
VSSIE;20131223;0.0
VSSIE;20131224;0.0
VSSIE;20131225;1.9
VSSIE;20131226;16.7
VSSIE;20131227;0.0
VSSIE;20131228;6.7
VSSIE;20131229;0.0
VSSIE;20131230;0.0
VSSIE;20131231;0.0
VSSIE;20140101;0.0
VSSIE;20140102;4.5
VSSIE;20140103;0.1
VSSIE;20140104;2.8
VSSIE;20140105;2.8
VSSIE;20140106;0.0
VSSIE;20140107;0.0
VSSIE;20140108;0.0
VSSIE;20140109;0.2
VSSIE;20140110;0.5
VSSIE;20140111;0.0
VSSIE;20140112;0.0
VSSIE;20140113;1.1
VSSIE;20140114;10.2
VSSIE;20140115;0.0
VSSIE;20140116;0.0
VSSIE;20140117;1.3
VSSIE;20140118;0.0
VSSIE;20140119;0.0
VSSIE;20140120;1.4
VSSIE;20140121;0.0
VSSIE;20140122;0.0
VSSIE;20140123;0.0
VSSIE;20140124;4.9
VSSIE;20140125;0.0
VSSIE;20140126;6.4
VSSIE;20140127;6.5
VSSIE;20140128;0.0
VSSIE;20140129;0.0
VSSIE;20140130;0.0
VSSIE;20140131;0.0
VSSIE;20140201;6.2
VSSIE;20140202;4.1
VSSIE;20140203;0.0
VSSIE;20140204;0.0
VSSIE;20140205;0.8
VSSIE;20140206;0.0
VSSIE;20140207;9.9
VSSIE;20140208;2.2
VSSIE;20140209;0.1
VSSIE;20140210;0.0
VSSIE;20140211;0.3
VSSIE;20140212;0.0
VSSIE;20140213;17.0
VSSIE;20140214;0.2
VSSIE;20140215;0.0
VSSIE;20140216;16.5
VSSIE;20140217;2.1
VSSIE;20140218;0.0
VSSIE;20140219;0.1
VSSIE;20140220;0.0
VSSIE;20140221;2.7
VSSIE;20140222;7.8
VSSIE;20140223;1.4
VSSIE;20140224;0.0
VSSIE;20140225;0.0
VSSIE;20140226;0.4
VSSIE;20140227;1.1
VSSIE;20140228;2.4
VSSIE;20140301;4.3
VSSIE;20140302;0.0
VSSIE;20140303;1.1
VSSIE;20140304;0.6
VSSIE;20140305;0.0
VSSIE;20140306;0.0
VSSIE;20140307;0.0
VSSIE;20140308;0.0
VSSIE;20140309;0.0
VSSIE;20140310;0.0
VSSIE;20140311;0.0
VSSIE;20140312;0.0
VSSIE;20140313;0.0
VSSIE;20140314;0.0
VSSIE;20140315;0.0
VSSIE;20140316;0.0
VSSIE;20140317;0.0
VSSIE;20140318;0.0
VSSIE;20140319;0.0
VSSIE;20140320;0.0
VSSIE;20140321;0.0
VSSIE;20140322;6.8
VSSIE;20140323;0.3
VSSIE;20140324;0.2
VSSIE;20140325;0.0
VSSIE;20140326;0.0
VSSIE;20140327;0.0
VSSIE;20140328;0.0
VSSIE;20140329;0.0
VSSIE;20140330;0.0
VSSIE;20140331;0.0
VSSIE;20140401;0.0
VSSIE;20140402;0.0
VSSIE;20140403;0.0
VSSIE;20140404;0.0
VSSIE;20140405;0.0
VSSIE;20140406;0.0
VSSIE;20140407;0.0
VSSIE;20140408;5.9
VSSIE;20140409;0.0
VSSIE;20140410;0.0
VSSIE;20140411;0.0
VSSIE;20140412;0.0
VSSIE;20140413;0.0
VSSIE;20140414;0.0
VSSIE;20140415;0.0
VSSIE;20140416;0.0
VSSIE;20140417;0.0
VSSIE;20140418;0.1
VSSIE;20140419;12.6
VSSIE;20140420;0.0
VSSIE;20140421;0.6
VSSIE;20140422;0.0
VSSIE;20140423;0.0
VSSIE;20140424;0.0
VSSIE;20140425;0.0
VSSIE;20140426;8.4
VSSIE;20140427;12.4
VSSIE;20140428;13.2
VSSIE;20140429;0.1
VSSIE;20140430;1.0
VSSIE;20140501;0.0
VSSIE;20140502;5.4
VSSIE;20140503;0.0
VSSIE;20140504;0.0
VSSIE;20140505;0.0
VSSIE;20140506;0.0
VSSIE;20140507;6.7
VSSIE;20140508;0.0
VSSIE;20140509;0.1
VSSIE;20140510;0.0
VSSIE;20140511;3.1
VSSIE;20140512;1.9
VSSIE;20140513;0.1
VSSIE;20140514;0.0
VSSIE;20140515;0.0
VSSIE;20140516;0.0
VSSIE;20140517;0.0
VSSIE;20140518;0.0
VSSIE;20140519;0.0
VSSIE;20140520;0.0
VSSIE;20140521;0.0
VSSIE;20140522;0.3
VSSIE;20140523;10.6
VSSIE;20140524;0.0
VSSIE;20140525;0.0
VSSIE;20140526;0.4
VSSIE;20140527;3.1
VSSIE;20140528;0.0
VSSIE;20140529;0.0
VSSIE;20140530;0.0
VSSIE;20140531;0.0
VSSIE;20140601;0.0
VSSIE;20140602;0.0
VSSIE;20140603;0.0
VSSIE;20140604;1.7
VSSIE;20140605;0.0
VSSIE;20140606;0.0
VSSIE;20140607;0.0
VSSIE;20140608;0.0
VSSIE;20140609;0.0
VSSIE;20140610;0.0
VSSIE;20140611;0.0
VSSIE;20140612;0.0
VSSIE;20140613;0.5
VSSIE;20140614;0.0
VSSIE;20140615;0.0
VSSIE;20140616;0.0
VSSIE;20140617;0.0
VSSIE;20140618;0.0
VSSIE;20140619;0.0
VSSIE;20140620;0.0
VSSIE;20140621;0.0
VSSIE;20140622;2.6
VSSIE;20140623;10.9
VSSIE;20140624;0.7
VSSIE;20140625;0.1
VSSIE;20140626;0.0
VSSIE;20140627;0.0
VSSIE;20140628;0.5
VSSIE;20140629;5.2
VSSIE;20140630;0.0
VSSIE;20140701;1.3
VSSIE;20140702;3.6
VSSIE;20140703;0.0
VSSIE;20140704;0.0
VSSIE;20140705;0.1
VSSIE;20140706;0.0
VSSIE;20140707;8.5
VSSIE;20140708;11.3
VSSIE;20140709;0.1
VSSIE;20140710;10.0
VSSIE;20140711;2.9
VSSIE;20140712;0.6
VSSIE;20140713;0.0
VSSIE;20140714;0.2
VSSIE;20140715;0.0
VSSIE;20140716;0.0
VSSIE;20140717;0.0
VSSIE;20140718;0.0
VSSIE;20140719;0.4
VSSIE;20140720;16.9
VSSIE;20140721;3.5
VSSIE;20140722;5.2
VSSIE;20140723;0.5
VSSIE;20140724;9.4
VSSIE;20140725;3.3
VSSIE;20140726;4.8
VSSIE;20140727;0.0
VSSIE;20140728;27.4
VSSIE;20140729;26.5
VSSIE;20140730;0.1
VSSIE;20140731;0.0
VSSIE;20140801;0.1
VSSIE;20140802;6.2
VSSIE;20140803;0.0
VSSIE;20140804;0.0
VSSIE;20140805;0.0
VSSIE;20140806;0.0
VSSIE;20140807;0.1
VSSIE;20140808;12.5
VSSIE;20140809;3.1
VSSIE;20140810;0.0
VSSIE;20140811;16.1
VSSIE;20140812;1.5
VSSIE;20140813;6.0
VSSIE;20140814;0.0
VSSIE;20140815;0.5
VSSIE;20140816;0.0
VSSIE;20140817;0.0
VSSIE;20140818;0.0
VSSIE;20140819;6.3
VSSIE;20140820;0.3
VSSIE;20140821;0.0
VSSIE;20140822;0.0
VSSIE;20140823;0.0
VSSIE;20140824;0.1
VSSIE;20140825;0.0
VSSIE;20140826;35.3
VSSIE;20140827;0.0
VSSIE;20140828;0.0
VSSIE;20140829;0.7
VSSIE;20140830;0.0
VSSIE;20140831;0.4
VSSIE;20140901;0.4
VSSIE;20140902;0.0
VSSIE;20140903;0.0
VSSIE;20140904;0.0
VSSIE;20140905;0.4
VSSIE;20140906;0.0
VSSIE;20140907;0.0
VSSIE;20140908;1.8
VSSIE;20140909;2.4
VSSIE;20140910;0.5
VSSIE;20140911;0.0
VSSIE;20140912;0.0
VSSIE;20140913;0.0
VSSIE;20140914;0.0
VSSIE;20140915;0.0
VSSIE;20140916;0.0
VSSIE;20140917;0.0
VSSIE;20140918;0.0
VSSIE;20140919;0.0
VSSIE;20140920;0.0
VSSIE;20140921;6.9
VSSIE;20140922;0.5
VSSIE;20140923;0.0
VSSIE;20140924;0.9
VSSIE;20140925;0.1
VSSIE;20140926;0.0
VSSIE;20140927;0.0
VSSIE;20140928;0.0
VSSIE;20140929;0.0
VSSIE;20140930;1.4
VSSIE;20141001;0.0
VSSIE;20141002;0.0
VSSIE;20141003;0.0
VSSIE;20141004;0.0
VSSIE;20141005;2.7
VSSIE;20141006;2.5
VSSIE;20141007;0.0
VSSIE;20141008;0.0
VSSIE;20141009;0.0
VSSIE;20141010;0.0
VSSIE;20141011;0.6
VSSIE;20141012;0.0
VSSIE;20141013;10.7
VSSIE;20141014;0.8
VSSIE;20141015;0.3
VSSIE;20141016;1.5
VSSIE;20141017;1.6
VSSIE;20141018;0.0
VSSIE;20141019;0.0
VSSIE;20141020;0.8
VSSIE;20141021;4.9
VSSIE;20141022;0.5
VSSIE;20141023;0.0
VSSIE;20141024;0.0
VSSIE;20141025;0.6
VSSIE;20141026;0.0
VSSIE;20141027;0.0
VSSIE;20141028;0.0
VSSIE;20141029;0.0
VSSIE;20141030;0.0
VSSIE;20141031;0.0
VSSIE;20141101;0.0
VSSIE;20141102;0.0
VSSIE;20141103;0.0
VSSIE;20141104;1.8
VSSIE;20141105;23.6
VSSIE;20141106;0.2
VSSIE;20141107;0.0
VSSIE;20141108;0.0
VSSIE;20141109;0.0
VSSIE;20141110;0.1
VSSIE;20141111;0.0
VSSIE;20141112;2.5
VSSIE;20141113;0.1
VSSIE;20141114;0.0
VSSIE;20141115;15.9
VSSIE;20141116;1.8
VSSIE;20141117;2.8
VSSIE;20141118;0.4
VSSIE;20141119;0.0
VSSIE;20141120;0.0
VSSIE;20141121;0.0
VSSIE;20141122;0.0
VSSIE;20141123;0.0
VSSIE;20141124;0.0
VSSIE;20141125;0.0
VSSIE;20141126;0.0
VSSIE;20141127;0.0
VSSIE;20141128;0.0
VSSIE;20141129;0.0
VSSIE;20141130;0.0
VSSIE;20141201;1.9
VSSIE;20141202;0.4
VSSIE;20141203;0.7
VSSIE;20141204;0.0
VSSIE;20141205;0.0
VSSIE;20141206;0.0
VSSIE;20141207;0.0
VSSIE;20141208;0.0
VSSIE;20141209;0.0
VSSIE;20141210;0.0
VSSIE;20141211;0.0
VSSIE;20141212;0.0
VSSIE;20141213;0.0
VSSIE;20141214;0.0
VSSIE;20141215;0.0
VSSIE;20141216;1.9
VSSIE;20141217;10.7
VSSIE;20141218;8.5
VSSIE;20141219;0.6
VSSIE;20141220;1.8
