year,LAI_irr,LAI_ctrl,LAI_irrstp
2000,2.1425,2.1425,2.1425
2001,2.1425,2.1425,2.1425
2002,2.1425,2.1425,2.1425
2003,2.1425,2.1425,2.1425
2004,2.1675,2.1425,2.1675
2005,2.2275,2.0075,2.2275
2006,2.4074999999999998,2.1725,2.4074999999999998
2007,2.5475,2.23,2.5475
2008,2.4925,2.0025,2.4925
2009,2.536716077298479,1.92,2.536716077298479
2010,2.5879956374883477,1.8375,2.5879956374883477
2011,2.6350634388854814,1.755,2.6350634388854814
2012,2.5975,1.6724999999999999,2.5975
2013,2.716563765294268,1.77875,2.716563765294268
2014,2.7225,1.885,2.6717510122354144
2015,2.781217056524838,1.94,2.62693825917656
2016,2.8072260639455635,1.995,2.5821255061177073
2017,2.829023312575373,2.05,2.5373127530588535
2018,2.88,2.105,2.4924999999999997
2019,2.88,2.105,2.4924999999999997
2020,2.88,2.105,2.4924999999999997
2021,2.88,2.105,2.4924999999999997
2022,2.88,2.105,2.4924999999999997
2023,2.88,2.105,2.4924999999999997
2024,2.88,2.105,2.4924999999999997
