year,block,plot,trt,LAI
2004,1,1,control,2.2
2004,1,2,irrig.,2.55
2004,2,3,irrig.,2.08
2004,2,4,control,2.14
2004,3,5,control,2.23
2004,3,6,irrig.,1.76
2004,4,7,irrig.,2.28
2004,4,8,control,2
2005,1,1,control,1.95
2005,1,2,irrig.,2.42
2005,2,3,irrig.,2.05
2005,2,4,control,1.81
2005,3,5,control,2.52
2005,3,6,irrig.,2.02
2005,4,7,irrig.,2.42
2005,4,8,control,1.75
2006,1,1,control,2.31
2006,1,2,irrig.,2.74
2006,2,3,irrig.,2.3
2006,2,4,control,1.77
2006,3,5,control,3.05
2006,3,6,irrig.,2.09
2006,4,7,irrig.,2.5
2006,4,8,control,1.56
2007,1,1,control,2.05
2007,1,2,irrig.,2.9
2007,2,3,irrig.,2.7
2007,2,4,control,2.14
2007,3,5,control,2.99
2007,3,6,irrig.,2.03
2007,4,7,irrig.,2.56
2007,4,8,control,1.74
2008,1,1,control,2
2008,1,2,irrig.,2.99
2008,2,3,irrig.,2.39
2008,2,4,control,1.91
2008,3,5,control,2.42
2008,3,6,irrig.,2.04
2008,4,7,irrig.,2.55
2008,4,8,control,1.68
2012,1,1,control,1.37
2012,1,2,irrig.,3.01
2012,2,3,irrig.,2.61
2012,2,4,control,1.68
2012,3,5,control,1.97
2012,3,6,irrig.,2.29
2012,4,7,irrig.,2.48
2012,4,8,control,1.67
2014,1,1,control,1.87
2014,1,2,irrig.,3.39
2014,2,3,irrig.,2.67
2014,2,4,control,1.41
2014,3,5,control,2.33
2014,3,6,irrig.,2.15
2014,4,7,irrig.,2.68
2014,4,8,control,1.93
2018,1,1,control,1.72
2018,1,2,irrig.,2.86
2018,2,3,irrig.,3.08
2018,2,4,control,2.34
2018,3,5,control,2.2
2018,3,6,irrig.,2.74
2018,4,7,irrig.,2.84
2018,4,8,control,2.16
