tree,value,year,month,day,wp,h,m,meta
604,-6.32,2025,5,28,pd,5,0,Control
597,-6.1,2025,5,28,pd,5,0,Control
600,-6,2025,5,28,pd,5,0,Control
332,-6.5,2025,5,28,pd,5,0,Irrigation_vpd
263,-5.2,2025,5,28,pd,5,0,Irrigation_vpd
254,-5.8,2025,5,28,pd,5,0,Irrigation_vpd
679,-7.2,2025,5,28,pd,5,0,Roof_vpd
754,-5.7,2025,5,28,pd,5,0,Irrigation
756,-5.7,2025,5,28,pd,5,0,Irrigation
755,-4.8,2025,5,28,pd,5,0,Irrigation
757,-4.1,2025,5,28,pd,5,0,Irrigation
647,-6.9,2025,5,28,pd,5,0,Roof_vpd
677,-6.7,2025,5,28,pd,5,0,Roof_vpd
572,-8.2,2025,5,28,pd,5,0,Roof
522,-6.6,2025,5,28,pd,5,0,Roof
518,-5.5,2025,5,28,pd,5,0,Roof
572,-13.2,2025,5,28,md,12,0,Roof
522,-15,2025,5,28,md,12,0,Roof
254,-10.1,2025,5,28,md,12,0,Irrigation_vpd
332,-11.8,2025,5,28,md,12,0,Irrigation_vpd
263,-12.4,2025,5,28,md,12,0,Irrigation_vpd
518,-12.7,2025,5,28,md,12,0,Roof
600,-11.3,2025,5,28,md,12,0,Control
597,-14.7,2025,5,28,md,12,0,Control
677,-12.9,2025,5,28,md,12,0,Roof_vpd
604,-12.6,2025,5,28,md,12,0,Control
647,-11.5,2025,5,28,md,12,0,Roof_vpd
679,-11.8,2025,5,28,md,12,0,Roof_vpd
755,-7.8,2025,5,28,md,12,0,Irrigation
754,-10.5,2025,5,28,md,12,0,Irrigation
757,-12.9,2025,5,28,md,12,0,Irrigation
756,-13.8,2025,5,28,md,12,0,Irrigation
237,-13,2025,6,12,md,16,0,Irrigation
350,-6.66,2025,6,12,md,16,0,Irrigation
235,-8.1,2025,6,12,md,16,0,Irrigation
238,-9.01,2025,6,12,md,16,0,Irrigation
816,-13.22,2025,6,12,md,16,0,Irrigation_vpd
820,-13.55,2025,6,12,md,16,0,Irrigation_vpd
937,-9.8,2025,6,12,md,16,0,Irrigation_vpd
819,-9.19,2025,6,12,md,16,0,Irrigation_vpd
