date,meta,sfd
2020-02-10,Irrigation Stop,1.590220754045101
2020-02-11,Irrigation Stop,1.1776069477567068
2020-02-12,Irrigation,1.4977238664333088
2020-02-12,Irrigation Stop,1.4097871687484331
2020-02-13,Irrigation,0.8556842967832679
2020-02-13,Irrigation Stop,0.7253611158708372
2020-02-14,Irrigation,1.718015436124842
2020-02-14,Irrigation Stop,1.3457664806858598
2020-02-15,Irrigation,1.3975159201204905
2020-02-15,Irrigation Stop,1.027632948417856
2020-02-16,Irrigation,2.1348815585637864
2020-02-16,Irrigation Stop,1.809248776334859
2020-02-17,Irrigation,1.5309418274413207
2020-02-17,Irrigation Stop,1.2939232367009574
2020-02-18,Irrigation,1.3753901846485563
2020-02-18,Irrigation Stop,1.1334969750169486
2020-02-19,Irrigation,0.9867833159701842
2020-02-19,Irrigation Stop,0.8665530706555411
2020-02-20,Control,0.9269909336376068
2020-02-20,Irrigation,1.9482366927045198
2020-02-20,Irrigation Stop,1.6118256594591218
2020-02-21,Control,0.8096344342136088
2020-02-21,Irrigation,2.3120633409497646
2020-02-21,Irrigation Stop,2.122167222547932
2020-02-22,Control,0.9527888616979425
2020-02-22,Irrigation,2.107960579551017
2020-02-22,Irrigation Stop,1.586942807838562
2020-02-23,Control,0.9084368857335603
2020-02-23,Irrigation,2.8771673324202753
2020-02-23,Irrigation Stop,2.3324943951633443
2020-02-24,Control,1.236589881607579
2020-02-24,Irrigation,2.768546732553258
2020-02-24,Irrigation Stop,2.4780374446714335
2020-02-25,Control,0.7478495176414263
2020-02-25,Irrigation,2.0324384659221826
2020-02-25,Irrigation Stop,1.7447084412268903
2020-02-26,Control,1.4786910090625935
2020-02-26,Irrigation,0.400687806131412
2020-02-26,Irrigation Stop,0.8701093069827266
2020-02-27,Control,0.9296197402784564
2020-02-27,Irrigation,0.9095474239111122
2020-02-27,Irrigation Stop,1.27168879793154
2020-02-28,Control,1.4916799497769897
2020-02-28,Irrigation,1.6812596405474232
2020-02-28,Irrigation Stop,2.0916896277405286
2020-02-29,Control,0.8183165646740356
2020-02-29,Irrigation,2.666292057977313
2020-02-29,Irrigation Stop,2.6713292238224726
2020-03-01,Control,1.0773989102090757
2020-03-01,Irrigation,1.797011313566055
2020-03-01,Irrigation Stop,1.4491942226744396
2020-03-02,Control,1.977781978423415
2020-03-02,Irrigation,1.5310248853589208
2020-03-02,Irrigation Stop,1.1690302557077132
2020-03-03,Control,2.329550634251353
2020-03-03,Irrigation,2.6775368902654755
2020-03-03,Irrigation Stop,2.476653048924409
2020-03-04,Control,1.7728519199540254
2020-03-04,Irrigation,2.4331951850177047
2020-03-04,Irrigation Stop,2.0951033726479107
2020-03-05,Control,1.9568058301638933
2020-03-05,Irrigation,0.5052866743299405
2020-03-05,Irrigation Stop,0.5803892559769861
2020-03-06,Control,1.7568113371937897
2020-03-06,Irrigation,2.7590965956243125
2020-03-06,Irrigation Stop,2.9382099188425994
2020-03-07,Control,1.5545720324918832
2020-03-07,Irrigation,3.12385695643642
2020-03-07,Irrigation Stop,3.0496430514034203
2020-03-08,Control,1.2562279760600292
2020-03-08,Irrigation,2.385722489945588
2020-03-08,Irrigation Stop,2.176023955006011
2020-03-09,Control,0.8408881890876501
2020-03-09,Irrigation,1.9965420837206207
2020-03-09,Irrigation Stop,1.9357252627948005
2020-03-10,Control,0.8451411132170777
2020-03-10,Irrigation,0.3884812364823844
2020-03-10,Irrigation Stop,0.44250307235086106
2020-03-11,Control,1.4277128796892495
2020-03-11,Irrigation,2.1829726053995295
2020-03-11,Irrigation Stop,2.6355606437597316
2020-03-12,Control,1.7880355727993609
2020-03-12,Irrigation,3.734240476100618
2020-03-12,Irrigation Stop,3.328952290931634
2020-03-13,Control,1.816663516467415
2020-03-13,Irrigation,3.0079057790073547
2020-03-13,Irrigation Stop,3.0131276350956213
2020-03-14,Control,1.9350647923113515
2020-03-14,Irrigation,3.4875510843211712
2020-03-14,Irrigation Stop,2.909355842441527
2020-03-15,Control,2.5452119489920833
2020-03-15,Irrigation,4.239911302921341
2020-03-15,Irrigation Stop,4.260966978395106
2020-03-16,Control,2.438203774587366
2020-03-16,Irrigation,4.070763660601423
2020-03-16,Irrigation Stop,4.36664984490357
2020-03-17,Control,2.3616885399152414
2020-03-17,Irrigation,4.162767941822921
2020-03-17,Irrigation Stop,4.829621625653786
2020-03-18,Control,2.3441626807101033
2020-03-18,Irrigation,3.9337652815140665
2020-03-18,Irrigation Stop,4.8767024509243315
2020-03-19,Control,2.5739275207345345
2020-03-19,Irrigation,4.0366102121031435
2020-03-19,Irrigation Stop,4.843802459657148
2020-03-20,Control,2.519353843968493
2020-03-20,Irrigation,3.5955660109855145
2020-03-20,Irrigation Stop,3.9669427274143367
2020-03-21,Control,2.953850250145092
2020-03-21,Irrigation,4.1388036939318535
2020-03-21,Irrigation Stop,4.964916452439359
2020-03-22,Control,2.0501309954660214
2020-03-22,Irrigation,2.337448986224925
2020-03-22,Irrigation Stop,3.1318488218157032
2020-03-23,Control,2.597669870381366
2020-03-23,Irrigation,2.654453046407723
2020-03-23,Irrigation Stop,3.5398931549258323
2020-03-24,Control,2.9154686909136873
2020-03-24,Irrigation,3.0701784517856394
2020-03-24,Irrigation Stop,3.8659338444646365
2020-03-25,Control,2.7383613569723093
2020-03-25,Irrigation,3.3457515818380568
2020-03-25,Irrigation Stop,3.716789920898764
2020-03-26,Control,2.369582226712073
2020-03-26,Irrigation,4.010072602063154
2020-03-26,Irrigation Stop,4.352686355270505
2020-03-27,Control,2.3212061624190117
2020-03-27,Irrigation,3.4659191152383144
2020-03-27,Irrigation Stop,3.8703204144204446
2020-03-28,Control,2.4282693299695075
2020-03-28,Irrigation,4.1426979612938055
2020-03-28,Irrigation Stop,4.350166019151464
2020-03-29,Control,2.134413900794528
2020-03-29,Irrigation,3.2443771624435174
2020-03-29,Irrigation Stop,3.486811993064489
2020-03-30,Control,1.2875968057476552
2020-03-30,Irrigation,1.9157963053294793
2020-03-30,Irrigation Stop,2.324855650041191
2020-03-31,Irrigation,3.549952930175678
2020-03-31,Irrigation Stop,4.566750596508731
2020-04-01,Irrigation,4.358377018194279
2020-04-01,Irrigation Stop,4.996757315870155
2020-04-02,Irrigation,4.5751871627549345
2020-04-02,Irrigation Stop,4.760272242878214
2020-04-03,Irrigation,4.2171061695660805
2020-04-03,Irrigation Stop,4.957914887920053
2020-04-04,Irrigation,4.391195716001258
2020-04-04,Irrigation Stop,5.007027300516366
2020-04-05,Irrigation,5.0621503757311945
2020-04-05,Irrigation Stop,5.639915276315052
2020-04-06,Irrigation,4.603486630448947
2020-04-06,Irrigation Stop,5.673573415553848
2020-04-07,Irrigation,4.727757287902939
2020-04-07,Irrigation Stop,5.670140107740148
2020-04-08,Irrigation,4.469314996750624
2020-04-08,Irrigation Stop,4.065869727449851
2020-04-09,Irrigation,4.82598266183742
2020-04-09,Irrigation Stop,4.1270249252020035
2020-04-10,Irrigation,4.753812451150074
2020-04-10,Irrigation Stop,4.254886121290948
2020-04-11,Irrigation,4.693318892434417
2020-04-11,Irrigation Stop,4.2968605626245955
2020-04-12,Irrigation,4.758280586183494
2020-04-12,Irrigation Stop,4.043780735765051
2020-04-13,Irrigation,4.802036411501872
2020-04-13,Irrigation Stop,4.1659516048780745
2020-04-14,Irrigation,4.390823540940792
2020-04-14,Irrigation Stop,4.131295059787112
2020-04-15,Irrigation,4.963931662135
2020-04-15,Irrigation Stop,4.694339042505969
2020-04-16,Irrigation,4.942431370702289
2020-04-16,Irrigation Stop,4.752667383773395
2020-04-17,Irrigation,4.628873379187507
2020-04-17,Irrigation Stop,4.476676291722432
2020-04-18,Irrigation,4.405003652700302
2020-04-18,Irrigation Stop,4.255394849066437
2020-04-19,Irrigation,3.6069870941222018
2020-04-19,Irrigation Stop,3.237382540283172
2020-04-20,Irrigation,4.677166763302136
2020-04-20,Irrigation Stop,4.113409789027084
2020-04-21,Irrigation,3.866786737682883
2020-04-21,Irrigation Stop,3.3427641565071387
2020-04-22,Irrigation,5.467218019575207
2020-04-22,Irrigation Stop,4.866726376259175
2020-04-23,Irrigation,4.481765332288923
2020-04-23,Irrigation Stop,4.453407835278911
2020-04-24,Irrigation,4.136328395790397
2020-04-24,Irrigation Stop,4.152025501357633
2020-04-25,Irrigation,3.820342987738595
2020-04-25,Irrigation Stop,3.3806331809087746
2020-04-26,Irrigation,3.109802252019837
2020-04-26,Irrigation Stop,3.7259034931918427
2020-04-27,Irrigation,4.020576633286471
2020-04-27,Irrigation Stop,4.546754626591016
2020-04-28,Irrigation,1.023787109587568
2020-04-28,Irrigation Stop,1.0654537311984638
2020-04-29,Irrigation,4.663751823605463
2020-04-29,Irrigation Stop,5.790226610650636
2020-04-30,Irrigation,1.763973579245848
2020-04-30,Irrigation Stop,2.6536583124493043
2020-05-01,Irrigation,0.890928853702054
2020-05-01,Irrigation Stop,1.3368400090967265
2020-05-02,Irrigation,2.8463992331128574
2020-05-02,Irrigation Stop,3.898277402117614
2020-05-03,Irrigation,3.947795902875436
2020-05-03,Irrigation Stop,4.914840922341861
2020-05-04,Irrigation,5.990772820982253
2020-05-04,Irrigation Stop,6.891540109750596
2020-05-05,Irrigation,1.4703595966945793
2020-05-05,Irrigation Stop,1.5454609731906264
2020-05-06,Irrigation,5.365263340098626
2020-05-06,Irrigation Stop,5.551620756740227
2020-05-07,Irrigation,6.378039558175541
2020-05-07,Irrigation Stop,6.700182281868237
2020-05-08,Irrigation,6.080787474782647
2020-05-08,Irrigation Stop,6.548002245605386
2020-05-09,Irrigation,5.703036730775882
2020-05-09,Irrigation Stop,6.513804457444461
2020-05-10,Irrigation,5.106036626533691
2020-05-10,Irrigation Stop,5.264306963136016
2020-05-11,Irrigation,4.086520660101235
2020-05-11,Irrigation Stop,4.491836460963814
2020-05-12,Irrigation,3.8363089231487644
2020-05-12,Irrigation Stop,4.605354640953779
2020-05-13,Irrigation,3.5440726509201275
2020-05-13,Irrigation Stop,3.904615066335565
2020-05-14,Irrigation,4.732344143876129
2020-05-14,Irrigation Stop,5.545685720068777
2020-05-15,Irrigation,2.700414266341217
2020-05-15,Irrigation Stop,4.9255840159943425
2020-05-16,Irrigation,4.0934354365682655
2020-05-16,Irrigation Stop,5.120805083093401
2020-05-17,Irrigation,5.652737302932886
2020-05-17,Irrigation Stop,6.459334877531408
2020-05-18,Irrigation,6.33055319419918
2020-05-18,Irrigation Stop,6.7163436285871745
2020-05-19,Irrigation,5.872003677027758
2020-05-19,Irrigation Stop,6.698612677407366
2020-05-20,Irrigation,5.572511358973468
2020-05-20,Irrigation Stop,6.817245042523524
2020-05-21,Irrigation,5.0585175458514975
2020-05-21,Irrigation Stop,6.703643552199468
2020-05-22,Irrigation,4.677802737987664
2020-05-22,Irrigation Stop,6.51842208362008
2020-05-23,Irrigation,2.891702209120906
2020-05-23,Irrigation Stop,3.460581849217562
2020-05-24,Irrigation,5.4331314210318915
2020-05-24,Irrigation Stop,6.079396593424894
2020-05-25,Irrigation,5.793240065856225
2020-05-25,Irrigation Stop,6.819619265283869
2020-05-26,Irrigation,4.747067314089895
2020-05-26,Irrigation Stop,6.671263932700673
2020-05-27,Irrigation,4.560578779032299
2020-05-27,Irrigation Stop,6.310473831673254
2020-05-28,Irrigation,6.2768574483862585
2020-05-28,Irrigation Stop,6.0993618209761555
2020-05-29,Irrigation,6.371802906402946
2020-05-29,Irrigation Stop,5.6938063751582835
2020-05-30,Irrigation,5.381489337563138
2020-05-30,Irrigation Stop,4.247677183868156
2020-05-31,Irrigation,6.6261954506212035
2020-05-31,Irrigation Stop,5.63640875123856
2020-06-01,Irrigation,4.768871245482294
2020-06-01,Irrigation Stop,5.448631363729871
2020-06-02,Irrigation,4.670704867067158
2020-06-02,Irrigation Stop,5.376963938946185
2020-06-03,Irrigation,4.129111462240268
2020-06-03,Irrigation Stop,4.5088841939178845
2020-06-04,Irrigation,1.1831032674960067
2020-06-04,Irrigation Stop,0.6174965346546128
2020-06-05,Irrigation,5.411187147796758
2020-06-05,Irrigation Stop,4.726619589133328
2020-06-06,Irrigation,5.791397168846484
2020-06-06,Irrigation Stop,5.626200080183295
2020-06-07,Irrigation,4.280237666303396
2020-06-07,Irrigation Stop,4.27339783756077
2020-06-08,Irrigation,4.435377159512891
2020-06-08,Irrigation Stop,4.412273838694055
2020-06-09,Irrigation,4.72224091387259
2020-06-09,Irrigation Stop,2.4396515151937654
2020-06-10,Irrigation,4.822292497190025
2020-06-10,Irrigation Stop,1.6330661234253636
2020-06-11,Irrigation,7.743520355102534
2020-06-11,Irrigation Stop,4.777626218861237
2020-06-12,Irrigation,7.945346305305388
2020-06-12,Irrigation Stop,5.591749018113724
2020-06-13,Irrigation,5.7893910572444
2020-06-13,Irrigation Stop,4.393320204929677
2020-06-14,Irrigation,5.066097064705514
2020-06-14,Irrigation Stop,3.8020132729881078
2020-06-15,Irrigation,7.273041041423978
2020-06-15,Irrigation Stop,4.457876138001524
2020-06-16,Irrigation,7.22608999897056
2020-06-16,Irrigation Stop,4.742053909527645
2020-06-17,Irrigation,4.2867219316319165
2020-06-17,Irrigation Stop,2.948513873914836
2020-06-18,Irrigation,8.430625507390156
2020-06-18,Irrigation Stop,4.931686400744688
2020-06-19,Irrigation,7.419559608567765
2020-06-19,Irrigation Stop,4.169797679166105
2020-06-20,Irrigation,6.994076176533318
2020-06-20,Irrigation Stop,4.827670088080448
2020-06-21,Irrigation,8.682208700619524
2020-06-21,Irrigation Stop,5.308397181430657
2020-06-22,Irrigation,8.694258890009815
2020-06-22,Irrigation Stop,4.990806344940115
2020-06-23,Irrigation,9.123689086892744
2020-06-23,Irrigation Stop,4.8740225725307305
2020-06-24,Irrigation,7.1500769323295055
2020-06-24,Irrigation Stop,4.306819337743857
2020-06-25,Irrigation,7.771828982032888
2020-06-25,Irrigation Stop,4.205531311377835
2020-06-26,Irrigation,8.157348893881478
2020-06-26,Irrigation Stop,3.9397854063207824
2020-06-27,Irrigation,7.815341401119182
2020-06-27,Irrigation Stop,3.8039473792299026
2020-06-28,Irrigation,7.192222750799329
2020-06-28,Irrigation Stop,3.1343673095716444
2020-06-29,Irrigation,7.58359382468281
2020-06-29,Irrigation Stop,4.038343405000335
2020-06-30,Irrigation,9.327509799914633
2020-06-30,Irrigation Stop,5.406247823451238
2020-07-01,Irrigation,8.535649678236673
2020-07-01,Irrigation Stop,5.06321907949881
2020-07-02,Irrigation,8.408403006870016
2020-07-02,Irrigation Stop,4.271020549576021
2020-07-03,Irrigation,9.215335678593577
2020-07-03,Irrigation Stop,3.6510049979890966
2020-07-04,Irrigation,10.148559967167035
2020-07-04,Irrigation Stop,4.193764412281219
2020-07-05,Irrigation,10.091222730029392
2020-07-05,Irrigation Stop,4.198097425485471
2020-07-06,Irrigation,8.79262381023079
2020-07-06,Irrigation Stop,3.7354841796421234
2020-07-07,Irrigation,7.75793975822039
2020-07-07,Irrigation Stop,3.307636882497464
2020-07-08,Irrigation,9.294374054927527
2020-07-08,Irrigation Stop,3.356359498769856
2020-07-09,Control,2.866636752751651
2020-07-09,Irrigation,8.144111606631835
2020-07-09,Irrigation Stop,3.283244535658432
2020-07-10,Control,2.504358541184879
2020-07-10,Irrigation,7.197621319831165
2020-07-10,Irrigation Stop,3.679830089680906
2020-07-11,Control,1.4472418429944731
2020-07-11,Irrigation,5.002899367334644
2020-07-11,Irrigation Stop,3.272802573507883
2020-07-12,Control,1.755985010173157
2020-07-12,Irrigation,7.509988979274162
2020-07-12,Irrigation Stop,5.4019800628541805
2020-07-13,Control,1.6781294567791103
2020-07-13,Irrigation,6.996053173307641
2020-07-13,Irrigation Stop,3.847990804560409
2020-07-14,Control,1.438642300426764
2020-07-14,Irrigation,7.075214041000135
2020-07-14,Irrigation Stop,3.278805508532131
2020-07-15,Control,1.1363205440451685
2020-07-15,Irrigation,6.131442071043795
2020-07-15,Irrigation Stop,2.491850812477921
2020-07-16,Control,1.3151831096281117
2020-07-16,Irrigation,6.1568172594044945
2020-07-16,Irrigation Stop,2.489095036450837
2020-07-17,Control,1.6327699742518846
2020-07-17,Irrigation,7.294460841656184
2020-07-17,Irrigation Stop,3.081574372306366
2020-07-18,Control,1.7078370519226915
2020-07-18,Irrigation,7.514009145347524
2020-07-18,Irrigation Stop,2.6632197619701032
2020-07-19,Control,1.6774668316928714
2020-07-19,Irrigation,7.540799244278155
2020-07-19,Irrigation Stop,2.397297989011561
2020-07-20,Control,1.7420147607808047
2020-07-20,Irrigation,7.7304765487973395
2020-07-20,Irrigation Stop,2.2395817312190927
2020-07-21,Control,1.5233943113333066
2020-07-21,Irrigation,7.293416103724989
2020-07-21,Irrigation Stop,2.4833920020833196
2020-07-22,Control,1.301401634280361
2020-07-22,Irrigation,4.022467269001057
2020-07-22,Irrigation Stop,1.516975774452396
2020-07-23,Control,1.5353979900290724
2020-07-23,Irrigation,7.076110162683632
2020-07-23,Irrigation Stop,3.8516128332576693
2020-07-24,Control,0.8819016994624533
2020-07-24,Irrigation,3.64724486340251
2020-07-24,Irrigation Stop,1.2761084545778647
2020-07-25,Control,1.76488121341905
2020-07-25,Irrigation,8.119733865115803
2020-07-25,Irrigation Stop,3.5533318461483434
2020-07-26,Control,1.5782525733271429
2020-07-26,Irrigation,8.139496023105512
2020-07-26,Irrigation Stop,2.927674409841282
2020-07-27,Control,1.7299641454129542
2020-07-27,Irrigation,8.22921682976857
2020-07-27,Irrigation Stop,2.387649516953439
2020-07-28,Control,1.5463261702791753
2020-07-28,Irrigation,6.814884454248987
2020-07-28,Irrigation Stop,1.9373526230022324
2020-07-29,Control,1.5405711789423218
2020-07-29,Irrigation,6.912869733956967
2020-07-29,Irrigation Stop,1.838223855230355
2020-07-30,Control,1.6957908250372409
2020-07-30,Irrigation,7.991973392805744
2020-07-30,Irrigation Stop,2.1018936313498684
2020-07-31,Control,1.6775898909491975
2020-07-31,Irrigation,8.10552436093771
2020-07-31,Irrigation Stop,1.967565886820156
2020-08-01,Control,1.5931826301071501
2020-08-01,Irrigation,7.136777128817473
2020-08-01,Irrigation Stop,1.6896380995053029
2020-08-02,Control,1.4178531738225644
2020-08-02,Irrigation,5.562056407901111
2020-08-02,Irrigation Stop,1.3890118885682543
2020-08-03,Control,1.33152644717559
2020-08-03,Irrigation,3.1111591154242664
2020-08-03,Irrigation Stop,0.5218168393315843
2020-08-04,Control,1.7369804379449005
2020-08-04,Irrigation,6.226245004471079
2020-08-04,Irrigation Stop,1.5082617992590013
2020-08-05,Control,1.9088486060284267
2020-08-05,Irrigation,8.332817451464825
2020-08-05,Irrigation Stop,2.457017205607077
2020-08-06,Control,1.7820330115766803
2020-08-06,Irrigation,7.973551444174758
2020-08-06,Irrigation Stop,2.1271181800825945
2020-08-07,Control,1.7213390703130371
2020-08-07,Irrigation,8.699473785914687
2020-08-07,Irrigation Stop,1.76804494987552
2020-08-08,Control,1.7379227820592615
2020-08-08,Irrigation,8.43352966557615
2020-08-08,Irrigation Stop,1.4890269536392
2020-08-09,Control,1.7556593277964003
2020-08-09,Irrigation,8.13551934645645
2020-08-09,Irrigation Stop,1.2782063935571326
2020-08-10,Control,1.4616086607560979
2020-08-10,Irrigation,6.773684130636485
2020-08-10,Irrigation Stop,1.1356757447397419
2020-08-11,Control,1.613984281073332
2020-08-11,Irrigation,6.676676733893164
2020-08-11,Irrigation Stop,1.1066330481833277
2020-08-12,Control,1.6100028598401985
2020-08-12,Irrigation,6.971187351128195
2020-08-12,Irrigation Stop,1.333825939288662
2020-08-13,Control,1.3891219762640703
2020-08-13,Irrigation,5.772906572774499
2020-08-13,Irrigation Stop,0.9668763639001752
2020-08-14,Control,1.7564798810120819
2020-08-14,Irrigation,5.7622736953735085
2020-08-14,Irrigation Stop,1.896185052622346
2020-08-15,Control,1.7044469575165522
2020-08-15,Irrigation,7.401352419730163
2020-08-15,Irrigation Stop,2.4930740536564873
2020-08-16,Control,1.3749464355243048
2020-08-16,Irrigation,7.04281330168337
2020-08-16,Irrigation Stop,2.01577832593289
2020-08-17,Control,1.2112370280508737
2020-08-17,Irrigation,5.32383825903189
2020-08-17,Irrigation Stop,2.055369323440131
2020-08-18,Control,1.4978437440000696
2020-08-18,Irrigation,6.5871609970527585
2020-08-18,Irrigation Stop,2.5612533214911197
2020-08-19,Control,1.6594869003186998
2020-08-19,Irrigation,7.73586875323307
2020-08-19,Irrigation Stop,2.9557515631448315
2020-08-20,Control,1.6505843002404545
2020-08-20,Irrigation,7.829746199064953
2020-08-20,Irrigation Stop,2.6680033808695236
2020-08-21,Control,1.485678987302824
2020-08-21,Irrigation,7.182025937362352
2020-08-21,Irrigation Stop,2.0457017668219573
2020-08-22,Control,1.1418956471557449
2020-08-22,Irrigation,5.5184965587441965
2020-08-22,Irrigation Stop,1.370280406342679
2020-08-23,Control,1.4354000456415243
2020-08-23,Irrigation,5.836287709592217
2020-08-23,Irrigation Stop,1.5629849938627616
2020-08-24,Control,1.6298594135196827
2020-08-24,Irrigation,7.172793938466028
2020-08-24,Irrigation Stop,1.5212234701454346
2020-08-25,Control,1.4746701883264344
2020-08-25,Irrigation,6.951770480950001
2020-08-25,Irrigation Stop,1.3290339751548257
2020-08-26,Control,1.843417413462145
2020-08-26,Irrigation,6.995410487810828
2020-08-26,Irrigation Stop,1.5531321290452544
2020-08-27,Control,1.6459179346462665
2020-08-27,Irrigation,5.797762065238798
2020-08-27,Irrigation Stop,0.997806134347292
2020-08-28,Control,0.8273689664742887
2020-08-28,Irrigation,3.2790739023597775
2020-08-28,Irrigation Stop,0.5262642509214797
2020-08-29,Control,1.6084878058654069
2020-08-29,Irrigation,0.9094090649452582
2020-08-29,Irrigation Stop,1.0472849340845327
2020-08-30,Control,2.784875223954178
2020-08-30,Irrigation,2.189373313999743
2020-08-30,Irrigation Stop,2.36670594558942
2020-08-31,Control,1.3158161225738487
2020-08-31,Irrigation,6.124179047430396
2020-08-31,Irrigation Stop,3.254847339682678
2020-09-01,Control,1.529399040275178
2020-09-01,Irrigation,6.720390146565315
2020-09-01,Irrigation Stop,3.7309697397580823
2020-09-02,Control,1.8351448218881539
2020-09-02,Irrigation,6.264788139843592
2020-09-02,Irrigation Stop,3.3566959645213355
2020-09-03,Control,2.153433559877029
2020-09-03,Irrigation,6.717984740822721
2020-09-03,Irrigation Stop,3.7938576890476474
2020-09-04,Control,2.1322378749868993
2020-09-04,Irrigation,6.757314071909986
2020-09-04,Irrigation Stop,4.0623282963339715
2020-09-05,Control,2.236357615008443
2020-09-05,Irrigation,6.767408985329917
2020-09-05,Irrigation Stop,4.095636662330214
2020-09-06,Control,2.2344931654525078
2020-09-06,Irrigation,5.746761401534451
2020-09-06,Irrigation Stop,3.166305332848774
2020-09-07,Control,2.3305978226036452
2020-09-07,Irrigation,6.443437057308968
2020-09-07,Irrigation Stop,3.528827929787969
2020-09-08,Control,2.2914125272153774
2020-09-08,Irrigation,6.475000829025501
2020-09-08,Irrigation Stop,3.672022985574117
2020-09-09,Control,2.0776433769081857
2020-09-09,Irrigation,6.911579349826438
2020-09-09,Irrigation Stop,3.589524087678441
2020-09-10,Control,1.890085584917143
2020-09-10,Irrigation,6.469569822875501
2020-09-10,Irrigation Stop,3.3425634539330207
2020-09-11,Control,1.7187073873303258
2020-09-11,Irrigation,5.895925876389366
2020-09-11,Irrigation Stop,2.8565476282884714
2020-09-12,Control,1.9693973121846615
2020-09-12,Irrigation,6.565297076246311
2020-09-12,Irrigation Stop,3.0694777428799815
2020-09-13,Control,1.9121294650293108
2020-09-13,Irrigation,6.252170594549978
2020-09-13,Irrigation Stop,2.8169681546643286
2020-09-14,Control,1.8941972474537019
