date,meta,depth,VWC
2014-04-11,control,10,0.274111600999672
2014-04-12,control,10,0.27024101016118
2014-04-13,control,10,0.269035499993844
2014-04-14,control,10,0.267340263500785
2014-04-15,control,10,0.266202187499434
2014-04-16,control,10,0.264574012557766
2014-04-17,control,10,0.264152944767592
2014-04-18,control,10,0.262931070870997
2014-04-19,control,10,0.298363617624045
2014-04-20,control,10,0.355409213372527
2014-04-21,control,10,0.350924571852311
2014-04-22,control,10,0.348442837021036
2014-04-23,control,10,0.34611311941571
2014-04-24,control,10,0.343617554214935
2014-04-25,control,10,0.341237223377555
2014-04-26,control,10,0.339382129449873
2014-04-27,control,10,0.404854096700265
2014-04-28,control,10,0.424471630195463
2014-04-29,control,10,0.4420137946181
2014-04-30,control,10,0.426139887768711
2014-05-01,control,10,0.417432746582787
2014-05-02,control,10,0.415642293356709
2014-05-03,control,10,0.415677901446248
2014-05-04,control,10,0.406841688677513
2014-05-05,control,10,0.40102477736753
2014-05-06,control,10,0.396727209625705
2014-05-07,control,10,0.39043739143176
2014-05-08,control,10,0.389943204081933
2014-05-13,control,10,0.376824491845068
2014-05-14,control,10,0.374677192650861
2014-05-15,control,10,0.372608607273088
2014-05-16,control,10,0.370255920174229
2014-05-17,control,10,0.369021971821053
2014-05-18,control,10,0.367438848752668
2014-05-19,control,10,0.365783568692341
2014-05-20,control,10,0.363425143386702
2014-05-21,control,10,0.361540737611195
2014-05-22,control,10,0.35914421905766
2014-05-23,control,10,0.362282102470733
2014-05-24,control,10,0.364140212569634
2014-05-25,control,10,0.361197782413419
2014-05-26,control,10,0.358290755072011
2014-05-27,control,10,0.355783055932505
2014-05-28,control,10,0.351668714813683
2014-05-29,control,10,0.349122139582556
2014-05-30,control,10,0.347659736659218
2014-05-31,control,10,0.34614014722631
2014-06-01,control,10,0.344208692525812
2014-06-02,control,10,0.343053936634206
2014-06-03,control,10,0.341267607285666
2014-06-04,control,10,0.338351322239947
2014-06-05,control,10,0.337288217696898
2014-06-06,control,10,0.336669256484767
2014-06-07,control,10,0.335804551639721
2014-06-08,control,10,0.334683804961623
2014-06-09,control,10,0.332695721283511
2014-06-10,control,10,0.330204192761476
