LWF;dates;mpot_10cm;mpot_80cm
PFY;2014-04-11;-69.14159755625;-50.7678071529412
PFY;2014-04-12;-77.780419054375;-51.0580485152941
PFY;2014-04-13;-78.96117905125;-52.564198521875
PFY;2014-04-14;-83.0861165942857;-52.628249015625
PFY;2014-04-15;-86.6715005614286;-52.816422718125
PFY;2014-04-16;-90.1209025657143;-53.106070950625
PFY;2014-04-17;-93.4510732221429;-53.55297471875
PFY;2014-04-18;-95.98773243;-54.02486321
PFY;2014-04-19;-60.3801344042857;-54.657241423125
PFY;2014-04-20;-13.9025166313333;-54.4868326675
PFY;2014-04-21;-17.79629584125;-52.4734546106667
PFY;2014-04-22;-20.69211941625;-52.4172268873333
PFY;2014-04-23;-23.12951069625;-50.892551090625
PFY;2014-04-24;-25.48241346875;-51.137002091875
PFY;2014-04-25;-27.839517285625;-51.554291453125
PFY;2014-04-26;-29.87551106375;-52.04275502
PFY;2014-04-27;-10.96017207675;-50.356462912
PFY;2014-04-28;-10.4312141086471;-49.71933712
PFY;2014-04-29;-10.2308429873333;-49.6002821878571
PFY;2014-04-30;-11.0876877848333;-46.13442602
PFY;2014-05-01;-12.6568905779412;-43.5639121671429
PFY;2014-05-02;-13.0207877870588;-42.2925787957143
PFY;2014-05-03;-13.6306813470588;-41.6789534421429
PFY;2014-05-04;-16.2365640929412;-41.4052804364286
PFY;2014-05-05;-18.3484615894118;-41.3777149235714
PFY;2014-05-06;-20.4842864788235;-41.7684777564286
PFY;2014-05-07;-20.7703752923529;-42.35331644
PFY;2014-05-08;-19.453769981875;-42.52419584
PFY;2014-05-09;NA;NA
PFY;2014-05-10;NA;NA
PFY;2014-05-11;NA;NA
PFY;2014-05-12;NA;NA
PFY;2014-05-13;-26.8280516352941;-44.6523190926667
PFY;2014-05-14;-27.93463932;-45.054827236
PFY;2014-05-15;-29.5646803729412;-45.678120744
PFY;2014-05-16;-30.8191530694444;-46.427195542
PFY;2014-05-17;-30.4407844661111;-47.2459667366667
PFY;2014-05-18;-32.3912733016667;-48.0611664
PFY;2014-05-19;-34.4190660388889;-48.935902048
PFY;2014-05-20;-36.5161209144444;-49.8691220993333
PFY;2014-05-21;-38.4418427066667;-50.841031184
PFY;2014-05-22;-41.5014127729412;-51.8375885073333
PFY;2014-05-23;-34.4910340694118;-52.8321876613333
PFY;2014-05-24;-33.777940055;-53.7273852613333
PFY;2014-05-25;-35.8361361161111;-54.627075788
PFY;2014-05-26;-37.99370292;-55.5983089953333
PFY;2014-05-27;-34.0185658958824;-56.5007366393333
PFY;2014-05-28;-30.9046421608333;-57.3094870713333
PFY;2014-05-29;-31.0424001233333;-58.140839536
PFY;2014-05-30;-32.3542957033333;-59.0890581613333
PFY;2014-05-31;-35.0879265554545;-60.0381273866667
PFY;2014-06-01;-38.3364688708333;-61.0055076646667
PFY;2014-06-02;-40.0777764941667;-61.9526504193333
PFY;2014-06-03;-43.51758781;-62.8654440146667
PFY;2014-06-04;-42.848332654;-63.7488722573333
PFY;2014-06-05;-43.762266227;-66.6414888014286
PFY;2014-06-06;-44.83108289;-68.1243972607143
PFY;2014-06-07;-46.089946808;-69.76377566
PFY;2014-06-08;-47.55225743;-71.5646229485714
PFY;2014-06-09;-49.238162384;-70.6202297353846
PFY;2014-06-10;-51.253748332;-72.6004646484615
PFY;2014-06-11;-53.696344073;-71.2987723775
PFY;2014-06-12;-53.8467215533333;-73.2597062025
PFY;2014-06-13;-55.8445856155556;-75.5421624291667
PFY;2014-06-14;-57.9389194766667;-77.8989019083333
PFY;2014-06-15;-63.13513936;-80.3316611616667
PFY;2014-06-16;-65.353152055;-82.8180298975
PFY;2014-06-17;-64.8624236790909;-85.4462467241667
PFY;2014-06-18;-67.9603825209091;-88.1511453058333
PFY;2014-06-19;-70.8951261990909;-90.99672957
PFY;2014-06-20;-71.232496595;-93.9170165725
PFY;2014-06-21;-77.5493566966667;-96.9600735841667
PFY;2014-06-22;-80.7707644108333;-100.046439448333
PFY;2014-06-23;-83.3606089266667;-107.613679230909
PFY;2014-06-24;-80.8654299990909;-106.2154474975
PFY;2014-06-25;-76.942660259;-108.96917182
PFY;2014-06-26;-77.3605942966667;-112.073622545833
PFY;2014-06-27;-76.5885523381818;-124.716787962143
PFY;2014-06-28;-79.2501872436364;-123.926339955
PFY;2014-06-29;-77.6550430975;-124.095406801429
PFY;2014-06-30;-86.264224448;-125.529215940714
PFY;2014-07-01;-88.367372513;-128.185319429286
PFY;2014-07-02;-83.88419810625;-130.718860892857
PFY;2014-07-03;-84.845622795;-137.395987864615
PFY;2014-07-04;-89.8800344877778;-146.1542618575
PFY;2014-07-05;-92.2097197822222;-142.974116384545
PFY;2014-07-06;-95.04409312;-146.344631893636
PFY;2014-07-07;-98.0489010788889;-149.499338772727
PFY;2014-07-08;-49.6639633266667;-152.334657127273
PFY;2014-07-09;-13.0093386130833;-146.33537264
PFY;2014-07-10;-11.6411271870833;-148.17006524
PFY;2014-07-11;-10.269301265;-149.28887886
PFY;2014-07-12;-11.3141667144667;-150.60056378
PFY;2014-07-13;-13.6824059559333;-151.95144519
PFY;2014-07-14;-16.5125132441333;-153.61400546
PFY;2014-07-15;-19.91408624;-155.52768817
PFY;2014-07-16;-22.9201314833333;-158.1639026
PFY;2014-07-17;-26.470086575;-160.9977041
PFY;2014-07-18;-32.4575494463636;-164.66382344
