year,block,plot,treatment,LAI
2004,1,1,control,2.2
2004,1,2,irrigated,2.55
2004,2,3,irrigated,2.08
2004,2,4,control,2.14
2004,3,5,control,2.23
2004,3,6,irrigated,1.76
2004,4,7,irrigated,2.28
2004,4,8,control,2
2005,1,1,control,1.95
2005,1,2,irrigated,2.42
2005,2,3,irrigated,2.05
2005,2,4,control,1.81
2005,3,5,control,2.52
2005,3,6,irrigated,2.02
2005,4,7,irrigated,2.42
2005,4,8,control,1.75
2006,1,1,control,2.31
2006,1,2,irrigated,2.74
2006,2,3,irrigated,2.3
2006,2,4,control,1.77
2006,3,5,control,3.05
2006,3,6,irrigated,2.09
2006,4,7,irrigated,2.5
2006,4,8,control,1.56
2007,1,1,control,2.05
2007,1,2,irrigated,2.9
2007,2,3,irrigated,2.7
2007,2,4,control,2.14
2007,3,5,control,2.99
2007,3,6,irrigated,2.03
2007,4,7,irrigated,2.56
2007,4,8,control,1.74
2008,1,1,control,2
2008,1,2,irrigated,2.99
2008,2,3,irrigated,2.39
2008,2,4,control,1.91
2008,3,5,control,2.42
2008,3,6,irrigated,2.04
2008,4,7,irrigated,2.55
2008,4,8,control,1.68
2012,1,1,control,1.37
2012,1,2,irrigated,3.01
2012,2,3,irrigated,2.61
2012,2,4,control,1.68
2012,3,5,control,1.97
2012,3,6,irrigated,2.29
2012,4,7,irrigated,2.48
2012,4,8,control,1.67
2014,1,1,control,1.87
2014,1,2,irrigated,3.39
2014,2,3,irrigated,2.67
2014,2,4,control,1.41
2014,3,5,control,2.33
2014,3,6,irrigated,2.15
2014,4,7,irrigated,2.68
2014,4,8,control,1.93
2018,1,1,control,1.42
2018,1,2,irrigated,3.03
2018,2,3,irrigated,2.66
2018,2,4,control,1.91
2018,3,5,control,1.93
2018,3,6,irrigated,2.37
2018,4,7,irrigated,2.45
2018,4,8,control,1.92
2019,1,1,control,1.36
2019,1,2,irrigated,2.89
2019,2,3,irrigated,2.53
2019,2,4,control,1.8
2019,3,5,control,1.73
2019,3,6,irrigated,2.18
2019,4,7,irrigated,2.57
2019,4,8,control,2.08
2020,1,1,control,1.27
2020,1,2,irrigated,2.97
2020,2,3,irrigated,2.32
2020,2,4,control,1.62
2020,3,5,control,1.59
2020,3,6,irrigated,2.27
2020,4,7,irrigated,2.33
2020,4,8,control,1.94
2021,1,1,control,1.31
2021,1,2,irrigated,2.58
2021,2,3,irrigated,2.36
2021,2,4,control,1.7
2021,3,5,control,1.59
2021,3,6,irrigated,2.19
2021,4,7,irrigated,2.35
2021,4,8,control,1.87
