date,depth,treatment,d18O,d2H
2023-08-15,30-50,control,-2.9244960357588266,-37.655087692601334
2023-08-15,30-50,irrigation,-4.44605423591107,-51.90016057830953
2023-08-15,30-50,irrigation stop,-5.08420820514918,-45.27037088958903
2023-08-15,10-30,control,-4.2594896389387165,-41.280645422547536
2023-08-15,10-30,irrigation,-5.8477475738231535,-54.15727695396243
2023-08-15,10-30,irrigation stop,-4.957686125693577,-43.959952727842065
2023-08-15,0-10,control,-3.06143747181862,-43.4373830451663
2023-08-15,0-10,irrigation,-5.438617515086083,-56.8556426483802
2023-08-15,0-10,irrigation stop,-1.1600829606117147,-35.9789525851495
2023-08-31,30-50,control,-9.2508312752769,-66.2847408096572
2023-08-31,30-50,irrigation,-9.596252623806084,-75.59626836870017
2023-08-31,30-50,irrigation stop,-10.60590868831989,-76.65335116692066
2023-08-31,10-30,control,-6.769059305611217,-54.77379458135367
2023-08-31,10-30,irrigation,-8.390695766084873,-67.99607225301577
2023-08-31,10-30,irrigation stop,-9.943255779314097,-75.5614945158318
2023-08-31,0-10,control,-7.612896706644929,-66.24213007844646
2023-08-31,0-10,irrigation,-9.42234332613422,-78.98441166852443
2023-08-31,0-10,irrigation stop,-11.274483352561154,-90.89704870030256
2023-09-22,30-50,control,-9.096749633149532,-68.7959592729302
2023-09-22,30-50,irrigation,-10.650490431706215,-76.29693109791015
2023-09-22,30-50,irrigation stop,-8.29869234367905,-63.114548978516865
2023-09-22,10-30,control,-7.90864124628695,-59.69578192711266
2023-09-22,10-30,irrigation,-11.14837879758371,-79.70763107779577
2023-09-22,10-30,irrigation stop,-8.404263117554926,-63.834343542691734
2023-09-22,0-10,control,-5.36632574566008,-51.4060399654615
2023-09-22,0-10,irrigation,-6.848460761561935,-56.81382606710285
2023-09-22,0-10,irrigation stop,-5.3597679617632865,-51.725982201072334
2023-10-11,30-50,control,-8.895577466402706,-65.558756013832
2023-10-11,30-50,irrigation,-11.390128261702667,-85.61941517270112
2023-10-11,30-50,irrigation stop,-9.293293053881646,-64.8595150341761
2023-10-11,10-30,control,-7.283395840550907,-59.3510788018336
2023-10-11,10-30,irrigation,-11.773291404441768,-86.9648052279685
2023-10-11,10-30,irrigation stop,-7.00660855288615,-55.98457706983273
2023-10-11,0-10,control,-1.65455224018608,-41.11159299564267
2023-10-11,0-10,irrigation,-8.235934095028242,-72.10407671332473
2023-10-11,0-10,irrigation stop,-2.3912106226789867,-38.5233040366317
2023-10-25,30-50,control,-8.938706953580974,-69.3869977501445
2023-10-25,30-50,irrigation,-11.897355299476366,-86.6080245622126
2023-10-25,30-50,irrigation stop,-9.20372151077645,-69.44148360693623
2023-10-25,10-30,control,-7.645327852837556,-64.94771969175616
2023-10-25,10-30,irrigation,-10.821351391221233,-81.48463897260477
2023-10-25,10-30,irrigation stop,-7.79424204957097,-62.5420965545422
2023-10-25,0-10,control,-7.36785985175597,-67.89213275424267
2023-10-25,0-10,irrigation,-11.22678017551359,-88.42235082257264
2023-10-25,0-10,irrigation stop,-6.34028600305794,-63.46222151385007
2024-04-25,30-50,control,-11.49777284,-93.32207646733333
2024-04-25,30-50,irrigation,-10.587172066666666,-89.997354094
2024-04-25,30-50,irrigation stop,-14.52906032,-108.658823522
2024-04-25,10-30,control,-11.666547983333333,-93.777975092
2024-04-25,10-30,irrigation,-13.288092756666666,-100.801058028
2024-04-25,10-30,irrigation stop,-13.31956684,-101.30212485
2024-04-25,0-10,control,-7.181083796666667,-74.66510956533334
2024-04-25,0-10,irrigation,-7.917281119999999,-79.43557159666666
2024-04-25,0-10,irrigation stop,-5.70891132,-70.15633005699999
2024-05-16,30-50,control,-13.858276882,-102.19232734
2024-05-16,30-50,irrigation,-15.232189864,-108.49146576333334
2024-05-16,30-50,irrigation stop,-15.498565159,-109.871828895
2024-05-16,10-30,control,-13.005515728,-99.65468449000001
2024-05-16,10-30,irrigation,-14.348378607999999,-106.46694237333332
2024-05-16,10-30,irrigation stop,-13.075252384,-100.09532945
2024-05-16,0-10,control,-11.960546518,-96.44427121
2024-05-16,0-10,irrigation,-10.496076742,-93.22302126666666
2024-05-16,0-10,irrigation stop,-12.072355702,-96.64174696666667
2024-06-13,30-50,irrigation,-12.76725222,-93.243889746
2024-06-13,30-50,irrigation stop,-12.81190839,-96.937461908
2024-06-13,10-30,control,-10.690777343333334,-86.16284572133334
2024-06-13,10-30,irrigation,-13.432577313333333,-95.15517629866667
2024-06-13,10-30,irrigation stop,-9.918662536666666,-80.00124609333334
2024-06-13,0-10,control,-3.999580282,-53.172950850666666
2024-06-13,0-10,irrigation,-13.423246173333334,-97.64149974333333
2024-06-13,0-10,irrigation stop,-2.95260177,-44.531597026
2024-07-06,30-50,irrigation,-12.08018941,-85.731703864
2024-07-06,30-50,irrigation stop,-9.581076450000001,-68.479248896
2024-07-06,10-30,control,-7.089856747,-59.078369216
2024-07-06,10-30,irrigation,-11.484407002000001,-83.437059138
2024-07-06,10-30,irrigation stop,-5.8439066969999995,-51.214560566
2024-07-06,0-10,control,-2.57723145,-42.732924992
2024-07-06,0-10,irrigation,-9.616117291,-77.809010772
2024-07-06,0-10,irrigation stop,-2.9099259,-40.64712381
2024-08-16,30-50,control,-5.137808908,-28.30229682
2024-08-16,30-50,irrigation stop,-7.740182074,-49.706190905
2024-08-16,10-30,control,-5.195730676,-42.11427996
2024-08-16,10-30,irrigation,-10.99506836,-76.68492261
2024-08-16,10-30,irrigation stop,-4.8958565,-31.939041156666665
2024-08-16,0-10,control,-2.21297575,-30.55935982
2024-08-16,0-10,irrigation,-11.622043531333334,-86.26316442666668
2024-08-16,0-10,irrigation stop,-1.377432634,-3.26194293
2024-10-27,30-50,irrigation,-13.49663654,-91.074706956
2024-10-27,30-50,irrigation stop,-11.239351607,-50.728480194
2024-10-27,10-30,control,-10.362918997333333,-73.850224318
2024-10-27,10-30,irrigation,-13.835192830666667,-94.663672416
2024-10-27,10-30,irrigation stop,-10.44065189,-58.30394572
2024-10-27,0-10,control,-8.786545044666667,-70.40276164
2024-10-27,0-10,irrigation,-13.932032821333333,-98.159542022
2024-10-27,0-10,irrigation stop,-9.239513717333333,-64.72369584
