date,treatment,d18O,d2H
2023-08-15,control,-4.160209341633108,-44.25778195632577
2023-08-15,irrigation,-9.844335337446722,-85.15509975016384
2023-08-15,irrigation stop,-8.913616657169559,-74.43830465372753
2023-08-31,control,-5.67352191235463,-60.3110406058601
2023-08-31,irrigation,-10.207434732420282,-89.9901995958579
2023-08-31,irrigation stop,-9.641690990048607,-87.28076313857532
2023-09-22,control,-7.652693177602123,-72.69702147430817
2023-09-22,irrigation,-10.980588442535524,-91.37938647408885
2023-09-22,irrigation stop,-8.892962511760704,-82.3880632738352
2023-10-11,control,-6.574684523428924,-61.26005590592088
2023-10-11,irrigation,-10.83461795280402,-89.53256269661497
2023-10-11,irrigation stop,-9.668022435154876,-81.56854919762202
2023-10-25,control,-7.510066320512624,-67.9799565674782
2023-10-25,irrigation,-10.6342202767421,-89.91972243174088
2023-10-25,irrigation stop,-10.637857473051701,-90.01118743056345
2024-04-25,control,-12.708673396666667,-99.60946094866667
2024-04-25,irrigation,-13.863705604,-106.5808863324
2024-04-25,irrigation stop,-13.025902534,-102.86407256
2024-05-16,control,-12.7942621275,-100.04221112433333
2024-05-16,irrigation,-12.877857444153847,-100.67457482676923
2024-05-16,irrigation stop,-12.821416887333333,-99.01676988333332
2024-06-13,control,-9.0990853745,-83.758020615
2024-06-13,irrigation,-9.47655306175,-89.8068232695
2024-06-13,irrigation stop,-9.50613608725,-87.44462788525
2024-07-06,control,-9.047472737,-78.64029478466666
2024-07-06,irrigation,-11.19172497375,-90.31036900550001
2024-07-06,irrigation stop,-9.13807149725,-79.2307144945
2024-08-16,control,-8.438339937333334,-68.140813078
2024-08-16,irrigation,-11.230707899666667,-89.63187853666666
2024-08-16,irrigation stop,-11.42952586875,-78.03481128225
2024-10-27,control,-10.091352652666666,-70.141845382
2024-10-27,irrigation,-12.460455574666668,-87.65661018200001
2024-10-27,irrigation stop,-10.48135635425,-62.7792513145
