date,scenario,sf
2011-01-01,control,0
2011-01-01,irrigation stop,0
2011-01-02,control,0
2011-01-02,irrigation stop,0
2011-01-03,control,0
2011-01-03,irrigation stop,0
2011-01-04,control,0
2011-01-04,irrigation stop,0
2011-01-05,control,0
2011-01-05,irrigation stop,0
2011-01-06,control,0
2011-01-06,irrigation stop,0
2011-01-07,control,0
2011-01-07,irrigation stop,0
2011-01-08,control,0
2011-01-08,irrigation stop,0
2011-01-09,control,0
2011-01-09,irrigation stop,0
2011-01-10,control,0
2011-01-10,irrigation stop,0
2011-01-11,control,0
2011-01-11,irrigation stop,0
2011-01-12,control,0
2011-01-12,irrigation stop,0
2011-01-13,control,0
2011-01-13,irrigation stop,0
2011-01-14,control,0
2011-01-14,irrigation stop,0
2011-01-15,control,0
2011-01-15,irrigation stop,0
2011-01-16,control,0
2011-01-16,irrigation stop,0
2011-01-17,control,0
2011-01-17,irrigation stop,0
2011-01-18,control,0
2011-01-18,irrigation stop,0
2011-01-19,control,0
2011-01-19,irrigation stop,0
2011-01-20,control,0
2011-01-20,irrigation stop,0
2011-01-21,control,0
2011-01-21,irrigation stop,0
2011-01-22,control,0
2011-01-22,irrigation stop,0
2011-01-23,control,0
2011-01-23,irrigation stop,0
2011-01-24,control,0
2011-01-24,irrigation stop,0
2011-01-25,control,0
2011-01-25,irrigation stop,0
2011-01-26,control,0
2011-01-26,irrigation stop,0
2011-01-27,control,0
2011-01-27,irrigation stop,0
2011-01-28,control,0
2011-01-28,irrigation stop,0
2011-01-29,control,0
2011-01-29,irrigation stop,0
2011-01-30,control,0
2011-01-30,irrigation stop,0
2011-01-31,control,0
2011-01-31,irrigation stop,0
2011-02-01,control,0
2011-02-01,irrigation stop,0
2011-02-02,control,0
2011-02-02,irrigation stop,0
2011-02-03,control,0
2011-02-03,irrigation stop,0
2011-02-04,control,0
2011-02-04,irrigation stop,0
2011-02-05,control,0
2011-02-05,irrigation stop,0
2011-02-06,control,0
2011-02-06,irrigation stop,0
2011-02-07,control,0
2011-02-07,irrigation stop,0
2011-02-08,control,0
2011-02-08,irrigation stop,0
2011-02-09,control,0
2011-02-09,irrigation stop,0
2011-02-10,control,0
2011-02-10,irrigation stop,0
2011-02-11,control,0
2011-02-11,irrigation stop,0
2011-02-12,control,0
2011-02-12,irrigation stop,0
2011-02-13,control,0
2011-02-13,irrigation stop,0
2011-02-14,control,0
2011-02-14,irrigation stop,0
2011-02-15,control,0
2011-02-15,irrigation stop,0
2011-02-16,control,0
2011-02-16,irrigation stop,0
2011-02-17,control,0
2011-02-17,irrigation stop,0
2011-02-18,control,0
2011-02-18,irrigation stop,0
2011-02-19,control,0
2011-02-19,irrigation stop,0
2011-02-20,control,0
2011-02-20,irrigation stop,0
2011-02-21,control,0
2011-02-21,irrigation stop,0
2011-02-22,control,0
2011-02-22,irrigation stop,0
2011-02-23,control,0
2011-02-23,irrigation stop,0
2011-02-24,control,0
2011-02-24,irrigation stop,0
2011-02-25,control,0
2011-02-25,irrigation stop,0
2011-02-26,control,0
2011-02-26,irrigation stop,0
2011-02-27,control,0
2011-02-27,irrigation stop,0
2011-02-28,control,9.868015e-4
2011-02-28,irrigation stop,0
2011-03-01,control,0
2011-03-01,irrigation stop,0
2011-03-02,control,0
2011-03-02,irrigation stop,0
2011-03-03,control,0
2011-03-03,irrigation stop,0
2011-03-04,control,0
2011-03-04,irrigation stop,0
2011-03-05,control,3.776322416916667
2011-03-05,irrigation stop,0
2011-03-06,control,4.314909547
2011-03-06,irrigation stop,0
2011-03-07,control,5.152523876166667
2011-03-07,irrigation stop,0
2011-03-08,control,6.553093942583333
2011-03-08,irrigation stop,2.3884914095
2011-03-09,control,9.664630451
2011-03-09,irrigation stop,0.8446881258333333
2011-03-10,control,11.935562959083335
2011-03-10,irrigation stop,0
2011-03-11,control,8.550811481833334
2011-03-11,irrigation stop,0
2011-03-12,control,15.153946493666666
2011-03-12,irrigation stop,0
2011-03-13,control,17.344871743916666
2011-03-13,irrigation stop,36.45452433316667
2011-03-14,control,16.545730029166666
2011-03-14,irrigation stop,34.9844562035
2011-03-15,control,5.698583359583333
2011-03-15,irrigation stop,16.962518681333332
2011-03-16,control,5.200982327833334
2011-03-16,irrigation stop,18.1708575185
2011-03-17,control,20.167463678666667
2011-03-17,irrigation stop,41.33952275716667
2011-03-18,control,4.382344889500001
2011-03-18,irrigation stop,17.279820080333334
2011-03-19,control,18.546573573
2011-03-19,irrigation stop,43.18558795316667
2011-03-20,control,17.994129201
2011-03-20,irrigation stop,42.188201949833335
2011-03-21,control,20.736314034416665
2011-03-21,irrigation stop,46.95535996183333
2011-03-22,control,22.593746525833332
2011-03-22,irrigation stop,48.921275313
2011-03-23,control,25.817472560333332
2011-03-23,irrigation stop,50.74207070316667
2011-03-24,control,26.204422499333333
2011-03-24,irrigation stop,49.767051314166665
2011-03-25,control,20.853878836333333
2011-03-25,irrigation stop,42.42639921483333
2011-03-26,control,22.526502200333333
2011-03-26,irrigation stop,45.56363102833333
2011-03-27,control,15.736409342416668
2011-03-27,irrigation stop,36.067954124833335
2011-03-28,control,25.903789290333332
2011-03-28,irrigation stop,50.458176739833334
2011-03-29,control,16.89760335975
2011-03-29,irrigation stop,37.87953683516667
2011-03-30,control,16.358264697583333
2011-03-30,irrigation stop,35.833344947
2011-03-31,control,25.664985619666666
2011-03-31,irrigation stop,24.220431037333334
2011-04-01,control,29.69352806175
2011-04-01,irrigation stop,41.87652683325
2011-04-02,control,27.789378826083336
2011-04-02,irrigation stop,39.64611917158334
2011-04-03,control,10.668432576499999
2011-04-03,irrigation stop,19.942891498166667
2011-04-04,control,27.513561268416666
2011-04-04,irrigation stop,40.31231522258334
2011-04-05,control,30.949439752083332
2011-04-05,irrigation stop,42.8553651995
2011-04-06,control,32.446965340666665
2011-04-06,irrigation stop,43.47809074608333
2011-04-07,control,31.650485649916668
2011-04-07,irrigation stop,41.11701064925
2011-04-08,control,32.32515719725
2011-04-08,irrigation stop,42.441681764
2011-04-09,control,32.6878517875
2011-04-09,irrigation stop,43.41593940558333
2011-04-10,control,30.97244695675
2011-04-10,irrigation stop,39.730895367416664
2011-04-11,control,17.132544375416668
2011-04-11,irrigation stop,26.19793416666667
2011-04-12,control,26.75305704525
2011-04-12,irrigation stop,36.66099613308333
2011-04-13,control,20.515990658083332
2011-04-13,irrigation stop,31.38899367808333
2011-04-14,control,29.901922890916666
2011-04-14,irrigation stop,38.007244486
2011-04-15,control,29.222408512166666
2011-04-15,irrigation stop,36.79913293891667
2011-04-16,control,30.03761935041667
2011-04-16,irrigation stop,37.19916843508334
2011-04-17,control,30.295626280166665
2011-04-17,irrigation stop,36.773224499083334
2011-04-18,control,30.101303934833332
2011-04-18,irrigation stop,35.4886561495
2011-04-19,control,29.604828793916667
2011-04-19,irrigation stop,33.92644979441667
2011-04-20,control,27.580972250000002
2011-04-20,irrigation stop,30.267553837833333
2011-04-21,control,26.491690779083335
2011-04-21,irrigation stop,27.12290310725
2011-04-22,control,27.556422243333337
2011-04-22,irrigation stop,28.153883654
2011-04-23,control,23.548406971416668
2011-04-23,irrigation stop,24.996250437916665
2011-04-24,control,26.969049021750003
2011-04-24,irrigation stop,26.547351995916664
2011-04-25,control,28.775851279166666
2011-04-25,irrigation stop,27.608265255666666
2011-04-26,control,25.27627283183333
2011-04-26,irrigation stop,25.188417794166668
2011-04-27,control,12.6249341325
2011-04-27,irrigation stop,13.564120123333332
2011-04-28,control,17.886633185666668
2011-04-28,irrigation stop,17.554149430666666
2011-04-29,control,29.435720694666667
2011-04-29,irrigation stop,27.259977222583334
2011-04-30,control,29.526313988749997
2011-04-30,irrigation stop,25.467481220083332
2011-05-01,control,29.440195750083333
2011-05-01,irrigation stop,22.488230229000003
2011-05-02,control,5.003441165583333
2011-05-02,irrigation stop,5.037237629333333
2011-05-03,control,30.719258945083332
2011-05-03,irrigation stop,24.292292542416668
2011-05-04,control,33.63705140983333
2011-05-04,irrigation stop,25.13397223375
2011-05-05,control,33.66455981833333
2011-05-05,irrigation stop,22.906506086500002
2011-05-06,control,32.49263271925
2011-05-06,irrigation stop,20.30511344833333
2011-05-07,control,29.109197919083332
2011-05-07,irrigation stop,17.219170514333335
2011-05-08,control,33.63555173275
2011-05-08,irrigation stop,18.81101752925
2011-05-09,control,29.754979405166665
2011-05-09,irrigation stop,16.480120616916665
2011-05-10,control,24.639437623583333
2011-05-10,irrigation stop,12.639340062166667
2011-05-11,control,13.13203355275
