date,Treatment,Total_Sap_Flow
2024-01-01,control,0.00959588271563255
2024-01-01,irrigation,0.014914030865307694
2024-01-01,irrigation_vpd,0.011706924320316458
2024-01-01,roof,0.015170151782888825
2024-01-01,roof_vpd,0.012961169464586367
2024-01-02,control,0.09558263779886138
2024-01-02,irrigation,0.1900073070324844
2024-01-02,irrigation_vpd,0.17032075224909773
2024-01-02,roof,0.10734691447917483
2024-01-02,roof_vpd,0.08885296649116203
2024-01-03,control,0.03627493241508248
2024-01-03,irrigation,0.04909801725104445
2024-01-03,irrigation_vpd,0.05454895891605656
2024-01-03,roof,0.040826996808361556
2024-01-03,roof_vpd,0.021986745787343685
2024-01-04,control,0.06738634987214105
2024-01-04,irrigation,0.09691980054466001
2024-01-04,irrigation_vpd,0.086000296127475645
2024-01-04,roof,0.06510805595665302
2024-01-04,roof_vpd,0.04961529107503065
2024-01-05,control,0.04719560924604929
2024-01-05,irrigation,0.07740795606593685
2024-01-05,irrigation_vpd,0.06932506472119217
2024-01-05,roof,0.047016460983912114
2024-01-05,roof_vpd,0.036608116363243716
2024-01-06,control,0.056222177607807414
2024-01-06,irrigation,0.10131293415348155
2024-01-06,irrigation_vpd,0.08628826246420776
2024-01-06,roof,0.05939602268218354
2024-01-06,roof_vpd,0.04912644103100452
2024-01-07,control,0.07222532205111143
2024-01-07,irrigation,0.10397713555347471
2024-01-07,irrigation_vpd,0.10020814022081391
2024-01-07,roof,0.06920147071836058
2024-01-07,roof_vpd,0.06051133627337412
2024-01-08,control,0.0518179641460122
2024-01-08,irrigation,0.09117599274924418
2024-01-08,irrigation_vpd,0.07180326589175175
2024-01-08,roof,0.04867830460570697
2024-01-08,roof_vpd,0.04473935973767033
2024-01-09,control,0.07973481720673797
2024-01-09,irrigation,0.1730203652046426
2024-01-09,irrigation_vpd,0.159154455962362
2024-01-09,roof,0.09114765191067724
2024-01-09,roof_vpd,0.07558338523322343
2024-01-10,control,0.05723288998210741
2024-01-10,irrigation,0.10580090656473662
2024-01-10,irrigation_vpd,0.09431337605489631
2024-01-10,roof_vpd,0.015742795697092797
2024-01-11,control,0.00835818656265821
2024-01-11,irrigation,0.012934789321666838
2024-01-16,control,0.006292113491953031
2024-01-16,irrigation,0.01497679162440892
2024-01-17,control,0.019051990423944364
2024-01-17,irrigation,0.04156097133501389
2024-01-17,irrigation_vpd,0.0376934687997688
2024-01-17,roof_vpd,0.01413474274561315
2024-01-18,control,0.005951062540291532
2024-01-18,irrigation,0.031228845136354058
2024-01-18,irrigation_vpd,0.027278398326161458
2024-01-18,roof_vpd,0.00991802744886018
2024-01-19,control,0.00834773573379711
2024-01-19,irrigation_vpd,0.054328708737661435
2024-01-19,roof_vpd,0.010177581526273493
2024-01-22,irrigation_vpd,0.03302376054471648
2024-01-23,control,0.0516765989389032
2024-01-23,irrigation,0.12745500456741507
2024-01-23,irrigation_vpd,0.10324970488669583
2024-01-23,roof,0.06701519591982762
2024-01-23,roof_vpd,0.021596724824118584
2024-01-24,control,0.10063832775240726
2024-01-24,irrigation,0.14281448791246862
2024-01-24,irrigation_vpd,0.12243330130064078
2024-01-24,roof,0.09527805888294813
2024-01-24,roof_vpd,0.0701537921927128
2024-01-25,control,0.09558661064938202
2024-01-25,irrigation,0.1690857506204752
2024-01-25,irrigation_vpd,0.12630184287385252
2024-01-25,roof,0.07855995680403555
