date,meta,depth,SWP,SWPt
2015-01-01,control,10,-12.301666666666666,-12.301666666666666
2015-01-02,control,10,-13.049999999999999,-13.049999999999999
2015-01-03,control,10,-11.842,-11.842
2015-01-04,control,10,-9.623333333333333,-9.623333333333333
2015-01-05,control,10,-9.682,-9.682
2015-01-06,control,10,-10.038,-10.038
2015-01-07,control,10,-11.032,-11.032
2015-01-08,control,10,-12.918,-12.918
2015-01-09,control,10,-13.404,-13.404
2015-01-10,control,10,-11.294,-11.294
2015-01-11,control,10,-10.75,-10.75
2015-01-12,control,10,-11.238,-11.238
2015-01-13,control,10,-11.94,-11.94
2015-01-14,control,10,-11.873333333333333,-11.873333333333333
2015-01-15,control,10,-11.488,-11.488
2015-01-16,control,10,-11.99,-11.99
2015-01-17,control,10,-11.908,-11.908
2015-01-18,control,10,-11.836,-11.836
2015-01-19,control,10,-12.43,-12.43
2015-01-20,control,10,-12.942,-12.942
2015-01-21,control,10,-13.63,-13.63
2015-01-22,control,10,-14.192,-14.192
2015-01-23,control,10,-14.792,-14.792
2015-01-24,control,10,-15.358,-15.358
2015-01-25,control,10,-15.98,-15.98
2015-01-26,control,10,-16.669999999999998,-16.669999999999998
2015-01-27,control,10,-16.498,-16.498
2015-01-28,control,10,-14.218,-14.218
2015-01-29,control,10,-13.49,-13.49
2015-01-30,control,10,-10.414,-10.414
2015-01-31,control,10,-10.04,-10.04
2015-02-01,control,10,-10.152,-10.152
2015-02-02,control,10,-10.252,-10.252
2015-02-03,control,10,-10.482,-10.482
2015-02-04,control,10,-10.975999999999999,-10.975999999999999
2015-02-05,control,10,-11.6,-11.6
2015-02-06,control,10,-12.086,-12.086
2015-02-07,control,10,-12.248,-12.248
2015-02-08,control,10,-12.214,-12.214
2015-02-09,control,10,-12.482,-12.482
2015-02-10,control,10,-13.04,-13.04
2015-02-11,control,10,-13.618,-13.618
2015-02-12,control,10,-13.77,-13.77
2015-02-13,control,10,-13.832,-13.832
2015-02-14,control,10,-12.688,-12.688
2015-02-15,control,10,-9.943999999999999,-9.943999999999999
2015-02-16,control,10,-9.556000000000001,-9.556000000000001
2015-02-17,control,10,-9.581999999999999,-9.581999999999999
2015-02-18,control,10,-9.656,-9.656
2015-02-19,control,10,-9.863999999999999,-9.863999999999999
2015-02-20,control,10,-10.145999999999999,-10.145999999999999
2015-02-21,control,10,-10.576,-10.576
2015-02-22,control,10,-10.623999999999999,-10.623999999999999
2015-02-23,control,10,-10.054,-10.054
2015-02-24,control,10,-10.064,-10.064
2015-02-25,control,10,-10.134,-10.134
2015-02-26,control,10,-10.416,-10.416
2015-02-27,control,10,-10.776,-10.776
2015-02-28,control,10,-11.314,-11.314
2015-03-01,control,10,-11.692,-11.692
2015-03-02,control,10,-9.856,-9.856
2015-03-03,control,10,-9.716,-9.716
2015-03-04,control,10,-9.882,-9.882
2015-03-05,control,10,-10.126,-10.126
2015-03-06,control,10,-10.664,-10.664
2015-03-07,control,10,-11.51,-11.51
2015-03-08,control,10,-12.352,-12.352
2015-03-09,control,10,-13.286,-13.286
2015-03-10,control,10,-14.298,-14.298
2015-03-11,control,10,-15.32,-15.32
2015-03-12,control,10,-16.394,-16.394
2015-03-13,control,10,-17.35,-17.35
2015-03-14,control,10,-18.189999999999998,-18.189999999999998
2015-03-15,control,10,-18.848,-18.848
2015-03-16,control,10,-19.46,-19.46
2015-03-17,control,10,-20.092000000000002,-20.092000000000002
2015-03-18,control,10,-20.894,-20.894
2015-03-19,control,10,-21.892,-21.892
2015-03-20,control,10,-22.601666666666667,-22.601666666666667
2015-03-21,control,10,-23.618333333333332,-23.618333333333332
2015-03-22,control,10,-23.46,-23.46
2015-03-23,control,10,-23.146666666666665,-23.146666666666665
2015-03-24,control,10,-24.15833333333333,-24.15833333333333
2015-03-25,control,10,-25.648333333333333,-25.648333333333333
2015-03-26,control,10,-26.753333333333334,-26.753333333333334
2015-03-27,control,10,-28.21,-28.21
2015-03-28,control,10,-29.884999999999998,-29.884999999999998
2015-03-29,control,10,-31.258333333333333,-31.258333333333333
2015-03-30,control,10,-13.17,-13.17
2015-03-31,control,10,-9.476666666666667,-9.476666666666667
2015-04-01,control,10,-9.765,-9.765
2015-04-02,control,10,-10.401666666666667,-10.401666666666667
2015-04-03,control,10,-11.333333333333334,-11.333333333333334
2015-04-04,control,10,-12.111666666666666,-12.111666666666666
2015-04-05,control,10,-13.175,-13.175
2015-04-06,control,10,-14.618333333333332,-14.618333333333332
2015-04-07,control,10,-15.995000000000001,-15.995000000000001
2015-04-08,control,10,-17.321666666666665,-17.321666666666665
2015-04-09,control,10,-18.528333333333332,-18.528333333333332
2015-04-10,control,10,-19.596666666666668,-19.596666666666668
2015-04-11,control,10,-20.863333333333333,-20.863333333333333
2015-04-12,control,10,-22.503333333333334,-22.503333333333334
2015-04-13,control,10,-24.916666666666664,-24.916666666666664
2015-04-14,control,10,-27.915,-27.915
2015-04-15,control,10,-31.544999999999998,-31.544999999999998
2015-04-16,control,10,-35.105000000000004,-35.105000000000004
2015-04-17,control,10,-36.93666666666667,-36.93666666666667
2015-04-18,control,10,-40.81333333333333,-40.81333333333333
2015-04-19,control,10,-50.115,-50.115
2015-04-20,control,10,-53.56666666666667,-53.56666666666667
2015-04-21,control,10,-58.355,-58.355
2015-04-22,control,10,-65.705,-65.705
2015-04-23,control,10,-75.22666666666666,-75.22666666666666
2015-04-24,control,10,-88.49,-88.49
2015-04-25,control,10,-103.41166666666666,-103.41166666666666
2015-04-26,control,10,-112.91833333333334,-112.91833333333334
2015-04-27,control,10,-126.74000000000001,-126.74000000000001
2015-04-28,control,10,-142.975,-142.975
2015-04-29,control,10,-199.72666666666666,-199.72666666666666
2015-04-30,control,10,-222.42666666666668,-222.42666666666668
2015-05-01,control,10,-154.14833333333334,-154.14833333333334
2015-05-02,control,10,-12.103333333333333,-12.103333333333333
2015-05-03,control,10,-9.485,-9.485
2015-05-04,control,10,-9.540000000000001,-9.540000000000001
2015-05-05,control,10,-9.811666666666667,-9.811666666666667
2015-05-06,control,10,-10.226666666666667,-10.226666666666667
2015-05-07,control,10,-11.708333333333334,-11.708333333333334
2015-05-08,control,10,-14.218333333333334,-14.218333333333334
2015-05-09,control,10,-16.556666666666665,-16.556666666666665
2015-05-10,control,10,-18.955,-18.955
2015-05-11,control,10,-21.221666666666668,-21.221666666666668
2015-05-12,control,10,-25.10333333333333,-25.10333333333333
2015-05-13,control,10,-30.795,-30.795
2015-05-14,control,10,-36.08166666666666,-36.08166666666666
2015-05-15,control,10,-28.578333333333333,-28.578333333333333
2015-05-16,control,10,-10.021666666666667,-10.021666666666667
2015-05-17,control,10,-11.765,-11.765
2015-05-18,control,10,-15.525,-15.525
2015-05-19,control,10,-18.31,-18.31
2015-05-20,control,10,-20.031666666666666,-20.031666666666666
2015-05-21,control,10,-22.625,-22.625
2015-05-22,control,10,-26.645,-26.645
2015-05-23,control,10,-31.51,-31.51
2015-05-24,control,10,-37.501666666666665,-37.501666666666665
2015-05-25,control,10,-47.221666666666664,-47.221666666666664
2015-05-26,control,10,-56.89,-56.89
2015-05-27,control,10,-64.83,-64.83
2015-05-28,control,10,-79.02,-79.02
2015-05-29,control,10,-103.68,-103.68
2015-05-30,control,10,-138.75166666666667,-138.75166666666667
2015-05-31,control,10,-185.68833333333333,-185.68833333333333
2015-06-01,control,10,-243.19333333333333,-243.19333333333333
2015-06-02,control,10,-302.4583333333333,-302.4583333333333
2015-06-03,control,10,-397.79833333333335,-397.79833333333335
2015-06-04,control,10,-502.64,-497.5516666666666
2015-06-05,control,10,-586.2183333333334,-561.2016666666667
2015-06-06,control,10,-671.4283333333333,-618.16
2015-06-07,control,10,-763.595,-665.27
2015-06-08,control,10,-836.475,-693.3816666666667
2015-06-09,control,10,-880.3983333333333,-707.9483333333334
2015-06-10,control,10,-913.95,-719.3233333333334
2015-06-11,control,10,-950.3466666666667,-732.9333333333333
2015-06-12,control,10,-993.675,-746.7816666666666
2015-06-13,control,10,-1021.5816666666667,-756.2583333333333
2015-06-14,control,10,-1070.175,-769.88
2015-06-15,control,10,-1098.9983333333334,-779.1016666666667
2015-06-16,control,10,-1141.28,-791.2166666666667
2015-06-17,control,10,-1173.2033333333334,-800.7016666666667
2015-06-18,control,10,-1230.54,-815.9133333333333
2015-06-19,control,10,-1186.2083333333333,-802.8416666666667
2015-06-20,control,10,-1023.0883333333334,-744.5066666666667
2015-06-21,control,10,-1020.9466666666667,-739.4033333333334
2015-06-22,control,10,-1046.45,-755.4483333333334
2015-06-23,control,10,-1084.1083333333333,-771.8016666666667
2015-06-24,control,10,-1085.3333333333333,-771.2933333333333
2015-06-25,control,10,-1103.7516666666666,-778.3466666666667
2015-06-26,control,10,-1158.7566666666667,-797.2316666666667
2015-06-27,control,10,-1223.5683333333334,-816.9333333333334
2015-06-28,control,10,-1288.2283333333332,-835.66
2015-06-29,control,10,-1348.2933333333333,-852.1783333333333
2015-06-30,control,10,-1420.97,-871.0466666666666
2015-07-01,control,10,-1469.115,-883.98
2015-07-02,control,10,-1538.4366666666667,-901.2866666666666
2015-07-03,control,10,-1619.9933333333333,-919.9200000000001
2015-07-04,control,10,-1694.85,-937.2383333333333
2015-07-05,control,10,-1800.1316666666667,-959.9833333333333
2015-07-06,control,10,-1920.4383333333333,-982.0866666666667
2015-07-07,control,10,-2003.07,-998.1716666666666
2015-07-08,control,10,-2074.0416666666665,-1010.715
2015-07-09,control,10,-2217.246666666667,-1031.9433333333334
2015-07-10,control,10,-2304.6666666666665,-1045.72
2015-07-11,control,10,-2326.6016666666665,-1051.8916666666667
2015-07-12,control,10,-2382.4083333333333,-1061.9183333333333
2015-07-13,control,10,-2467.51,-1077.4483333333333
2015-07-14,control,10,-2478.18,-1079.9716666666666
2015-07-15,control,10,-2532.3133333333335,-1092.2083333333333
2015-07-16,control,10,-2575.275,-1101.355
2015-07-17,control,10,-2628.8033333333333,-1113.48
2015-07-18,control,10,-2627.29,-1109.9816666666666
2015-07-19,control,10,-2622.6566666666668,-1108.1216666666667
2015-07-20,control,10,-2622.7766666666666,-1108.8183333333334
2015-07-21,control,10,-2615.6266666666666,-1109.6566666666668
2015-07-22,control,10,-2630.445,-1112.8166666666666
2015-07-23,control,10,-2605.79,-1103.06
2015-07-24,control,10,-2596.8533333333335,-1102.7933333333333
2015-07-25,control,10,-1986.4383333333333,-936.755
2015-07-26,control,10,-1789.24,-858.8566666666667
2015-07-27,control,10,-1392.1833333333334,-676.1533333333333
2015-07-28,control,10,-1209.1733333333334,-613.6233333333333
2015-07-29,control,10,-1066.2233333333334,-560.035
2015-07-30,control,10,-1043.4783333333332,-561.9116666666667
2015-07-31,control,10,-1078.2366666666667,-596.0433333333333
2015-08-01,control,10,-1085.8783333333333,-625.67
2015-08-02,control,10,-962.9366666666666,-511.63
2015-08-03,control,10,-842.1466666666666,-466.415
2015-08-04,control,10,-776.0033333333333,-467.5383333333333
2015-08-05,control,10,-813,-503.62333333333333
2015-08-06,control,10,-877.71,-574.8966666666666
2015-08-07,control,10,-1014.4083333333333,-676.7766666666666
2015-08-08,control,10,-1228.585,-782.8116666666667
2015-08-09,control,10,-1418.0116666666665,-848.545
2015-08-10,control,10,-981.5183333333333,-524.5316666666666
2015-08-11,control,10,-819.445,-410.81333333333333
