date,Tr,scen
2011-01-01,0,Control
2011-01-02,0,Control
2011-01-03,0,Control
2011-01-04,0,Control
2011-01-05,0,Control
2011-01-06,0,Control
2011-01-07,0,Control
2011-01-08,0,Control
2011-01-09,0,Control
2011-01-10,0,Control
2011-01-11,0,Control
2011-01-12,0,Control
2011-01-13,0,Control
2011-01-14,0,Control
2011-01-15,0,Control
2011-01-16,0,Control
2011-01-17,0,Control
2011-01-18,0,Control
2011-01-19,0,Control
2011-01-20,0,Control
2011-01-21,0,Control
2011-01-22,0,Control
2011-01-23,0,Control
2011-01-24,0,Control
2011-01-25,0,Control
2011-01-26,0,Control
2011-01-27,0,Control
2011-01-28,0,Control
2011-01-29,0,Control
2011-01-30,0,Control
2011-01-31,0,Control
2011-02-01,0,Control
2011-02-02,0,Control
2011-02-03,0,Control
2011-02-04,0,Control
2011-02-05,0,Control
2011-02-06,0,Control
2011-02-07,0,Control
2011-02-08,0,Control
2011-02-09,0,Control
2011-02-10,0,Control
2011-02-11,0,Control
2011-02-12,0,Control
2011-02-13,0,Control
2011-02-14,0,Control
2011-02-15,0,Control
2011-02-16,0,Control
2011-02-17,0,Control
2011-02-18,0,Control
2011-02-19,0,Control
2011-02-20,0,Control
2011-02-21,0,Control
2011-02-22,0,Control
2011-02-23,0,Control
2011-02-24,0,Control
2011-02-25,0,Control
2011-02-26,0,Control
2011-02-27,0,Control
2011-02-28,5.137842117092348e-5,Control
2011-03-01,0,Control
2011-03-02,0,Control
2011-03-03,0,Control
2011-03-04,0,Control
2011-03-05,0.18105952852121804,Control
2011-03-06,0.21733759229476354,Control
2011-03-07,0.22421865058435725,Control
2011-03-08,0.25686145595958787,Control
2011-03-09,0.3801431218199178,Control
2011-03-10,0.5264443677124336,Control
2011-03-11,0.347874373200073,Control
2011-03-12,0.659075757537111,Control
2011-03-13,0.7761015723033234,Control
2011-03-14,0.7380613180271025,Control
2011-03-15,0.2634232640499717,Control
2011-03-16,0.2017518614543432,Control
2011-03-17,0.975553710263854,Control
2011-03-18,0.1508498386211199,Control
2011-03-19,0.8730497137335612,Control
2011-03-20,0.8490089566950344,Control
2011-03-21,0.9894688321682356,Control
2011-03-22,1.09246784181846,Control
2011-03-23,1.2963059673095318,Control
2011-03-24,1.3395470174234512,Control
2011-03-25,1.0756878288335003,Control
2011-03-26,1.1771053482084255,Control
2011-03-27,0.8173931102707229,Control
2011-03-28,1.3878148972459825,Control
2011-03-29,0.893010036618184,Control
2011-03-30,0.8224478607456509,Control
2011-03-31,1.3464522208092793,Control
