date,Tr,Tr_rm,scen
2011-01-01,0,NA,Control
2011-01-02,0,NA,Control
2011-01-03,0,NA,Control
2011-01-04,0,NA,Control
2011-01-05,0,NA,Control
2011-01-06,0,NA,Control
2011-01-07,0,0,Control
2011-01-08,0,0,Control
2011-01-09,0,0,Control
2011-01-10,0,0,Control
2011-01-11,0,0,Control
2011-01-12,0,0,Control
2011-01-13,0,0,Control
2011-01-14,0,0,Control
2011-01-15,0,0,Control
2011-01-16,0,0,Control
2011-01-17,0,0,Control
2011-01-18,0,0,Control
2011-01-19,0,0,Control
2011-01-20,0,0,Control
2011-01-21,0,0,Control
2011-01-22,0,0,Control
2011-01-23,0,0,Control
2011-01-24,0,0,Control
2011-01-25,0,0,Control
2011-01-26,0,0,Control
2011-01-27,0,0,Control
2011-01-28,0,0,Control
2011-01-29,0,0,Control
2011-01-30,0,0,Control
2011-01-31,0,0,Control
2011-02-01,0,0,Control
2011-02-02,0,0,Control
2011-02-03,0,0,Control
2011-02-04,0,0,Control
2011-02-05,0,0,Control
2011-02-06,0,0,Control
2011-02-07,0,0,Control
2011-02-08,0,0,Control
2011-02-09,0,0,Control
2011-02-10,0,0,Control
2011-02-11,0,0,Control
2011-02-12,0,0,Control
2011-02-13,0,0,Control
2011-02-14,0,0,Control
2011-02-15,0,0,Control
2011-02-16,0,0,Control
2011-02-17,0,0,Control
2011-02-18,0,0,Control
2011-02-19,0,0,Control
2011-02-20,0,0,Control
2011-02-21,0,1.6034306401764397e-6,Control
2011-02-22,0,1.6034306401764397e-6,Control
2011-02-23,0,1.6034306401764397e-6,Control
2011-02-24,0,1.6034306401764397e-6,Control
2011-02-25,0,1.6034306401764397e-6,Control
2011-02-26,0,0.005427658261454246,Control
2011-02-27,0,0.011964932036853384,Control
2011-02-28,2.2448028962470154e-5,0.018631944771469667,Control
2011-03-01,0,0.02619790756329108,Control
2011-03-02,0,0.037398891109724094,Control
2011-03-03,0,0.05307026969255727,Control
2011-03-04,0,0.0633527786627922,Control
2011-03-05,0.07596476763139698,0.08294908697081506,Control
2011-03-06,0.09152183285558793,0.106079994736513,Control
2011-03-07,0.09333817828462794,0.1280699283590789,Control
2011-03-08,0.10592347908549979,0.13594176575768127,Control
2011-03-09,0.15681376965006216,0.14187851857109154,Control
2011-03-10,0.21939930015966444,0.17113402425856009,Control
2011-03-11,0.14395512558328913,0.1755185523199156,Control
2011-03-12,0.27434831631232,0.19621916356924612,Control
2011-03-13,0.32383270871977116,0.21509371667554517,Control
2011-03-14,0.3078815187448853,0.23806852415402194,Control
2011-03-15,0.11020572358043283,0.2632631314285881,Control
2011-03-16,0.08311453938774417,0.29104463902264316,Control
2011-03-17,0.40957707962455936,0.3157083477734129,Control
2011-03-18,0.06138339285897679,0.3378366763776363,Control
2011-03-19,0.3657733251220249,0.3537392887015739,Control
2011-03-20,0.35576557634377426,0.355248833887773,Control
2011-03-21,0.41498548298330307,0.37518293494746624,Control
2011-03-22,0.4586479809294255,0.39426349191664695,Control
2011-03-23,0.5457548759668337,0.41306177487925977,Control
2011-03-24,0.5646912226704403,0.42442359672318475,Control
2011-03-25,0.45375172604241737,0.4665827842344807,Control
2011-03-26,0.4969848888474461,0.48285300233892414,Control
2011-03-27,0.34496634132655823,0.4721700962608311,Control
2011-03-28,0.5869589335805911,0.48522455485872407,Control
2011-03-29,0.37733352114896196,0.5006042673755243,Control
2011-03-30,0.34629050086432367,0.51200682489891,Control
2011-03-31,0.5686425854395097,0.5214215809113453,Control
2011-04-01,0.6516120180171194,0.539622614330633,Control
