dates,globrad,tmax,tmin,tmean,windspeed,vappres,precip_ctrl,precip_roof,irrig_mm,precip_irr
2000-01-01,3.1104000000000003,0,-6.7,-3.1,1.5,0.42180591719718763,0,0,0,0
2000-01-02,3.8880000000000003,1,-6.7,-3.5,2.1,0.45536928408284894,0,0,0,0
2000-01-03,4.752000000000001,3.3,-6.8,-3,2.1,0.5123926606773856,0,0,0,0
2000-01-04,4.752000000000001,2,-7.2,-3.3,1.5,0.4559879250022313,0,0,0,0
2000-01-05,3.9744,3.5,-3.3,-0.4,2.1,0.5412749773732711,0,0,0,0
2000-01-06,4.1472,2.3,-5.9,-2.2,1.4,0.5013743130024523,0,0,0,0
2000-01-07,4.9248,3.5,-6,-2.6,1.8,0.5083035215368037,0,0,0,0
2000-01-08,4.2336,1.3,-7.8,-3.4,1.4,0.43122708725739795,0,0,0,0
2000-01-09,3.9744,3.7,-3.6,-0.2,0.8,0.5174893638793677,0,0,0,0
2000-01-10,4.752000000000001,4.7,-0.4,1.5,1.4,0.5907910553643482,0,0,0,0
2000-01-11,5.356800000000001,3.8,-4.4,0.2,2.2,0.4713540986500536,0,0,0,0
2000-01-12,5.4432,2.5,-6.7,-3.3,1.9,0.4354804127825409,0,0,0,0
2000-01-13,5.6160000000000005,2.1,-7.9,-4.6,1.8,0.41761467175259,0,0,0,0
2000-01-14,5.7024,1.7,-8.8,-4.3,1.5,0.3764233981964911,0,0,0,0
2000-01-15,5.6160000000000005,2.7,-8,-3.8,1.1,0.4575147044890086,0,0,0,0
2000-01-16,1.7280000000000002,-1.2,-3.2,-2.1,1.6,0.43693589035265207,0,0,0,0
2000-01-17,5.4432,0.2,-6.2,-3.1,0.8,0.390605164751404,0,0,0,0
2000-01-18,3.6288,5.2,-8,-1.1,1.1,0.5219214554080379,0,0,0,0
2000-01-19,6.1344,4.6,-4.8,-1.2,0.8,0.4891256003686247,0,0,0,0
2000-01-20,6.3072,1.8,-6.2,-2.8,1.4,0.4173404309134884,0,0,0,0
2000-01-21,5.8752,2.1,-7.9,-2.5,1,0.40030150068747006,0,0,0,0
2000-01-22,2.5056000000000003,0.1,-7.9,-3.4,1.2,0.4140052185055133,1,1,0,1
