dates,globrad,tmax,tmin,tmean,vappres,windspeed,prec_Sion,precip_Sierre,precip_ctrl,irrig_mm,precip_irr,precip_irrstp
2000-01-01,3.1104000000000003,0,-6.7,-3.1,0.06889194224991627,1.5,0,NA,0,0,0,0
2000-01-02,3.8880000000000003,1,-6.7,-3.5,0.054060987154654586,2.1,0,NA,0,0,0,0
2000-01-03,4.752000000000001,3.3,-6.8,-3,0.05070167148047056,2.1,0,NA,0,0,0,0
2000-01-04,4.752000000000001,2,-7.2,-3.3,0.06835306916486536,1.5,0,NA,0,0,0,0
2000-01-05,3.9744,3.5,-3.3,-0.4,0.08584845248333824,2.1,0,NA,0,0,0,0
2000-01-06,4.1472,2.3,-5.9,-2.2,0.052758779736830096,1.4,0,NA,0,0,0,0
2000-01-07,4.9248,3.5,-6,-2.6,0.06896674923439668,1.8,0,NA,0,0,0,0
2000-01-08,4.2336,1.3,-7.8,-3.4,0.07071108144533292,1.4,0,NA,0,0,0,0
2000-01-09,3.9744,3.7,-3.6,-0.2,0.11009454296518084,0.8,0,NA,0,0,0,0
2000-01-10,4.752000000000001,4.7,-0.4,1.5,0.12584866242867793,1.4,0,NA,0,0,0,0
2000-01-11,5.356800000000001,3.8,-4.4,0.2,0.15070482410044922,2.2,0,NA,0,0,0,0
2000-01-12,5.4432,2.5,-6.7,-3.3,0.10108552482127976,1.9,0,NA,0,0,0,0
2000-01-13,5.6160000000000005,2.1,-7.9,-4.6,0.089066605393965,1.8,0,NA,0,0,0,0
2000-01-14,5.7024,1.7,-8.8,-4.3,0.11254021550396573,1.5,0,NA,0,0,0,0
2000-01-15,5.6160000000000005,2.7,-8,-3.8,0.07001638916053486,1.1,0,NA,0,0,0,0
2000-01-16,1.7280000000000002,-1.2,-3.2,-2.1,0.08525105790182784,1.6,0,NA,0,0,0,0
2000-01-17,5.4432,0.2,-6.2,-3.1,0.10895675972859106,0.8,0,NA,0,0,0,0
2000-01-18,3.6288,5.2,-8,-1.1,0.08213333102675995,1.1,0,NA,0,0,0,0
2000-01-19,6.1344,4.6,-4.8,-1.2,0.1315778008804363,0.8,0,NA,0,0,0,0
2000-01-20,6.3072,1.8,-6.2,-2.8,0.11391560468335428,1.4,0,NA,0,0,0,0
2000-01-21,5.8752,2.1,-7.9,-2.5,0.12107971003129114,1,0,NA,0,0,0,0
2000-01-22,2.5056000000000003,-0.3,-7.9,-3.4,0.06306664020799962,1.2,0.8,NA,0.8,0,0.8,0.8
2000-01-23,4.8384,2.9,-1,0.7,0.08716829493965145,2.5,0.1,NA,0.1,0,0.1,0.1
2000-01-24,6.6528,2.7,-4.2,-1.3,0.11666100851851934,1.3,0,NA,0,0,0,0
2000-01-25,7.2576,0,-8.7,-4.6,0.12312148392695162,0.6,0,NA,0,0,0,0
2000-01-26,7.516800000000001,-0.3,-10.3,-6.6,0.10085821233717718,1.4,0,NA,0,0,0,0
2000-01-27,7.6032,0.8,-10.3,-5.8,0.09765856466882371,1.4,0,NA,0,0,0,0
2000-01-28,5.961600000000001,1.6,-9.7,-4.7,0.10789576054198374,1.1,0,NA,0,0,0,0
2000-01-29,2.8512,1.4,-6.2,-1.4,0.11303673930890722,1.1,6,NA,6,0,6,6
2000-01-30,1.296,5.9,1,3.3,0.0038874553654826513,0.9,13,NA,13,0,13,13
2000-01-31,6.912000000000001,8.7,0.6,3.9,0.025954843097176876,1.2,0,NA,0,0,0,0
2000-02-01,8.208,10.7,-0.8,3,0.09818942655356863,1.4,0,NA,0,0,0,0
2000-02-02,2.4192,5.4,-0.3,3,0.05708687590323757,1.2,2.6,NA,2.6,0,2.6,2.6
2000-02-03,8.64,9.5,-1,3.7,0.10396746498808489,1.6,0,NA,0,0,0,0
2000-02-04,8.8992,8.8,-1.5,1.8,0.18169329034760584,1.4,0,NA,0,0,0,0
2000-02-05,8.64,10.8,-1.8,2.7,0.23173535665997622,1.7,0,NA,0,0,0,0
2000-02-06,8.0352,12.1,-1.3,3.8,0.1892693877486739,1.7,0,NA,0,0,0,0
2000-02-07,5.961600000000001,10.4,0.8,5,0.1533054314771215,1.4,0,NA,0,0,0,0
2000-02-08,2.16,7.2,3.3,5.3,0.021468509296552044,0.9,17.4,NA,17.4,0,17.4,17.4
2000-02-09,4.1472,7.5,1.8,5.7,0.3301761098991808,3.6,1,NA,1,0,1,1
2000-02-10,10.022400000000001,10.6,-1.9,3.1,0.2629330128721526,1,0,NA,0,0,0,0
2000-02-11,2.9376,5.5,2.2,3.7,0.11596371094824849,1.2,1.1,NA,1.1,0,1.1,1.1
2000-02-12,3.6288,6.2,-0.2,3.2,0.10576574429389973,1.4,0,NA,0,0,0,0
2000-02-13,4.4064000000000005,5.9,-0.7,2.7,0.123691540853878,0.8,0,NA,0,0,0,0
2000-02-14,10.8,10.1,-0.2,4.5,0.158195176088714,1,0,NA,0,0,0,0
2000-02-15,7.430400000000001,9,1.1,4.2,0.087806583812893,1.5,1.1,NA,1.1,0,1.1,1.1
2000-02-16,4.752000000000001,7.1,0.2,3.8,0.15463711679891662,3.2,7.9,NA,7.9,0,7.9,7.9
2000-02-17,2.7648,2.3,-2.7,-0.2,0.07379963869094536,1.2,1.3,NA,1.3,0,1.3,1.3
2000-02-18,4.6656,1.3,-3.3,-0.6,0.05052815952489334,1,5.3,NA,5.3,0,5.3,5.3
2000-02-19,4.2336,7.2,0.4,4.7,0.21790133980188045,2.5,1.1,NA,1.1,0,1.1,1.1
2000-02-20,8.64,5,-2.7,1.9,0.18933211398913205,3.2,0.4,NA,0.4,0,0.4,0.4
2000-02-21,12.528,5.3,-4.1,-0.2,0.22623823664273418,0.4,0,NA,0,0,0,0
2000-02-22,12.441600000000001,7.6,-2.4,1.3,0.24406378057521078,0.7,0,NA,0,0,0,0
2000-02-23,12.6144,7.8,-4.1,1,0.22433669937995274,1.5,0,NA,0,0,0,0
2000-02-24,7.430400000000001,8.2,-3.8,1.6,0.23490881413537698,1.2,0,NA,0,0,0,0
2000-02-25,6.912000000000001,10.6,-1.5,4.2,0.20791936355694463,1.4,0.3,NA,0.3,0,0.3,0.3
2000-02-26,11.491200000000001,13.6,2.1,6.7,0.28085166107647896,1.4,0,NA,0,0,0,0
2000-02-27,13.4784,16.3,0.3,6.6,0.36505119445680484,1.1,0,NA,0,0,0,0
2000-02-28,12.96,17.1,1,8.1,0.5563119232488865,2.8,0,NA,0,0,0,0
2000-02-29,6.566400000000001,13.5,4.8,7.8,0.35700315444222636,1.1,6.1,NA,6.1,0,6.1,6.1
2000-03-01,2.5056000000000003,5.4,1.6,3.8,0.060405123749576774,1.7,17.6,NA,17.6,0,17.6,17.6
2000-03-02,14.860800000000001,8.2,0.3,3.7,0.2551201640861468,3.4,0.2,NA,0.2,0,0.2,0.2
2000-03-03,11.4048,9.7,-1.6,3.8,0.2714203560480985,1.2,0,NA,0,0,0,0
2000-03-04,11.8368,10.1,1.8,5.5,0.27936791890347773,3.6,4.4,NA,4.4,0,4.4,4.4
2000-03-05,15.6384,8.6,-2.2,2.7,0.3330730045884547,2.2,0,NA,0,0,0,0
2000-03-06,15.292800000000002,11.7,-2.4,3.6,0.2922409073702611,1.8,0,NA,0,0,0,0
2000-03-07,11.232000000000001,11.7,-1.2,4.5,0.28001392131210867,1.1,0,NA,0,0,0,0
2000-03-08,13.392000000000001,14.9,-0.8,7.3,0.3676104070899254,1.4,0.2,NA,0.2,0,0.2,0.2
2000-03-09,10.1952,17.8,5.9,10.5,0.34797474836357994,1.3,0.2,NA,0.2,0,0.2,0.2
2000-03-10,10.713600000000001,18.2,5.5,10.8,0.461628233794739,3,0,NA,0,0,0,0
2000-03-11,14.5152,19.5,2.2,10.2,0.4822505450484896,1.9,0,NA,0,0,0,0
2000-03-12,16.2432,17.1,2.3,9.2,0.41356057119563766,1.9,0,NA,0,0,0,0
2000-03-13,16.0704,16.7,1.9,8.9,0.4121430691225738,2.1,0,NA,0,0,0,0
2000-03-14,7.9488,15.4,5.8,10.1,0.4269129789629061,2.1,1.6,NA,1.6,0,1.6,1.6
2000-03-15,8.3808,11.3,1.2,7.5,0.364343628176234,4.1,1.3,NA,1.3,0,1.3,1.3
2000-03-16,12.873600000000001,12.3,-1,5.5,0.3093001959288504,2.6,0,NA,0,0,0,0
2000-03-17,12.182400000000001,14.4,-0.2,7.4,0.36186217782261726,3.1,0,NA,0,0,0,0
2000-03-18,14.9472,14.9,1.1,7.7,0.3587987013819284,3.1,0,NA,0,0,0,0
2000-03-19,15.7248,14.7,3.8,8.5,0.4245385212482346,2.3,0,NA,0,0,0,0
2000-03-20,17.712,15.7,0.6,7.2,0.42221371961274984,2.5,0,NA,0,0,0,0
2000-03-21,17.4528,14.6,-0.5,6.7,0.39319232550707056,1.9,0,NA,0,0,0,0
2000-03-22,18.144000000000002,18.6,0.6,8.7,0.5048717195497925,2,0,NA,0,0,0,0
2000-03-23,8.3808,14.3,3.2,8.9,0.4785438969256551,2.3,0,NA,0,0,0,0
2000-03-24,12.3552,13.9,6.3,9.8,0.3685497538137931,3.2,0,NA,0,0,0,0
2000-03-25,17.712,17.9,4.1,10.5,0.46141706559566276,1.8,0.8,NA,0.8,0,0.8,0.8
2000-03-26,8.4672,11.5,3.3,7.2,0.23456317756263878,2.9,3.1,NA,3.1,0,3.1,3.1
2000-03-27,14.7744,11.2,1.8,5.6,0.262132956362414,3.2,0.7,NA,0.7,0,0.7,0.7
2000-03-28,17.7984,13.2,-0.7,5.8,0.32321064291448043,2.1,0,NA,0,0,0,0
2000-03-29,7.430400000000001,9.5,3.3,5.7,0.2133728621075485,2.3,2.5,NA,2.5,0,2.5,2.5
2000-03-30,18.8352,12.4,0.7,6.1,0.38861048886127547,2.5,0,NA,0,0,0,0
2000-03-31,14.688,12.9,-1.1,6.4,0.4643103698301939,1.6,0.1,NA,0.1,0,0.1,0.1
2000-04-01,17.884800000000002,13.6,1.8,7.6,0.3867542534500294,3.5,0,NA,0,0,0,0
2000-04-02,18.2304,17,0.4,8.8,0.5935826373955494,3.4,0,NA,0,0,0,0
2000-04-03,10.368,16.4,4.3,10.8,0.6605835007541617,2.7,0,NA,0,0,0,0
2000-04-04,13.910400000000001,18.2,2.9,10.6,0.6402961696436992,2.6,0,NA,0,0,0,0
2000-04-05,10.281600000000001,12.9,5.7,8.7,0.32754541089360134,3.3,0.9,NA,0.9,0,0.9,0.9
2000-04-06,16.2432,12.5,4.9,8.1,0.30906217958271476,4.3,0,NA,0,0,0,0
2000-04-07,20.9952,14.6,4,8.7,0.43371530270049274,3.2,0,NA,0,0,0,0
2000-04-08,22.2912,17.8,1.5,9.5,0.5447802712939748,2.5,0,NA,0,0,0,0
2000-04-09,12.7872,16.8,4.5,10.3,0.6867208919261841,3.7,0,NA,0,0,0,0
2000-04-10,15.292800000000002,17.4,3.7,11.3,0.7379983018069892,2,0,NA,0,0,0,0
2000-04-11,17.366400000000002,15.9,7.6,11.1,0.5173528979198655,2.4,0.7,NA,0.7,0,0.7,0.7
2000-04-12,14.1696,12.8,5.2,8.8,0.3490993672038959,3.7,4.8,NA,4.8,0,4.8,4.8
2000-04-13,5.7024,11.5,5,8,0.20033657571216965,1.5,5.2,NA,5.2,0,5.2,5.2
2000-04-14,20.822400000000002,20.6,3.8,12.2,0.6205588388826189,2.8,0,NA,0,0,0,0
2000-04-15,13.5648,16.2,5.4,10,0.5128229175373233,3,1.1,NA,1.1,0,1.1,1.1
2000-04-16,16.3296,18.5,3.2,10.6,0.6775077706851165,3.3,0,NA,0,0,0,0
2000-04-17,3.7152000000000003,9.6,5.9,8.4,0.25344479395183905,1.9,0.6,NA,0.6,0,0.6,0.6
2000-04-18,11.3184,12.2,4.4,7.7,0.22477683351279631,2.7,0,NA,0,0,0,0
2000-04-19,24.4512,17.6,1.7,9.4,0.39548577846041905,2.7,0,NA,0,0,0,0
2000-04-20,23.9328,21.2,3.8,12.2,0.6119994066221688,2.5,0,NA,0,0,0,0
2000-04-21,22.2912,25,7.1,15.4,0.8728784842932155,2.2,0,NA,0,0,0,0
2000-04-22,22.982400000000002,26.1,8.1,17.5,1.0699690769076229,3.6,0,NA,0,0,0,0
2000-04-23,10.5408,19.9,7.1,13.5,0.47530778202761215,3.6,14.8,NA,14.8,0,14.8,14.8
2000-04-24,17.625600000000002,13.6,4.9,9.2,0.2359865406257594,2.5,4.2,NA,4.2,0,4.2,4.2
2000-04-25,25.3152,22.3,3.5,12.3,0.5112110563678515,1.7,0,NA,0,0,0,0
2000-04-26,21.7728,24.6,7.4,16.2,0.9002251459888096,2.6,0,NA,0,0,0,0
2000-04-27,14.7744,23.4,9.4,16.8,0.9467758066540962,3.6,0,NA,0,0,0,0
2000-04-28,14.9472,19.6,9.3,15.6,0.7916379381364873,5.8,0.5,NA,0.5,0,0.5,0.5
2000-04-29,13.651200000000001,16.5,8.9,11.4,0.22463015229815847,2.3,2.6,NA,2.6,0,2.6,2.6
2000-04-30,21.168000000000003,23,6.9,14.8,0.512012078260944,1.8,0,NA,0,0,0,0
2000-05-01,23.76,24.1,7.9,15.9,0.6872952135369844,2.4,0,NA,0,0,0,0
2000-05-02,24.5376,25.2,9,17,0.7857610162989704,2.4,0,NA,0,0,0,0
2000-05-03,19.785600000000002,24.4,11.1,16.8,0.6971189002341519,2,0.3,NA,0.3,0,0.3,0.3
2000-05-04,23.328000000000003,26.1,9.2,16.9,0.7150846657128791,1.7,0,NA,0,0,0,0
2000-05-05,15.3792,22.9,12.2,16.5,0.7235225781008346,2.4,0,NA,0,0,0,0
2000-05-06,13.824000000000002,23.4,10.6,15.8,0.6721031520195588,2,0,NA,0,0,0,0
2000-05-07,22.3776,24.8,8.6,17.4,0.945539401481505,2.7,0,NA,0,0,0,0
2000-05-08,18.7488,25.1,12.4,17.5,0.8210456894094144,1.7,0.3,NA,0.3,0,0.3,0.3
2000-05-09,24.0192,27.6,9.9,18.6,0.9938401185958041,2.7,0,NA,0,0,0,0
2000-05-10,21.5136,28,12.2,20.2,1.1691462685564267,2.7,0,NA,0,0,0,0
2000-05-11,22.464000000000002,27.7,12.4,20.2,1.1643936414484737,2.9,0,NA,0,0,0,0
2000-05-12,14.4288,21.2,11.8,16.1,0.4757199999633574,1.2,4.3,NA,4.3,0,4.3,4.3
2000-05-13,25.3152,25.4,8.9,17.6,0.7333161487068882,2.7,0,NA,0,0,0,0
2000-05-14,25.8336,25.2,13.2,19.2,0.7928228515664774,2.9,0,NA,0,0,0,0
2000-05-15,27.216,28.2,11.4,20.1,1.053300529784048,2.4,0,NA,0,0,0,0
2000-05-16,26.006400000000003,28.4,12.3,20.5,1.1062837171642543,2.4,0,NA,0,0,0,0
2000-05-17,21.3408,25.7,12.9,18.2,0.7237739451930106,3.2,0.6,NA,0.6,0,0.6,0.6
2000-05-18,22.8096,22.1,12.4,16,0.6059224459092684,4.8,0,NA,0,0,0,0
2000-05-19,28.512,19.8,9.7,14.5,0.767377631344914,5.7,0,NA,0,0,0,0
2000-05-20,29.1168,20.8,8.5,14.8,0.9192560084948965,3.8,0,NA,0,0,0,0
2000-05-21,21.2544,21.1,5.2,14.1,0.6621687070017735,3.1,1.3,NA,1.3,0,1.3,1.3
2000-05-22,28.8576,21.1,9.8,15.1,0.82692961104468,4.7,0,NA,0,0,0,0
2000-05-23,28.425600000000003,23.2,6.7,15.8,0.8198577323562983,3.1,0,NA,0,0,0,0
2000-05-24,18.9216,24.9,11.3,17.9,0.8667140467088079,1.6,0,NA,0,0,0,0
2000-05-25,10.4544,21.7,11.5,17.2,0.6519847728360719,1.4,0,NA,0,0,0,0
2000-05-26,17.366400000000002,26.3,13.3,18.8,0.779812777626994,1.6,0,NA,0,0,0,0
2000-05-27,12.096,16.7,9.9,13.1,0.3435163376227051,2.6,4.2,NA,4.2,0,4.2,4.2
2000-05-28,9.2448,16.9,9,13.1,0.2512057799355464,1.5,1.9,NA,1.9,0,1.9,1.9
2000-05-29,22.204800000000002,19.3,11.6,14.5,0.5469430201810401,4.7,0.1,NA,0.1,0,0.1,0.1
2000-05-30,6.3072,15.3,8.6,12.8,0.46297092858375916,1.1,0.1,NA,0.1,0,0.1,0.1
2000-05-31,20.822400000000002,22.6,10.9,17.1,0.7555229420686378,3.8,0,NA,0,0,0,0
2000-06-01,29.0304,26.1,8.3,17.9,0.8893597818959741,2.3,0,NA,0,0,0,0
2000-06-02,28.684800000000003,29.1,11.4,21.2,1.20804174919601,2.2,0,NA,0,0,0,0
2000-06-03,21.168000000000003,29.5,14.7,21.4,1.0285033030766926,2.5,1,NA,1,0,1,1
2000-06-04,23.587200000000003,29.1,14.2,21.8,0.9412412401159509,1.8,0,NA,0,0,0,0
2000-06-05,17.1936,27.4,14.7,20,0.7322909686285056,2.5,2.5,NA,2.5,0,2.5,2.5
2000-06-06,13.651200000000001,17.4,13.8,14.9,0.38606656977414694,4.2,0,NA,0,0,0,0
2000-06-07,29.203200000000002,23.7,11.8,17.2,0.7957759765129097,2.9,0,NA,0,0,0,0
2000-06-08,28.7712,26.6,10.6,19.5,0.9101569968636677,2.6,0,NA,0,0,0,0
2000-06-09,28.166400000000003,30.6,14.2,23.2,1.5186535599062818,3.7,0,NA,0,0,0,0
2000-06-10,18.2304,29.4,16,21.7,1.2872999924900925,3.9,0.6,NA,0.6,0,0.6,0.6
2000-06-11,18.3168,25.5,14.3,19.3,0.7213694629630018,3.1,0,NA,0,0,0,0
2000-06-12,26.0928,25.5,14.9,19.1,0.6724862973603046,2.9,0,NA,0,0,0,0
2000-06-13,20.736,26.7,14.4,20,0.6806550669944442,2.2,0,NA,0,0,0,0
2000-06-14,23.76,27.6,15.4,20.5,0.8085312068552755,2.5,0.2,NA,0.2,0,0.2,0.2
2000-06-15,18.2304,28,14.1,20.5,0.9707215986495972,1.7,0,NA,0,0,0,0
2000-06-16,27.7344,28,12.4,20.5,1.0893384523499219,2.6,0,NA,0,0,0,0
2000-06-17,29.462400000000002,26.5,11.5,19.9,1.0146772423652826,3,0,NA,0,0,0,0
2000-06-18,28.7712,29.1,12.5,21.7,1.2195473613064034,3,0,NA,0,0,0,0
2000-06-19,29.203200000000002,30,15.4,23.6,1.3773700397027895,2.7,0,NA,0,0,0,0
2000-06-20,28.2528,30.9,16.4,24,1.383957316220815,2.6,0,NA,0,0,0,0
2000-06-21,28.684800000000003,30,16.2,24.2,1.4764656770949163,2.8,0,NA,0,0,0,0
2000-06-22,18.2304,27.3,16.1,22.4,1.1122683364312433,2.8,0,NA,0,0,0,0
2000-06-23,28.8576,24.4,15,19.5,0.9238093518166227,5.3,0.5,NA,0.5,0,0.5,0.5
2000-06-24,18.144000000000002,22.8,12.9,16.9,0.83877498626862,4.3,0,NA,0,0,0,0
2000-06-25,28.684800000000003,21.4,12,16.1,0.8283772972334913,5.3,0,NA,0,0,0,0
2000-06-26,30.067200000000003,23.7,8.5,16.8,0.8469130440861186,3.2,0,NA,0,0,0,0
2000-06-27,28.166400000000003,26.1,9.3,18.9,1.0521115974773299,2.9,0,NA,0,0,0,0
2000-06-28,8.8992,20.3,15.3,16.8,0.22085034029456596,1.3,19.5,NA,19.5,0,19.5,19.5
2000-06-29,28.944000000000003,25,14.5,19.4,0.7756212137348059,3.5,0.2,NA,0.2,0,0.2,0.2
2000-06-30,27.907200000000003,25.8,11.8,19.6,0.9089615584889654,2.8,0,NA,0,0,0,0
2000-07-01,18.0576,29.5,12.8,20.9,1.0222276505002017,1.6,0,NA,0,0,0,0
2000-07-02,27.9936,34.2,15.7,25.1,1.641255885374964,2.3,0,NA,0,0,0,0
2000-07-03,16.1568,25.4,18.3,21.6,0.8598747559499632,2.9,0,NA,0,0,0,0
2000-07-04,20.304000000000002,26.4,17.3,20.6,0.7843037326594119,3.4,3.7,NA,3.7,0,3.7,3.7
2000-07-05,29.2896,26.1,14.8,20.6,1.1228696296769838,3.7,0,NA,0,0,0,0
2000-07-06,28.944000000000003,29.2,12,21.3,1.1290179005236372,2,0,NA,0,0,0,0
2000-07-07,18.3168,29.2,18.5,22.3,1.0757905790076479,2.9,0.2,NA,0.2,0,0.2,0.2
2000-07-08,20.4768,20.4,12.7,16.8,0.6471875189501631,5.1,0.3,NA,0.3,0,0.3,0.3
2000-07-09,12.7872,20.7,11.2,14.5,0.4458414316021208,1.5,3.4,NA,3.4,0,3.4,3.4
2000-07-10,6.8256000000000006,16.6,12.1,14.2,0.14629903023643032,1.3,10.5,NA,10.5,0,10.5,10.5
2000-07-11,13.392000000000001,16.6,11.5,13.6,0.46434136436898393,3.8,0.1,NA,0.1,0,0.1,0.1
2000-07-12,21.168000000000003,20.2,9.8,14,0.5680305699632823,4,0,NA,0,0,0,0
2000-07-13,18.8352,19.7,9.2,14.5,0.5502578263639557,3,1,NA,1,0,1,1
2000-07-14,7.516800000000001,15.6,10.9,13.1,0.13770919261526957,1.4,8.8,NA,8.8,0,8.8,8.8
2000-07-15,13.5648,16.1,8.5,11.7,0.3436975874613313,3.6,0.3,NA,0.3,0,0.3,0.3
2000-07-16,24.7104,19.9,7.9,13.5,0.548312572077605,3.3,0,NA,0,0,0,0
2000-07-17,28.3392,22.7,6.9,15,0.6658593713280393,2.9,0,NA,0,0,0,0
2000-07-18,26.784000000000002,25.7,8,17,0.7721463452244832,2.8,0,NA,0,0,0,0
