date,site,treatment,depth,descr,ECS,SWP,TEM,VWC,SWP_corr
2023-12-18,PFY_SC1,control,-1.2,NA,68.762798,-0.1,6.95,0.319395,-0.1
2023-12-18,PFY_SC1,control,-0.8,NA,87.150634,-0.3,6.25,0.3215194,-0.2999999999999429
2023-12-18,PFY_SC1,control,-0.1,NA,0.88,-0.1,3.4,0.0892842,-0.1
2023-12-18,PFY_SC10,irrigation_vpd,-1.2,NA,38.97909666666666,-0.1,6.9999995,0.28452133333333335,-0.1
2023-12-18,PFY_SC10,irrigation_vpd,-0.8,NA,28.446836666666666,-0.1,6.35,0.296445,-0.1
2023-12-18,PFY_SC10,irrigation_vpd,-0.1,NA,NA,-0.2,4.4,NA,-0.2
2023-12-18,PFY_SC11,roof,-1.2,below panel center,41.36866,-0.1,6.65,0.3141345,-0.1
2023-12-18,PFY_SC11,roof,-0.8,below panel center,40.4372675,-0.1,5.54756225,0.1327635,-0.1
2023-12-18,PFY_SC11,roof,-0.1,below panel center,16.2838525,-0.1,3.04,0.2852155,-0.1
2023-12-18,PFY_SC13,roof,-1.2,below panel edge to center,47.37970333333333,-0.1,7.0499995,0.3250303333333333,-0.1
2023-12-18,PFY_SC13,roof,-0.8,below panel edge to center,41.41378,-0.2,6.45,0.2891243333333333,-0.2
2023-12-18,PFY_SC13,roof,-0.1,below panel edge to center,20.61952666666667,-0.5,3.9,0.17613333333333334,-0.49999999953947966
2023-12-18,PFY_SC14,irrigation_vpd,-1.2,NA,22.685754857142857,-0.1,6.939582914285714,0.19929337142857143,-0.1
2023-12-18,PFY_SC14,irrigation_vpd,-0.8,NA,28.074228,-0.1,5.9797238,0.28549291428571427,-0.1
2023-12-18,PFY_SC14,irrigation_vpd,-0.1,NA,21.782952,-1.773104742857143,3.3444237999999995,0.19352345714285715,-1.7730760386477016
2023-12-18,PFY_SC15,irrigation_vpd,-1.2,NA,49.733333333333334,-0.1,6.95,0.30391166666666664,-0.1
2023-12-18,PFY_SC15,irrigation_vpd,-0.8,NA,53.93666666666667,-0.1,6.35,0.325616,-0.1
2023-12-18,PFY_SC15,irrigation_vpd,-0.1,NA,5.700000333333334,-0.1,3.65,0.23335733333333333,-0.1
2023-12-18,PFY_SC16,roof_vpd,-1.2,below panel edge,32.38618,-0.1,7.0499995,0.2938075,-0.1
2023-12-18,PFY_SC16,roof_vpd,-0.8,below panel edge,37.225785,-0.1,6.09999975,0.3248095,-0.1
2023-12-18,PFY_SC16,roof_vpd,-0.1,below panel edge,23.075095,-0.1,4.15,0.2516485,-0.1
2023-12-18,PFY_SC17,roof,-1.2,below panel edge to center,29.35912,-0.1,7.5,0.2808406666666667,-0.1
2023-12-18,PFY_SC17,roof,-0.8,below panel edge to center,42.266666666666666,-0.1,6.699999833333334,0.322988,-0.1
2023-12-18,PFY_SC17,roof,-0.1,below panel edge to center,18.991493333333334,-0.1,4.199999666666667,0.22690166666666667,-0.1
2023-12-18,PFY_SC18,control,-1.2,NA,51.53877,-0.1,7.0999996,0.2999644,-0.1
2023-12-18,PFY_SC18,control,-0.8,NA,35.279,-0.1,6.25,0.2810382,-0.1
2023-12-18,PFY_SC18,control,-0.1,NA,7.4583052,-0.3,4.15,0.2103594,-0.2999999999999429
2023-12-18,PFY_SC3,irrigation,-1.2,NA,57.7090075,-0.1,7.060695625,0.30037225,-0.1
2023-12-18,PFY_SC3,irrigation,-0.8,NA,78.90691000000001,-0.1,6.45,0.35453175000000003,-0.1
2023-12-18,PFY_SC3,irrigation,-0.1,NA,20.8754275,-0.1,4.149999875000001,0.287097,-0.1
2023-12-18,PFY_SC4,irrigation,-1.2,NA,50.0083325,-0.1,6.85,0.3336455,-0.1
2023-12-18,PFY_SC4,irrigation,-0.8,NA,22.4816625,-0.1,6.049999625,0.31997950000000003,-0.1
2023-12-18,PFY_SC4,irrigation,-0.1,NA,30.01979,-0.1,3.35,0.27366375,-0.1
2023-12-18,PFY_SC6,roof_vpd,-1.2,not below panel,93.29833333333333,-0.1,6.4,0.2979636666666667,-0.1
2023-12-18,PFY_SC6,roof_vpd,-0.8,not below panel,66.97731,-0.1,5.8,0.34700566666666666,-0.1
2023-12-18,PFY_SC6,roof_vpd,-0.1,not below panel,6.854934666666667,-0.1,2.85,0.197656,-0.1
2023-12-18,PFY_SC701,control,-1.2,NA,31.705796,-0.1,6.851,0.3122706,-0.1
2023-12-18,PFY_SC701,control,-0.8,NA,18.061,-0.1,5.95,0.209193,-0.1
2023-12-18,PFY_SC701,control,-0.1,NA,0.9,-0.3,3.2770333,0.2106452,-0.2999999999999429
2023-12-18,PFY_SC901,irrigation,-1.2,NA,23.650265,-0.1,6.952542125,0.32562225,-0.1
2023-12-18,PFY_SC901,irrigation,-0.8,NA,27.849255,-0.1,6.2,0.2530225,-0.1
2023-12-18,PFY_SC901,irrigation,-0.1,NA,26.899665,-0.1,3.4,0.24062624999999999,-0.1
2023-12-19,PFY_SC1,control,-1.2,NA,68.99228013888889,-0.1,6.902574076388889,0.3184876875,-0.1
2023-12-19,PFY_SC1,control,-0.8,NA,86.30493055555556,-0.5864212777777777,6.170006361111112,0.3202306875,-0.5864211798397064
2023-12-19,PFY_SC1,control,-0.1,NA,0.7152777777777778,-0.10784259027777779,3.3268090243055553,0.08894615972222222,-0.10784259027777779
2023-12-19,PFY_SC10,irrigation_vpd,-1.2,NA,38.625023356643354,-0.1,6.947627367132868,0.2831803636363636,-0.1
2023-12-19,PFY_SC10,irrigation_vpd,-0.8,NA,28.465492237762238,-0.1,6.274375286713287,0.2948575944055944,-0.1
2023-12-19,PFY_SC10,irrigation_vpd,-0.1,NA,NA,-0.2,4.287627027972028,NA,-0.2
2023-12-19,PFY_SC11,roof,-1.2,below panel center,41.01962388888889,-0.1,6.569083083333334,0.31191068518518517,-0.1
