"","site","horizon","upper","lower","texture","bd","gravel","sand","silt","clay","c_org","rootden","ths","thr","alpha","npar","mpar","ksat","tort","sat_vol","fc_vol","pwp_vol","res_vol","awc_vol","thick_mm","awc_mm"
"1","PFY","Ah",0,-0.07,"Slu",0.562,0.38,49.4,42,8.65,11.144,44.8156564828571,0.4138,0,8.165,1.17695,0.150346233909682,1095.16,-3.919,0.410634056473324,0.303429143156965,0.116444816012135,0.0372108706359115,0.186984327144831,70,8.11511979808565
"2","PFY","AC",-0.07,-0.09,"Slu",0.696,0.62,45.55,45,9.55,2.792,30.69438934,0.4138,0,8.165,1.17695,0.150346233909682,1095.16,-3.919,0.410634056473324,0.303429143156965,0.116444816012135,0.0372108706359115,0.186984327144831,20,1.42108088630071
"3","PFY","AC",-0.09,-0.1,"Slu",0.696,0.62,45.55,45,9.55,2.792,30.69438934,0.4138,0,8.165,1.17695,0.150346233909682,1095.16,-3.919,0.410634056473324,0.303429143156965,0.116444816012135,0.0372108706359115,0.186984327144831,10,0.710540443150357
"4","PFY","AC",-0.1,-0.19,"Slu",0.696,0.62,45.55,45,9.55,2.792,30.69438934,0.4138,0,8.165,1.17695,0.150346233909682,1095.16,-3.919,0.410634056473324,0.303429143156965,0.116444816012135,0.0372108706359115,0.186984327144831,90,6.39486398835321
"5","PFY","AC",-0.19,-0.2,"Slu",0.696,0.62,45.55,45,9.55,2.792,30.69438934,0.4138,0,8.165,1.17695,0.150346233909682,1095.16,-3.919,0.410634056473324,0.303429143156965,0.116444816012135,0.0372108706359115,0.186984327144831,10,0.710540443150357
"6","PFY","AC",-0.2,-0.25,"Slu",0.696,0.62,45.55,45,9.55,2.792,30.69438934,0.4138,0,8.165,1.17695,0.150346233909682,1095.16,-3.919,0.410634056473324,0.303429143156965,0.116444816012135,0.0372108706359115,0.186984327144831,50,3.55270221575178
"7","PFY","C",-0.25,-0.39,"Su4",0.937,0.62,51.75,42,6.7,0.773,23.0746408985714,0.3839,0,6.005,1.22228,0.181856857675819,832.97,-3.738,0.381698019515968,0.276435457204474,0.0835875984995583,0.0199420698469669,0.192847858704916,140,10.2595060831015
"8","PFY","C",-0.39,-0.4,"Su4",0.937,0.62,51.75,42,6.7,0.773,18.84144732,0.3839,0,6.005,1.22228,0.181856857675819,832.97,-3.738,0.381698019515968,0.276435457204474,0.0835875984995583,0.0199420698469669,0.192847858704916,10,0.73282186307868
"9","PFY","C",-0.4,-0.5,"Su4",0.937,0.62,51.75,42,6.7,0.773,18.84144732,0.3839,0,6.005,1.22228,0.181856857675819,832.97,-3.738,0.381698019515968,0.276435457204474,0.0835875984995583,0.0199420698469669,0.192847858704916,100,7.32821863078679
"10","PFY","C",-0.5,-0.59,"Su4",1.003,0.62,50.65,43,6.75,0.264,18.84144732,0.3839,0,6.005,1.22228,0.181856857675819,832.97,-3.738,0.381698019515968,0.276435457204474,0.0835875984995583,0.0199420698469669,0.192847858704916,90,6.59539676770811
"11","PFY","C",-0.59,-0.6,"Su4",1.003,0.62,50.65,43,6.75,0.264,18.84144732,0.3839,0,6.005,1.22228,0.181856857675819,832.97,-3.738,0.381698019515968,0.276435457204474,0.0835875984995583,0.0199420698469669,0.192847858704916,10,0.73282186307868
"12","PFY","C",-0.6,-0.79,"Su4",1.003,0.62,50.65,43,6.75,0.264,9.91655122105263,0.3839,0,6.005,1.22228,0.181856857675819,832.97,-3.738,0.381698019515968,0.276435457204474,0.0835875984995583,0.0199420698469669,0.192847858704916,190,13.9236153984949
"13","PFY","C",-0.79,-0.8,"Su4",1.003,0.62,50.65,43,6.75,0.264,0,0.3839,0,6.005,1.22228,0.181856857675819,832.97,-3.738,0.381698019515968,0.276435457204474,0.0835875984995583,0.0199420698469669,0.192847858704916,10,0.73282186307868
"14","PFY","C",-0.81,-1,"Su4",1.003,0.62,50.65,43,6.75,0.264,0,0.3839,0,6.005,1.22228,0.181856857675819,832.97,-3.738,0.381698019515968,0.276435457204474,0.0835875984995583,0.0199420698469669,0.192847858704916,190,13.9236153984949
