Site,Date,Type,Beprobungsperson,Messperson,TreeNr,Species,HarvestTime,MessTime,HarvestHeight_m,Light,Weather,Leaf1_bar,Leaf2_bar,Leaf3_bar,Remarks,TreeID,LWP_mean
Visp,10.07.2026,Midday,Dennis,Andreas,445,Eiche,11:00,11:05,3.0,voll,sunny,21,22,23,,Ei1,22
Visp,10.07.2026,Midday,Andreas,Dennis,530,Esche,11:10,11:15,2.0,voll,sunny,30,30,31,,Es1,30
Visp,10.07.2026,Midday,Andreas,Dennis,495,Foehre,11:20,11:25,4.0,voll,sunny,21,21,22,,K1,21
Visp,10.07.2026,Midday,Andreas,Dennis,435,Foehre,11:40,11:45,2.0,voll,sunny,20,22,21,,K2,21
Visp,10.07.2026,Midday,Andreas,Dennis,X1,Eiche,11:40,11:45,2,voll,sunny,29,29,31,,Ei2,30
Visp,10.07.2026,Midday,Andreas,Dennis,438,Foehre,11:55,12:00,3,voll,sunny,18,18,18,,K3,18
Visp,10.07.2026,Midday,Andreas,Andreas,411,Eiche,12:20,12:25,2,voll,sunny,24,25,28,,Ei3,26
Visp,10.07.2026,Midday,Dennis,Andreas,340,Esche,12:25,12:30,2,voll,sunny,29,33,33,,Es2,32
Visp,10.07.2026,Midday,Louis,Dennis,398,Esche,12:35,12:40,3,voll,sunny,36,37,37,,Es3,37
Visp,11.07.2026,Predawn,Louis,Dennis,445,Eiche,03:00,03:05,2,kein,clear,10,11,11,,Ei1,11
Visp,11.07.2026,Predawn,Louis,Dennis,530,Esche,03:00,03:10,1,kein,clear,26,25,27,,Es1,26
Visp,11.07.2026,Predawn,Louis,Dennis,438,Foehre,03:05,03:15,3,kein,clear,12,13,12,,K3,12
Visp,11.07.2026,Predawn,Louis,Dennis,X1,Eiche,03:10,03:20,1,kein,clear,21,21,22,,Ei2,21
Visp,11.07.2026,Predawn,Louis,Dennis,435,Foehre,03:25,03:30,2,kein,clear,14,15,15,,K2,15
Visp,11.07.2026,Predawn,Louis,Dennis,411,Eiche,03:30,03:40,2,kein,clear,19,20,21,,Ei3,20
Visp,11.07.2026,Predawn,Louis,Dennis,340,Esche,03:35,03:45,2.0,kein,clear,30,30,31,,Es2,30
Visp,11.07.2026,Predawn,Louis,Dennis,495,Foehre,03:45,03:50,4.0,kein,clear,19,20,21,,K1,20
Visp,11.07.2026,Predawn,Louis,Dennis,398,Esche,04:05,04:10,3.0,kein,clear,32,32,33,,Es3,32
Visp,04.08.2026,Predawn,Louis,Christoph,445,Eiche,3:35,3:45,2,night,clear,17,16,16,,Ei1,16
Visp,04.08.2026,Predawn,Christoph,Louis,530,Esche,3:50,3:55,4,night,clear,37,37,37,,Es1,37
Visp,04.08.2026,Predawn,Christoph,Louis,495,Foehre,4:00,4:05,4,night,clear,13,14,13,,K1,13
Visp,04.08.2026,Predawn,Louis,Louis,X1,Eiche,4:20,4:25,2,night,clear,17,18,18,,Ei2,18
Visp,04.08.2026,Predawn,Christoph,Louis,438,Foehre,4:25,4:30,3,night,clear,12,12,16,,K3,13
Visp,04.08.2026,Predawn,Christoph,Louis,435,Foehre,4:30,4:38,4,night,clear,13,,18,,K2,16
Visp,04.08.2026,Predawn,Louis,Christoph,411,Eiche,4:50,4:55,2,night,clear,22,25,26,,Ei3,24
Visp,04.08.2026,Predawn,Christoph,Christoph,340,Esche,4:50,5:00,4,night,clear,36,36,36,,Es2,36
Visp,04.08.2026,Predawn,Louis,Christoph,398,Esche,5:00,5:05,3,night,clear,34,35,34,,Es3,34
Visp,04.08.2026,Midday,Louis,Christoph,411,Eiche,10:55,11:00,2,full,sunny,29,30,34,,Ei3,31
Visp,04.08.2026,Midday,Christoph,Christoph,340,Esche,10:55,11:05,4,full,sunny,40,40,41,>40,Es2,40
Visp,04.08.2026,Midday,Louis,Christoph,398,Esche,11:10,11:15,3,full,sunny,40,40,41,>40,Es3,40
Visp,04.08.2026,Midday,Louis,Louis,445,Eiche,11:17,11:20,2,full,sunny,29,28,29,,Ei1,29
Visp,04.08.2026,Midday,Christoph,Louis,495,Foehre,11:17,11:23,4,full,sunny,22,21,20,,K1,21
Visp,04.08.2026,Midday,Christoph,Louis,438,Foehre,11:35,11:40,3,full,sunny,20,21,20,,K3,20
Visp,04.08.2026,Midday,Christoph,Louis,435,Foehre,11:50,11:55,4,full,sunny,21,22,22,,K2,22
Visp,04.08.2026,Midday,Christoph,Christoph,530,Esche,11:58,12:00,4,full,sunny,40,40,40,>40,Es1,40
Visp,04.08.2026,Midday,Louis,Christoph,X1,Eiche,12:00,12:05,2,half,sunny,30,32,32,,Ei2,31
